"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-03","91.7","-1.6810","5.4765","Brad Boxberger",491676,502202,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,1,2018,"-0.4883","1.4443","1.2690","1.0962","452254.00","621453.00","null",2,9,"Top","null","null",,,488671,,"180804_043925","8.3220","-132.9738","-8.0688","-7.3625","27.5844","-14.0795","3.3042","1.6362","null","null","null","90.2010","2297","5.4960",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.0060","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-08-03","92.8","-1.8750","5.4894","Brad Boxberger",491676,502202,"null","called_strike",,,,,"9","null","R","R","R","ARI","SF","S","null","null",1,0,2018,"-0.4595","1.4795","0.4632","1.5213","452254.00","621453.00","null",2,9,"Top","null","null",,,488671,,"180804_043900","6.8281","-134.6989","-7.3493","-6.8810","28.5235","-13.3730","3.3042","1.3965","null","null","null","91.3010","2345","5.4700",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.0325","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"CH","2018-08-03","80.2","-1.8688","5.3990","Brad Boxberger",491676,502202,"null","ball",,,,,"13","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"-1.2407","0.7984","-0.4962","1.3262","452254.00","null","621453.00",2,9,"Top","null","null",,,488671,,"180804_043813","5.2363","-116.5361","-3.7504","-11.9900","20.4178","-24.6275","3.4248","1.6662","null","null","null","79.3300","1300","5.6140",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"54.8876","null","null","null","null","null","null","null",75,"1","Changeup",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-08-03","91.9","-1.9065","5.5869","Brad Boxberger",593700,502202,"null","ball",,,,,"11","null","R","L","R","ARI","SF","B","null","null",0,0,2018,"-0.6811","1.2085","-1.0300","2.8808","null","null","null",1,9,"Top","null","null",,,488671,,"180804_043428","3.5691","-133.6232","-3.4857","-8.6339","27.4828","-17.6950","3.4631","1.6362","null","null","null","90.4140","2290","5.3260",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.1760","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-08-03","91.8","-1.7608","5.5348","Brad Boxberger",596103,502202,"null","called_strike",,,,,"14","null","R","R","R","ARI","SF","S","null","null",1,1,2018,"-0.5592","1.4096","0.8380","1.8000","null","null","null",0,9,"Top","null","null",,,488671,,"180804_043325","7.6104","-133.2226","-6.4278","-8.0659","27.7994","-14.7565","3.4631","1.6962","null","null","null","90.3570","2270","5.4970",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.0055","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-08-03","92.0","-1.7239","5.5893","Brad Boxberger",596103,502202,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,1,2018,"-0.3007","1.1317","2.5027","2.3457","null","null","null",0,9,"Top","null","null",,,488671,,"180804_043304","11.1311","-133.3257","-4.6528","-5.7811","27.4365","-18.3283","3.5154","1.6962","null","null","null","90.4560","2189","5.4830",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.0188","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-08-03","90.2","-2.0119","5.5186","Brad Boxberger",596103,502202,"null","called_strike",,,,,"6","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"-0.6677","1.1997","0.6497","2.2623","null","null","null",0,9,"Top","null","null",,,488671,,"180804_043244","7.8432","-131.0136","-4.5338","-9.0500","26.3338","-18.0853","3.3947","1.6662","null","null","null","88.8210","2168","5.4290",531061,502202,488671,502671,606466,500871,605113,444482,572041,445055,"55.0735","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"CU","2018-08-03","82.9","-1.1137","5.4603","Sam Dyson",502671,473879,"null","ball",,,,,"12","null","R","R","R","ARI","SF","B","null","null",1,2,2018,"1.2583","-0.6455","0.3714","4.0115","null","605113.00","null",1,8,"Bot","null","null",,,460026,,"180804_042730","1.0151","-120.3770","4.2883","11.5948","23.0219","-39.3089","3.5456","1.6662","null","null","null","81.2430","3138","5.2510",531061,473879,460026,596103,488818,446334,543063,452254,621453,457705,"55.2514","null","null","null","null","null","null","null",69,"4","Curveball",6,3,6,3,3,6,6,3,"Standard","Standard"
"FT","2018-08-03","94.3","-1.4457","5.2793","Sam Dyson",502671,473879,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"-1.4901","-0.0128","0.4098","1.2817","null","605113.00","null",1,8,"Bot","null","null",,,460026,,"180804_042555","7.9306","-136.8849","-4.5692","-20.0367","30.7101","-31.5610","3.5456","1.6962","null","null","null","92.9260","2168","5.6490",531061,473879,460026,596103,488818,446334,543063,452254,621453,457705,"54.8530","null","null","null","null","null","null","null",69,"1","2-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard"
"KC","2018-08-03","81.3","-1.8803","5.9047","Archie Bradley",446334,605151,"null","called_strike",,,,,"7","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"0.3510","-0.9992","-0.7236","2.0565","null","null","null",1,8,"Top","null","null",,,488671,,"180804_041906","1.9234","-118.4466","-0.1325","2.9299","22.4039","-41.7431","3.9083","1.7861","null","null","null","81.3690","2007","6.2510",531061,605151,488671,502671,606466,500871,605113,444482,572041,445055,"54.2515","null","null","null","null","null","null","null",65,"1","Knuckle Curve",6,3,3,6,3,6,3,6,"Standard","Standard"
