"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-09-05","93.2","-2.4066","5.5798","Adam Ottavino",605412,493603,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",1,2,2018,"-0.7255","0.7671","-0.8769","4.0727","null","null","null",2,9,"Top","null","null",,,455104,,"180906_043536","5.6127","-135.8119","0.1019","-10.2858","26.0107","-22.6207","3.0618","1.5122","null","null","null","94.7220","2285","6.8220",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.6800","null","null","null","null","null","null","null",71,"4","2-Seam Fastball",5,3,3,5,3,5,3,5,"Strategic","Standard"
"FT","2018-09-05","93.7","-2.3334","5.6617","Adam Ottavino",605412,493603,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",0,1,2018,"-0.6441","0.6874","-0.4963","3.9867","null","null","null",2,9,"Top","null","null",,,455104,,"180906_043453","6.2754","-136.6659","-0.2490","-9.4781","25.2428","-23.4072","3.2087","1.5122","null","null","null","95.5480","2288","6.8730",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.6288","null","null","null","null","null","null","null",71,"2","2-Seam Fastball",5,3,3,5,3,5,3,5,"Strategic","Standard"
"FT","2018-09-05","93.7","-2.3732","5.5773","Adam Ottavino",605412,493603,"null","called_strike",,,,,"6","null","R","L","R","COL","SF","S","null","null",0,0,2018,"-0.8798","0.8229","0.4193","2.4094","null","null","null",2,9,"Top","null","null",,,455104,,"180906_043436","9.3348","-136.3810","-4.4697","-13.0722","24.3752","-20.8547","3.0618","1.4241","null","null","null","95.7380","2412","7.0380",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.4640","null","null","null","null","null","null","null",71,"1","2-Seam Fastball",5,3,3,5,3,5,3,5,"Strategic","Standard"
"FT","2018-09-05","94.1","-2.5050","5.6825","Adam Ottavino",624507,493603,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",0,2,2018,"-1.1374","0.3292","-1.0150","4.1576","null","null","null",1,9,"Top","null","null",,,455104,,"180906_043332","6.4877","-137.1310","0.9661","-15.9549","27.8238","-28.3117","3.4439","1.7470","null","null","null","95.3530","2438","6.7520",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.7495","null","null","null","null","null","null","null",70,"3","2-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard"
"FT","2018-09-05","93.8","-2.3161","5.6434","Adam Ottavino",624507,493603,"null","called_strike",,,,,"6","null","R","L","R","COL","SF","S","null","null",0,1,2018,"-1.1256","0.5563","0.7420","2.5567","null","null","null",1,9,"Top","null","null",,,455104,,"180906_043311","10.6302","-136.4278","-3.6516","-16.5791","25.0078","-24.4188","3.5081","1.6589","null","null","null","95.8750","2429","7.1410",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.3610","null","null","null","null","null","null","null",70,"2","2-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard"
"FT","2018-09-05","93.0","-2.6927","5.4920","Adam Ottavino",453923,493603,"null","called_strike",,,,,"2","null","R","L","R","COL","SF","S","null","null",2,1,2018,"-0.9505","0.4842","0.1367","2.9671","null","null","null",0,9,"Top","null","null",,,455104,,"180906_043055","9.4603","-135.4088","-1.9055","-13.6950","23.4379","-25.8536","3.0912","1.4975","null","null","null","94.7040","2353","6.7940",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.7078","null","null","null","null","null","null","null",69,"4","2-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-09-05","81.0","-2.9941","5.5170","Adam Ottavino",453923,493603,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",1,1,2018,"1.0175","-0.2825","-1.1955","1.4222","null","null","null",0,9,"Top","null","null",,,455104,,"180906_043034","2.0847","-118.0516","-2.0735","9.2328","19.7519","-34.6786","3.0324","1.4975","null","null","null","81.5470","2813","6.3070",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"54.1953","null","null","null","null","null","null","null",69,"3","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"FT","2018-09-05","91.4","-2.8018","5.4907","Adam Ottavino",453923,493603,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",0,0,2018,"-0.8010","0.4106","-0.9620","3.5905","null","null","null",0,9,"Top","null","null",,,455104,,"180906_042945","6.4111","-133.2873","0.0521","-10.8330","21.9520","-27.3277","3.2087","1.4975","null","null","null","92.8900","2291","6.5440",531503,493603,455104,435622,518934,571448,596115,467827,453568,471865,"53.9578","null","null","null","null","null","null","null",69,"1","2-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-09-05","98.4","-2.3632","5.3940","Ray Black",435622,605143,"strikeout","called_strike",,,,,"6","Ian Desmond called out on strikes.  ","R","R","R","COL","SF","S",2,"null",3,2,2018,"-0.2032","0.9727","0.3418","2.6344","null","null","467827.00",1,8,"Bot","null","null",,,605244,,"180906_042614","7.8619","-143.3809","-4.4309","-4.3370","26.8901","-17.8034","3.3557","1.5975","null","null","null","99.7890","2528","6.5680",531503,605143,605244,474832,605412,446334,593700,622046,491676,596103,"53.9341","null","null","0.00",1,0,0,"null",67,"6","4-Seam Fastball",5,3,5,3,3,5,5,3,"Strategic","Standard"
"FF","2018-09-05","97.0","-2.3199","5.3497","Ray Black",435622,605143,"null","called_strike",,,,,"1","null","R","R","R","COL","SF","S","null","null",3,0,2018,"-0.2396","1.1943","-0.3128","3.3807","null","null","467827.00",1,8,"Bot","null","null",,,605244,,"180906_042521","5.9066","-141.3855","-2.5507","-4.3235","25.9378","-15.7354","3.5027","1.5975","null","null","null","97.7390","2537","6.1850",531503,605143,605244,474832,605412,446334,593700,622046,491676,596103,"54.3166","null","null","null","null","null","null","null",67,"4","4-Seam Fastball",5,3,5,3,3,5,5,3,"Standard","Standard"
