"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-07-10","75.6","-3.5327","3.8061","Steve Cishek",457705,518553,"null","ball",,,,,"13","null","R","R","R","SF","CHC","B","null","null",1,0,2018,"1.5305","0.0355","-1.0532","2.3616","null","null","null",2,9,"Bot","null","null",,,575929,,"180711_045747","2.4317","-110.0213","4.0813","12.0177","20.3333","-32.8530","3.4190","1.7020","null","null","null","75.8180","2334","6.5340",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.9631","null","null","null","null","null","null","null",64,"2","Slider",0,2,0,2,2,0,0,2,"Standard","Standard"
"SL","2018-07-10","78.0","-3.5179","3.8077","Steve Cishek",457705,518553,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,0,2018,"1.1947","-0.1067","1.4473","1.4489","null","null","null",2,9,"Bot","null","null",,,575929,,"180711_045729","8.5304","-113.3346","2.1156","8.8407","22.0525","-33.7123","3.4759","1.7590","null","null","null","78.7840","2419","7.0640",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.4338","null","null","null","null","null","null","null",64,"1","Slider",0,2,0,2,2,0,0,2,"Standard","Standard"
"SI","2018-07-10","91.2","-3.5609","3.8713","Steve Cishek",474832,518553,"null","ball",,,,,"13","null","R","L","R","SF","CHC","B","null","null",2,2,2018,"-1.5607","-0.1068","-1.5918","2.3269","null","null","null",1,9,"Bot","null","null",,,575929,,"180711_045630","8.4936","-132.7045","2.2770","-20.6595","28.3075","-34.1315","3.1490","1.5189","null","null","null","92.3590","2411","6.9750",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.5228","null","null","null","null","null","null","null",63,"5","Sinker",0,2,0,2,2,0,0,2,"Infield shift","Standard"
"SI","2018-07-10","89.3","-3.4673","3.8525","Steve Cishek",474832,518553,"null","ball",,,,,"11","null","R","L","R","SF","CHC","B","null","null",1,2,2018,"-1.0341","0.5000","-0.9874","3.7161","null","null","null",1,9,"Bot","null","null",,,575929,,"180711_045613","8.4839","-129.9514","4.6384","-13.7636","25.2774","-27.3806","3.0541","1.5759","null","null","null","90.9930","2420","7.1510",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.3469","null","null","null","null","null","null","null",63,"4","Sinker",0,2,0,2,2,0,0,2,"Infield shift","Standard"
"SI","2018-07-10","89.9","-3.4171","3.8590","Steve Cishek",474832,518553,"null","ball",,,,,"12","null","R","L","R","SF","CHC","B","null","null",0,0,2018,"-1.0555","0.5762","0.7989","3.5279","null","null","null",1,9,"Bot","null","null",,,575929,,"180711_045522","13.0209","-130.5020","3.9611","-15.1429","25.6680","-26.2337","3.1870","1.5949","null","null","null","91.8080","2476","7.4170",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.0799","null","null","null","null","null","null","null",63,"1","Sinker",0,2,0,2,2,0,0,2,"Standard","Standard"
"SL","2018-07-10","78.2","-3.3800","3.8079","Steve Cishek",491676,518553,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",1,2,2018,"1.3844","-0.1420","3.2338","1.8033","null","null","null",0,9,"Bot","null","null",,,575929,,"180711_045421","11.7477","-113.3776","2.9609","9.7537","22.6425","-34.2077","3.2350","1.5615","null","null","null","78.5490","2393","6.9440",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.5539","null","null","null","null","null","null","null",62,"4","Slider",0,2,0,2,2,0,0,2,"Standard","Standard"
"SI","2018-07-10","89.5","-3.5461","3.8399","Steve Cishek",491676,518553,"null","ball",,,,,"13","null","R","R","R","SF","CHC","B","null","null",0,1,2018,"-1.4437","0.4935","-1.1375","1.8285","null","null","null",0,9,"Bot","null","null",,,575929,,"180711_045346","9.1877","-130.1464","-0.0370","-18.7015","26.1736","-26.5776","3.2899","1.6363","null","null","null","90.8200","2260","7.0330",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.4642","null","null","null","null","null","null","null",62,"2","Sinker",0,2,0,2,2,0,0,2,"Standard","Standard"
"SI","2018-07-10","89.4","-3.4999","3.8704","Steve Cishek",491676,518553,"null","called_strike",,,,,"3","null","R","R","R","SF","CHC","S","null","null",0,0,2018,"-1.3832","0.5443","0.4209","2.7408","null","null","null",0,9,"Bot","null","null",,,575929,,"180711_045332","12.8946","-129.7887","2.0892","-18.8028","26.2536","-26.3844","3.1940","1.5604","null","null","null","90.9690","2369","7.2900",530773,518553,575929,605170,595879,664023,608365,450314,546991,518792,"53.2079","null","null","null","null","null","null","null",62,"1","Sinker",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","98.3","-2.1036","5.4650","Ray Black",656941,605143,"null","called_strike",,,,,"6","null","R","L","R","SF","CHC","S","null","null",3,1,2018,"-0.3145","1.6090","0.3151","2.3698","null","null","null",2,9,"Top","null","null",,,460026,,"180711_045031","7.2877","-142.9211","-6.6470","-5.9887","32.8702","-8.7921","3.4038","1.6933","null","null","null","98.3750","2699","6.3710",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.1265","null","null","null","null","null","null","null",61,"5","4-Seam Fastball",0,2,2,0,2,0,2,0,"Strategic","Standard"
"SL","2018-07-10","85.7","-2.0131","5.6079","Ray Black",656941,605143,"null","ball",,,,,"14","null","R","L","R","SF","CHC","B","null","null",2,1,2018,"1.1387","-0.5253","0.8294","1.7023","null","null","null",2,9,"Top","null","null",,,460026,,"180711_045012","4.4222","-124.7009","-1.9123","10.7338","24.9091","-37.3973","3.2825","1.5401","null","null","null","84.8040","3085","5.6910",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.8064","null","null","null","null","null","null","null",61,"4","Slider",0,2,2,0,2,0,2,0,"Strategic","Standard"
"CU","2018-07-10","77.2","-1.7647","5.5687","Ray Black",656941,605143,"null","ball",,,,,"13","null","R","L","R","SF","CHC","B","null","null",1,1,2018,"1.2164","-1.1114","-1.4367","1.5507","null","null","null",2,9,"Top","null","null",,,460026,,"180711_044953","-1.4757","-112.3035","0.4411","10.3954","21.5545","-41.7458","3.2888","1.5414","null","null","null","76.5510","2935","5.9720",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.5257","null","null","null","null","null","null","null",61,"3","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"CU","2018-07-10","80.6","-1.7494","5.6622","Ray Black",656941,605143,"null","ball",,,,,"14","null","R","L","R","SF","CHC","B","null","null",0,0,2018,"1.3376","-1.1967","0.9293","1.9768","null","null","null",2,9,"Top","null","null",,,460026,,"180711_044908","3.4149","-117.0475","0.8540","11.1633","26.2112","-43.3202","3.2509","1.4654","null","null","null","79.2430","3336","5.8820",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.6151","null","null","null","null","null","null","null",61,"1","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2018-07-10","96.9","-2.2265","5.3188","Ray Black",608365,605143,"null","called_strike",,,,,"8","null","R","R","R","SF","CHC","S","null","null",3,1,2018,"-0.4368","1.3403","0.1884","2.2091","null","null","null",1,9,"Top","null","null",,,460026,,"180711_044818","7.4025","-140.9030","-5.7697","-7.4154","31.2620","-13.4014","3.5730","1.7209","null","null","null","96.5640","2473","6.0820",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.4153","null","null","null","null","null","null","null",60,"5","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2018-07-10","97.2","-1.9685","5.5476","Ray Black",608365,605143,"null","ball",,,,,"12","null","R","R","R","SF","CHC","B","null","null",2,1,2018,"-0.4379","1.4425","1.2288","2.8319","null","null","null",1,9,"Top","null","null",,,460026,,"180711_044801","9.5018","-141.2024","-4.9764","-7.9445","31.8084","-12.1614","3.5350","1.7588","null","null","null","96.6880","2546","6.0640",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.4331","null","null","null","null","null","null","null",60,"4","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"CU","2018-07-10","78.5","-1.8054","5.6969","Ray Black",608365,605143,"null","ball",,,,,"13","null","R","R","R","SF","CHC","B","null","null",1,1,2018,"1.2084","-1.1351","-1.4995","1.5204","null","null","null",1,9,"Top","null","null",,,460026,,"180711_044742","-1.5295","-114.2127","-0.0328","10.6266","23.9788","-42.1177","3.3452","1.6449","null","null","null","77.5090","3178","5.9090",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.5889","null","null","null","null","null","null","null",60,"3","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2018-07-10","98.5","-2.2183","5.4187","Ray Black",608365,605143,"null","called_strike",,,,,"4","null","R","R","R","SF","CHC","S","null","null",1,0,2018,"-0.3643","1.4727","-0.4987","2.3461","null","null","null",1,9,"Top","null","null",,,460026,,"180711_044726","5.4682","-143.1444","-6.2084","-6.2182","33.2503","-10.9648","3.4591","1.7019","null","null","null","97.8650","2528","6.0160",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.4812","null","null","null","null","null","null","null",60,"2","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"SL","2018-07-10","85.1","-1.8601","5.6550","Ray Black",608365,605143,"null","ball",,,,,"2","null","R","R","R","SF","CHC","B","null","null",0,0,2018,"1.1245","-0.2910","0.2600","3.2795","null","null","null",1,9,"Top","null","null",,,460026,,"180711_044710","2.7371","-123.8263","1.3204","10.7581","25.6968","-35.6297","3.4612","1.6393","null","null","null","84.2590","3076","5.8280",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.6694","null","null","null","null","null","null","null",60,"1","Slider",0,2,2,0,2,0,2,0,"Standard","Standard"
"CU","2018-07-10","79.2","-1.6445","5.7126","Ray Black",575929,605143,"strikeout","called_strike",,,,,"8","Willson Contreras called out on strikes.  ","R","R","R","SF","CHC","S",2,"null",1,2,2018,"1.0890","-1.4980","-0.1242","1.8512","null","null","null",0,9,"Top","null","null",,,460026,,"180711_044632","1.3131","-115.1228","1.1914","9.0855","24.7541","-45.6016","3.2785","1.6016","null","null","null","77.8260","3174","5.7350",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.7629","null","null","0.00",1,0,0,"null",59,"4","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"SL","2018-07-10","85.2","-2.1027","5.5343","Ray Black",575929,605143,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,0,2018,"1.0478","-0.1081","1.4230","1.2007","null","null","null",0,9,"Top","null","null",,,460026,,"180711_044519","6.1580","-123.8418","-3.6130","9.3563","24.8804","-32.7827","3.2316","1.5446","null","null","null","84.4290","3001","5.8580",530773,605143,460026,474832,488818,593700,543063,452254,491676,457705,"54.6390","null","null","null","null","null","null","null",59,"1","Slider",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2018-07-10","94.3","0.8646","6.4766","Justin Wilson",457763,458677,"null","ball",,,,,"14","null","R","R","L","SF","CHC","B","null","null",0,1,2018,"0.6159","1.5940","1.8183","0.8858","null","null","null",2,8,"Bot","null","null",,,575929,,"180711_044106","1.1333","-136.8236","-12.0703","7.3176","28.6242","-10.3388","3.3387","1.5858","null","null","null","92.9950","2298","5.5580",530773,458677,575929,605170,595879,664023,608365,656941,546991,518792,"54.9393","null","null","null","null","null","null","null",58,"2","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","94.5","1.0325","6.4215","Justin Wilson",596103,458677,"null","ball",,,,,"13","null","R","R","L","SF","CHC","B","null","null",0,0,2018,"0.5686","1.6218","-0.1386","0.8182","null","null","null",1,8,"Bot","null","null",,,575929,,"180711_043850","-4.2363","-136.9767","-12.2603","7.9552","29.7802","-9.6826","3.4441","1.6787","null","null","null","93.4000","2477","5.8190",530773,458677,575929,605170,595879,664023,608365,656941,546991,518792,"54.6787","null","null","null","null","null","null","null",57,"1","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","94.3","0.6750","6.4524","Justin Wilson",488818,458677,"null","ball",,,,,"13","null","R","R","L","SF","CHC","B","null","null",1,2,2018,"0.2719","1.4551","-0.4421","0.2460","null","null","null",0,8,"Bot","null","null",,,575929,,"180711_043704","-3.4746","-136.6965","-13.5043","4.1277","29.2542","-11.3955","3.2781","1.5759","null","null","null","93.7050","2253","6.0840",530773,458677,575929,605170,595879,664023,608365,656941,546991,518792,"54.4139","null","null","null","null","null","null","null",56,"4","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","93.3","0.9277","6.5398","Justin Wilson",488818,458677,"null","called_strike",,,,,"13","null","R","R","L","SF","CHC","S","null","null",1,0,2018,"0.4654","1.7022","-0.0159","1.4876","null","null","null",0,8,"Bot","null","null",,,575929,,"180711_043617","-3.3463","-135.2405","-10.5777","6.2719","30.5946","-9.8809","3.3246","1.6166","null","null","null","91.3640","2387","5.4190",530773,458677,575929,605170,595879,664023,608365,656941,546991,518792,"55.0783","null","null","null","null","null","null","null",56,"2","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FC","2018-07-10","89.9","0.9899","6.5900","Justin Wilson",488818,458677,"null","ball",,,,,"13","null","R","R","L","SF","CHC","B","null","null",0,0,2018,"-0.6877","1.0367","-0.9986","1.6840","null","null","null",0,8,"Bot","null","null",,,575929,,"180711_043556","-3.4562","-130.5368","-8.1208","-6.8498","28.3494","-19.2228","3.2086","1.6574","null","null","null","88.2340","2392","5.4360",530773,458677,575929,605170,595879,664023,608365,656941,546991,518792,"55.0610","null","null","null","null","null","null","null",56,"1","Cutter",0,2,0,2,2,0,0,2,"Standard","Standard"
"CU","2018-07-10","82.8","-1.4209","5.4083","Sam Dyson",546991,473879,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",1,2,2018,"0.5701","-0.4028","1.2675","0.5668","null","null","null",0,8,"Top","null","null",,,460026,,"180711_042935","4.9644","-120.3682","-3.8094","4.5254","20.4222","-35.5616","3.5106","1.6284","null","null","null","81.4770","2705","5.1650",530773,473879,460026,474832,488818,467055,543063,452254,491676,457705,"55.3321","null","null","null","null","null","null","null",53,"5","Curveball",0,2,2,0,2,0,2,0,"Standard","Standard"
"CH","2018-07-10","86.1","-1.5310","5.3184","Sam Dyson",546991,473879,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,2,2018,"-1.5237","0.3077","0.0178","-0.0332","null","null","null",0,8,"Top","null","null",,,460026,,"180711_042845","6.5039","-124.8720","-6.8270","-16.6945","27.3064","-27.8896","3.4625","1.6382","null","null","null","83.9980","2004","5.2870",530773,473879,460026,474832,488818,467055,543063,452254,491676,457705,"55.2101","null","null","null","null","null","null","null",53,"3","Changeup",0,2,2,0,2,0,2,0,"Standard","Standard"
"FF","2018-07-10","93.4","-1.7781","6.1626","Carl Edwards Jr.",452254,605218,"null","ball",,,,,"11","null","R","R","R","SF","CHC","B","null","null",0,2,2018,"0.2687","1.2622","-0.2596","3.9181","null","null","null",2,7,"Bot","null","null",,,575929,,"180711_042502","3.3212","-136.0133","-2.8379","2.6601","27.8461","-16.1066","3.3264","1.7036","null","null","null","93.6730","2772","6.2580",530773,605218,575929,605170,595879,664023,608365,656941,546991,518792,"54.2395","null","null","null","null","null","null","null",52,"3","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"CU","2018-07-10","80.8","-1.6014","6.2097","Carl Edwards Jr.",543063,605218,"null","called_strike",,,,,"8","null","R","L","R","SF","CHC","S","null","null",1,0,2018,"0.3822","-0.9203","-0.2102","1.6312","null","null","null",1,7,"Bot","null","null",,,575929,,"180711_042245","2.3525","-117.4791","-1.8144","2.9462","22.8644","-40.2947","3.3110","1.5253","null","null","null","79.2020","2567","5.2810",530773,605218,575929,605170,595879,664023,608365,656941,546991,518792,"55.2165","null","null","null","null","null","null","null",51,"2","Curveball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","94.8","-1.6330","6.2100","Carl Edwards Jr.",543063,605218,"null","ball",,,,,"12","null","R","L","R","SF","CHC","B","null","null",0,0,2018,"-0.1784","1.4467","0.0361","3.8467","null","null","null",1,7,"Bot","null","null",,,575929,,"180711_042226","4.8026","-138.0700","-3.8553","-3.3047","28.3171","-12.7501","3.2440","1.5253","null","null","null","95.8490","2681","6.6670",530773,605218,575929,605170,595879,664023,608365,656941,546991,518792,"53.8308","null","null","null","null","null","null","null",51,"1","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"CU","2018-07-10","82.0","-1.5688","6.3049","Carl Edwards Jr.",460026,605218,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,2,2018,"0.7649","-1.1371","2.1846","0.1014","null","null","null",0,7,"Bot","null","null",,,575929,,"180711_042107","7.0095","-119.2303","-5.2470","5.9000","23.5440","-42.1856","3.2526","1.5833","null","null","null","81.9700","2614","6.3710",530773,605218,575929,605170,595879,664023,608365,656941,546991,518792,"54.1266","null","null","null","null","null","null","null",50,"3","Curveball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-07-10","94.8","-1.8290","6.1207","Carl Edwards Jr.",460026,605218,"null","called_strike",,,,,"9","null","R","R","R","SF","CHC","S","null","null",0,0,2018,"0.0677","1.4182","0.6456","2.0664","null","null","null",0,7,"Bot","null","null",,,575929,,"180711_042025","6.3314","-137.8762","-8.1461","-0.4715","29.2151","-12.4300","3.2816","1.5833","null","null","null","95.2270","2702","6.4580",530773,605218,575929,605170,595879,664023,608365,656941,546991,518792,"54.0390","null","null","null","null","null","null","null",50,"1","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
