"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-07-11","87.2","-1.8780","6.0861","James Norwood",457763,656803,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",1,1,2018,"-0.5540","0.0053","0.6900","1.3678","null","474832.00","457705.00",2,13,"Bot","null","null",,,575929,,"180712_001450","7.1952","-126.6789","-5.1804","-7.1922","22.9967","-31.3955","3.3057","1.5790","null","null","null","86.5840","1174","5.7380",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.7591","null","null","null","null","null","null","null",116,"3","Slider",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-07-11","97.4","-1.7474","6.0817","James Norwood",457763,656803,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,1,2018,"-0.7790","1.4077","1.8077","2.3920","null","474832.00","457705.00",2,13,"Bot","null","null",,,575929,,"180712_001425","11.2225","-141.2207","-7.5082","-12.8015","30.8714","-12.0520","3.3282","1.6240","null","null","null","96.8120","2270","6.0620",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.4352","null","null","null","null","null","null","null",116,"2","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-07-11","95.9","-1.9201","5.9321","James Norwood",457705,656803,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",2,0,2018,"-0.8169","1.3123","0.6426","1.1965","null","null","474832.00",2,13,"Bot","null","null",,,575929,,"180712_001224","8.5713","-139.1070","-9.7846","-12.4822","31.3358","-13.2427","3.3684","1.7566","null","null","null","95.4550","2153","6.2150",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.2822","null","null","null","null","null","null","null",115,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-07-11","96.5","-1.9375","5.9572","James Norwood",457705,656803,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",1,0,2018,"-0.7126","1.2763","1.2917","1.6502","null","null","474832.00",2,13,"Bot","null","null",,,575929,,"180712_001205","10.1481","-139.9235","-8.6896","-11.6070","31.6929","-13.7558","3.3459","1.5766","null","null","null","95.9980","2084","6.2040",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.2931","null","null","null","null","null","null","null",115,"2","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-07-11","97.1","-1.9594","5.9742","James Norwood",457705,656803,"null","ball",,,,,"14","null","R","R","R","SF","CHC","B","null","null",0,0,2018,"-0.9610","1.3276","1.2049","2.3562","null","null","474832.00",2,13,"Bot","null","null",,,575929,,"180712_001132","10.5944","-140.9150","-7.1305","-15.0323","30.0482","-13.2173","3.3459","1.6441","null","null","null","96.8540","2115","6.1580",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.3395","null","null","null","null","null","null","null",115,"1","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FT","2018-07-11","96.5","-1.9328","6.0299","James Norwood",474832,656803,"walk","ball",,,,,"11","Brandon Belt walks.  ","R","L","R","SF","CHC","B","null","null",3,1,2018,"-1.3476","1.1863","-2.4776","2.7896","null","null","null",2,13,"Bot","null","null",,,575929,,"180712_001057","1.5600","-140.3340","-5.6618","-17.9081","32.1221","-15.6657","3.2400","1.4701","null","null","null","95.8310","2111","5.9620",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.5350","null","null","0.70",1,0,0,"null",114,"5","2-Seam Fastball",4,4,4,4,4,4,4,4,"Infield shift","Standard"
"FF","2018-07-11","97.2","-2.0511","6.0013","James Norwood",474832,656803,"null","called_strike",,,,,"13","null","R","L","R","SF","CHC","S","null","null",3,0,2018,"-0.8762","1.4431","-0.8397","2.0945","null","null","null",2,13,"Bot","null","null",,,575929,,"180712_001037","5.2028","-141.2777","-8.1440","-12.8070","32.8986","-11.4128","3.2400","1.4701","null","null","null","96.6080","2103","6.0630",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.4347","null","null","null","null","null","null","null",114,"4","4-Seam Fastball",4,4,4,4,4,4,4,4,"Strategic","Standard"
"FF","2018-07-11","95.9","-2.0779","5.9881","James Norwood",474832,656803,"null","ball",,,,,"13","null","R","L","R","SF","CHC","B","null","null",2,0,2018,"-1.1094","1.2560","-1.0941","1.9080","null","null","null",2,13,"Bot","null","null",,,575929,,"180712_001020","5.0108","-139.3150","-7.8988","-15.3251","30.0011","-14.5737","3.1951","1.4701","null","null","null","95.1690","2088","5.8630",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.6342","null","null","null","null","null","null","null",114,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-07-11","97.0","-2.0850","5.9847","James Norwood",474832,656803,"null","ball",,,,,"13","null","R","L","R","SF","CHC","B","null","null",1,0,2018,"-0.9078","1.4802","-0.0679","1.4216","null","null","null",2,13,"Bot","null","null",,,575929,,"180712_001004","7.3540","-140.5641","-9.7930","-13.5901","34.7136","-10.8159","3.1276","1.6276","null","null","null","95.6020","2219","5.9150",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.5820","null","null","null","null","null","null","null",114,"2","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"SL","2018-07-11","89.8","-1.8427","6.1750","James Norwood",474832,656803,"null","ball",,,,,"14","null","R","L","R","SF","CHC","B","null","null",0,0,2018,"-0.9794","0.1159","0.9467","0.0175","null","null","null",2,13,"Bot","null","null",,,575929,,"180712_000941","8.7595","-130.1167","-9.2960","-12.6530","26.9386","-29.2178","3.1785","1.4759","null","null","null","88.3240","1090","5.5730",530788,656803,575929,519203,595879,600303,608365,450314,518792,592178,"54.9241","null","null","null","null","null","null","null",114,"1","Slider",4,4,4,4,4,4,4,4,"Standard","Standard"
