"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-05-10","86.3","-2.1108","5.8663","Hector Neris",467055,593576,"strikeout","called_strike",,,,,"9","Pablo Sandoval called out on strikes.  ","R","L","R","PHI","SF","S",2,"null",1,2,2018,"-0.8604","-0.0752","0.4593","1.9515","null","null","null",2,9,"Top","null","null",,,595751,,"180510_195542","7.7444","-125.3188","-2.8735","-10.4841","25.8362","-32.6047","3.1749","1.4677","null","null","null","85.3320","1376","5.8280",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"54.6749","null","null","0.00",1,0,0,"null",70,"4","Split Finger",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-05-10","93.8","-1.8793","5.7018","Hector Neris",467055,593576,"null","ball",,,,,"11","null","R","L","R","PHI","SF","B","null","null",0,2,2018,"-0.8623","1.2098","-0.5427","4.6716","null","null","null",2,9,"Top","null","null",,,595751,,"180510_195528","5.2608","-136.4669","0.4411","-11.7011","29.9192","-17.7169","3.2015","1.4849","null","null","null","92.8630","2450","5.7370",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"54.7654","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"FS","2018-05-10","86.3","-2.0660","5.7792","Hector Neris",467055,593576,"null","called_strike",,,,,"9","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"-1.1070","-0.1865","0.2836","1.6585","null","null","null",2,9,"Top","null","null",,,595751,,"180510_195459","7.6779","-125.3605","-3.1308","-12.9709","26.1626","-33.6941","3.2299","1.5032","null","null","null","85.0700","1287","5.6650",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"54.8379","null","null","null","null","null","null","null",70,"1","Split Finger",6,3,3,6,3,6,3,6,"Standard","Standard"
"FF","2018-05-10","94.9","-2.0605","5.8482","Hector Neris",474832,593576,"null","ball",,,,,"11","null","R","L","R","PHI","SF","B","null","null",1,2,2018,"-0.5933","1.4313","-0.7421","3.5469","null","null","null",0,9,"Top","null","null",,,595751,,"180510_195238","4.7305","-138.0998","-3.4992","-8.5492","30.7755","-13.5451","3.3040","1.5556","null","null","null","94.3920","2475","5.9950",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"54.5081","null","null","null","null","null","null","null",68,"4","4-Seam Fastball",6,3,3,6,3,6,3,6,"Infield shift","Standard"
"FS","2018-05-10","86.0","-1.9938","6.0184","Hector Neris",474832,593576,"null","called_strike",,,,,"6","null","R","L","R","PHI","SF","S","null","null",1,0,2018,"-1.1605","0.7707","0.6423","2.3614","null","null","null",0,9,"Top","null","null",,,595751,,"180510_195202","8.3699","-124.8055","-3.8387","-13.4483","25.1255","-23.8489","3.3406","1.5343","null","null","null","84.5140","1336","5.4730",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"55.0294","null","null","null","null","null","null","null",68,"2","Split Finger",6,3,3,6,3,6,3,6,"Infield shift","Standard"
"FF","2018-05-10","94.1","-2.0477","5.9997","Hector Neris",474832,593576,"null","ball",,,,,"13","null","R","L","R","PHI","SF","B","null","null",0,0,2018,"-0.8430","1.4137","-1.1316","2.0083","null","null","null",0,9,"Top","null","null",,,595751,,"180510_195149","4.1658","-136.8059","-7.6585","-11.3032","28.8061","-13.3069","3.4176","1.6112","null","null","null","93.3980","2485","5.8260",529968,593576,595751,467793,514917,596748,465753,656555,546318,571437,"54.6768","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",6,3,3,6,3,6,3,6,"Infield shift","Standard"
"FF","2018-05-10","96.1","-2.8654","5.8036","Hunter Strickland",514917,519326,"null","ball",,,,,"12","null","R","L","R","PHI","SF","B","null","null",0,2,2018,"-0.2505","1.2578","0.3296","3.7293","null","608384.00","465753.00",2,8,"Bot","null","null",,,460026,,"180510_194805","9.0458","-139.6948","-2.7409","-5.3634","32.1475","-15.2784","3.3223","1.5517","null","null","null","96.1540","2324","6.4300",529968,519326,460026,467055,593700,446334,543063,474832,491676,453923,"54.0729","null","null","null","null","null","null","null",67,"3","4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard"
"SL","2018-05-10","82.5","-3.0858","5.8943","Hunter Strickland",514917,519326,"null","called_strike",,,,,"8","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"0.8505","-0.3880","-0.0952","1.9863","null","608384.00","465753.00",2,8,"Bot","null","null",,,460026,,"180510_194707","5.1198","-119.9245","-1.6038","6.9670","23.6098","-35.7558","3.4002","1.6095","null","null","null","81.2860","2484","5.5670",529968,519326,460026,467055,593700,446334,543063,474832,491676,453923,"54.9360","null","null","null","null","null","null","null",67,"1","Slider",6,3,6,3,3,6,6,3,"Standard","Standard"
"FF","2018-05-10","95.6","-3.0928","5.7376","Hunter Strickland",465753,519326,"walk","ball",,,,,"11","Pedro Florimon walks.   Nick Williams to 2nd.  ","R","L","R","PHI","SF","B","null","null",3,2,2018,"-0.3386","1.1905","-0.9171","3.9081","null","null","608384.00",2,8,"Bot","null","null",,,460026,,"180510_194626","6.4895","-139.0318","-1.8587","-5.8575","31.8053","-16.5942","3.4880","1.5911","null","null","null","95.4580","2333","6.2880",529968,519326,460026,467055,593700,446334,543063,474832,491676,453923,"54.2143","null","null","0.70",1,0,0,"null",66,"7","4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard"
"FF","2018-05-10","97.0","-2.7625","5.7797","Hunter Strickland",465753,519326,"null","ball",,,,,"12","null","R","L","R","PHI","SF","B","null","null",2,2,2018,"-0.6773","1.0980","1.6489","2.8003","null","null","608384.00",2,8,"Bot","null","null",,,460026,,"180510_194523","13.4186","-140.6605","-4.9448","-12.1570","32.1399","-16.5040","3.4687","1.5334","null","null","null","97.3460","2448","6.6960",529968,519326,460026,467055,593700,446334,543063,474832,491676,453923,"53.8065","null","null","null","null","null","null","null",66,"5","4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard"
