"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-31","91.9","1.8165","6.4649","Will Smith",622534,519293,"null","ball",,,,,"13","null","R","R","L","SD","SF","B","null","null",0,0,2018,"0.7132","1.2597","-0.0261","1.1804","null","null","null",2,10,"Bot","null","null",,,460026,,"180731_231421","-6.2136","-133.3516","-10.2163","9.8896","29.7747","-15.0963","3.5303","1.6602","null","null","null","91.7090","2192","6.4180",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.0825","null","null","null","null","null","null","null",83,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-07-31","91.4","1.8394","6.6093","Will Smith",592669,519293,"null","ball",,,,,"14","null","R","R","L","SD","SF","B","null","null",0,0,2018,"0.3951","1.3610","0.9792","2.0879","null","null","null",1,10,"Bot","null","null",,,460026,,"180731_231322","-2.9810","-132.8100","-8.3042","5.2549","29.2069","-14.7467","3.6450","1.6372","null","null","null","90.5930","2138","5.9390",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.5613","null","null","null","null","null","null","null",82,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Infield shift","Standard"
"FF","2018-07-31","92.2","1.8933","6.5632","Will Smith",454560,519293,"strikeout","called_strike",,,,,"14","A.  J.   Ellis called out on strikes.  ","R","R","L","SD","SF","S",2,"null",2,2,2018,"0.4973","1.3604","0.8872","2.1534","null","null","null",0,10,"Bot","null","null",,,460026,,"180731_231251","-3.5730","-133.9186","-8.1265","6.6576","30.8039","-14.6009","3.3926","1.7063","null","null","null","90.9350","2169","5.7720",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.7283","null","null","0.00",1,0,0,"null",81,"7","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2018-07-31","79.5","2.0862","6.3760","Will Smith",454560,519293,"null","called_strike",,,,,"6","null","R","R","L","SD","SF","S","null","null",2,1,2018,"-0.7406","-0.0318","0.3763","2.4889","null","null","null",0,10,"Bot","null","null",,,460026,,"180731_231124","-2.3745","-115.8889","-1.8178","-6.2301","18.2899","-32.3789","3.3697","1.5827","null","null","null","79.3350","2132","5.7320",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.7680","null","null","null","null","null","null","null",81,"4","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2018-07-31","78.8","2.1318","6.3299","Will Smith",454560,519293,"null","ball",,,,,"13","null","R","R","L","SD","SF","B","null","null",1,1,2018,"-0.8772","0.0643","-1.7560","1.7875","null","null","null",0,10,"Bot","null","null",,,460026,,"180731_231106","-6.7903","-114.6365","-3.1961","-6.4979","19.3968","-31.2931","3.3697","1.5827","null","null","null","78.4240","2238","5.8500",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.6498","null","null","null","null","null","null","null",81,"3","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-07-31","90.6","1.7781","6.5685","Will Smith",454560,519293,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",0,1,2018,"0.5537","1.1629","-1.2134","2.7665","null","null","null",0,10,"Bot","null","null",,,460026,,"180731_231048","-8.5647","-131.5921","-6.0037","8.0134","24.8257","-17.8119","3.4156","1.6372","null","null","null","90.3080","2086","5.9670",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.5334","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-07-31","90.5","1.9115","6.5643","Will Smith",454560,519293,"null","called_strike",,,,,"5","null","R","R","L","SD","SF","S","null","null",0,0,2018,"0.6123","1.2427","0.0666","2.6912","null","null","null",0,10,"Bot","null","null",,,460026,,"180731_231031","-5.8424","-131.6491","-6.3603","8.1555","24.1059","-16.8311","3.3697","1.5827","null","null","null","90.3830","2059","5.9310",531022,519293,460026,596103,488818,446334,543063,491676,621453,457705,"54.5694","null","null","null","null","null","null","null",81,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-07-31","91.3","-0.9994","5.2980","Phil Maton",621453,664208,"null","called_strike",,,,,"14","null","R","L","R","SD","SF","S","null","null",0,0,2018,"-0.0237","1.0677","0.1524","1.5124","543063.00","593700.00","491676.00",2,10,"Top","null","null",,,595978,,"180731_230631","2.9948","-133.0047","-6.1334","-0.8843","26.4201","-18.0868","3.4583","1.6372","null","null","null","92.8890","2615","7.0080",531022,664208,595978,543333,641319,570799,520471,571976,622534,608671,"53.4925","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",2,3,3,2,3,2,3,2,"Strategic","Standard"
"FF","2018-07-31","90.8","-0.9299","5.3564","Phil Maton",491676,664208,"walk","ball",,,,,"12","Gorkys Hernandez walks.   Alen Hanson to 2nd.  ","R","R","R","SD","SF","B","null","null",3,1,2018,"0.4498","1.3006","0.0264","3.6780","543063.00","null","593700.00",2,10,"Top","null","null",,,595978,,"180731_230548","1.4315","-132.4630","-1.1719","5.0972","27.9271","-16.4978","3.3467","1.5587","null","null","null","92.0800","2678","6.8900",531022,664208,595978,543333,641319,570799,520471,571976,622534,608671,"53.6102","null","null","0.70",1,0,0,"null",79,"5","4-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-07-31","78.6","-1.0692","5.2938","Phil Maton",491676,664208,"null","ball",,,,,"2","null","R","R","R","SD","SF","B","null","null",2,1,2018,"1.3961","-0.3481","0.0874","3.3961","543063.00","null","593700.00",2,10,"Top","null","null",,,595978,,"180731_230526","-0.0833","-114.2911","3.4719","12.1161","23.9758","-36.1637","3.3008","1.5587","null","null","null","78.1620","2975","6.3370",531022,664208,595978,543333,641319,570799,520471,571976,622534,608671,"54.1635","null","null","null","null","null","null","null",79,"4","Slider",2,3,3,2,3,2,3,2,"Standard","Standard"
