"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-14","96.6","-0.5657","5.7024","Jose Valdez",571697,572308,"null","ball",,,,,"11","null","R","L","R","SF","CIN","B","null","null",0,0,2018,"-0.5505","1.5010","-0.0416","3.3602","null","null","null",2,9,"Top","null","null",,,457763,,"180515_051719","2.5805","-140.4639","-3.9115","-7.6927","33.9121","-12.2236","3.1002","1.3942","null","null","null","95.1120","2539","5.6140",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.8837","null","null","null","null","null","null","null",84,"1","4-Seam Fastball",10,7,7,10,7,10,7,10,"Standard","Standard"
"FF","2018-05-14","96.7","-0.4923","5.5125","Jose Valdez",594807,572308,"null","called_strike",,,,,"3","null","R","R","R","SF","CIN","S","null","null",0,0,2018,"-0.6573","1.6681","0.4335","3.2146","null","571740.00","608385.00",2,9,"Top","null","null",,,457763,,"180515_051605","3.8694","-140.4663","-4.1572","-9.3777","34.1351","-10.0238","3.3891","1.6298","null","null","null","95.0880","2562","5.6140",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.8834","null","null","null","null","null","null","null",83,"1","4-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard"
"SL","2018-05-14","85.5","-0.6796","5.7624","Jose Valdez",606299,572308,"null","called_strike",,,,,"9","null","R","R","R","SF","CIN","S","null","null",0,0,2018,"0.3488","0.3082","0.8149","1.5579","null","571740.00","608385.00",1,9,"Top","null","null",,,457763,,"180515_051448","2.7910","-124.2410","-4.0808","2.8532","27.3044","-28.5058","3.2187","1.4119","null","null","null","83.6440","2840","5.3600",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"55.1374","null","null","null","null","null","null","null",82,"1","Slider",10,4,4,10,4,10,4,10,"Standard","Standard"
"CH","2018-05-14","87.8","-0.8956","5.7312","Jose Valdez",608385,572308,"null","ball",,,,,"13","null","R","L","R","SF","CIN","B","null","null",0,1,2018,"-1.1875","0.9563","-0.8358","1.3644","null","null","571740.00",1,9,"Top","null","null",,,457763,,"180515_051327","2.5352","-127.7164","-6.3513","-13.3107","25.7909","-20.8191","3.3878","1.6563","null","null","null","87.1830","1909","5.8720",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.6250","null","null","null","null","null","null","null",81,"2","Changeup",10,4,4,10,4,10,4,10,"Standard","Standard"
"FF","2018-05-14","95.9","-0.5269","5.5485","Jose Valdez",608385,572308,"null","called_strike",,,,,"8","null","R","L","R","SF","CIN","S","null","null",0,0,2018,"-0.8400","1.5087","-0.2690","1.7098","null","null","571740.00",1,9,"Top","null","null",,,457763,,"180515_051306","2.4895","-139.3414","-7.7306","-11.2158","31.6022","-11.5463","3.4329","1.5887","null","null","null","94.5330","2482","5.5930",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.9047","null","null","null","null","null","null","null",81,"1","4-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard"
"SL","2018-05-14","86.0","-0.3848","5.7000","Jose Valdez",571740,572308,"null","ball",,,,,"14","null","R","L","R","SF","CIN","B","null","null",1,1,2018,"0.2395","0.2670","1.2735","0.8242","null","null","null",1,9,"Top","null","null",,,457763,,"180515_051127","3.3980","-124.9772","-5.6796","1.6838","26.8194","-28.5484","3.5418","1.5473","null","null","null","84.2290","null","5.3470",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"55.1503","null","null","null","null","null","null","null",80,"3","Slider",10,4,4,10,4,10,4,10,"Standard","Standard"
"FF","2018-05-14","96.8","-0.1188","5.7005","Jose Valdez",571740,572308,"null","called_strike",,,,,"3","null","R","L","R","SF","CIN","S","null","null",1,0,2018,"-0.6344","1.5655","0.6766","3.0215","null","null","null",1,9,"Top","null","null",,,457763,,"180515_051107","3.5128","-140.7923","-5.0281","-9.1005","33.8873","-10.8479","3.6318","1.5698","null","null","null","95.7650","2511","5.8530",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.6448","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard"
"FF","2018-05-14","96.0","-0.3848","5.5825","Jose Valdez",571740,572308,"null","ball",,,,,"11","null","R","L","R","SF","CIN","B","null","null",0,0,2018,"-0.7518","1.6065","-1.4487","2.7406","null","null","null",1,9,"Top","null","null",,,457763,,"180515_051045","-1.1407","-139.5936","-5.3657","-9.2788","33.8023","-10.7249","3.6093","1.5023","null","null","null","94.6240","2448","5.6960",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.8014","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard"
"SL","2018-05-14","85.8","-0.4534","5.6457","Jose Valdez",607468,572308,"strikeout","called_strike",,,,,"6","Alex Blandino called out on strikes.  ","R","R","R","SF","CIN","S",2,"null",2,2,2018,"0.3432","0.2156","0.8264","2.6969","null","null","null",0,9,"Top","null","null",,,457763,,"180515_051012","2.3168","-124.8226","-1.1345","3.0136","24.5458","-30.0324","3.6113","1.6397","null","null","null","84.3940","2812","5.3280",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"55.1694","null","null","0.00",1,0,0,"null",79,"5","Slider",10,4,4,10,4,10,4,10,"Standard","Standard"
"FT","2018-05-14","95.6","-0.4342","5.3887","Jose Valdez",607468,572308,"null","called_strike",,,,,"9","null","R","R","R","SF","CIN","S","null","null",2,1,2018,"-1.0065","1.5580","0.8026","1.9893","null","null","null",0,9,"Top","null","null",,,457763,,"180515_050943","5.4263","-138.7878","-6.6460","-14.0135","33.6005","-11.1659","3.6113","1.6397","null","null","null","94.2950","2455","5.8390",530017,572308,457763,474832,605509,446334,543063,596103,453923,457705,"54.6587","null","null","null","null","null","null","null",79,"4","2-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard"
