"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-17","80.9","2.0831","6.3790","Will Smith",622534,519293,"null","ball",,,,,"13","null","R","R","L","SD","SF","B","null","null",2,2,2018,"-1.0343","-0.0385","-0.5845","0.3651","null","null","null",2,9,"Bot","null","null",,,460026,,"180918_045047","-3.9799","-117.6482","-6.6596","-8.7296","21.1142","-31.5624","3.3553","1.5973","null","null","null","80.2460","2260","5.7540",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.7462","null","null","null","null","null","null","null",72,"6","Slider",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-09-17","91.7","1.8902","6.5600","Will Smith",622534,519293,"null","called_strike",,,,,"6","null","R","R","L","SD","SF","S","null","null",2,0,2018,"0.3973","1.3954","0.3737","2.2764","null","null","null",2,9,"Bot","null","null",,,460026,,"180918_044930","-4.6341","-133.2546","-7.8619","5.6349","27.8473","-14.3757","3.5161","1.4818","null","null","null","91.0090","2127","5.8850",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.6151","null","null","null","null","null","null","null",72,"3","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"SL","2018-09-17","79.8","2.0854","6.3630","Will Smith",622534,519293,"null","ball",,,,,"7","null","R","R","L","SD","SF","B","null","null",1,0,2018,"-0.9970","0.1369","-0.6725","1.5359","null","null","null",2,9,"Bot","null","null",,,460026,,"180918_044911","-4.1912","-116.1229","-4.1001","-8.0445","21.8622","-30.4348","3.5161","1.6435","null","null","null","79.0320","2266","5.7650",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.7355","null","null","null","null","null","null","null",72,"2","Slider",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-09-17","90.3","1.5115","6.6947","Will Smith",622534,519293,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",0,0,2018,"0.6060","1.2357","-0.3826","3.6555","null","null","null",2,9,"Bot","null","null",,,460026,,"180918_044855","-5.9216","-131.2317","-4.1549","8.1181","27.2217","-17.4985","3.4242","1.5973","null","null","null","89.5400","1927","5.8490",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.6517","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-09-17","92.4","1.4870","6.6637","Will Smith",595978,519293,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",2,2,2018,"0.2230","1.3919","-1.0315","3.9062","null","null","null",0,9,"Bot","null","null",,,460026,,"180918_044710","-6.8347","-134.3349","-4.1424","4.1496","29.3628","-14.9319","3.4472","1.5973","null","null","null","91.6360","2058","5.9000",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.5998","null","null","null","null","null","null","null",70,"5","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2018-09-17","91.3","1.6601","6.6078","Will Smith",595978,519293,"null","ball",,,,,"14","null","R","R","L","SD","SF","B","null","null",1,2,2018,"0.3909","1.5680","1.0762","1.3752","null","null","null",0,9,"Bot","null","null",,,460026,,"180918_044650","-2.2812","-132.5504","-10.5072","5.0388","28.2947","-11.9056","3.4242","1.5742","null","null","null","90.6210","2151","6.0010",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.4990","null","null","null","null","null","null","null",70,"4","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2018-09-17","91.4","1.9184","6.6696","Will Smith",595978,519293,"null","ball",,,,,"3","null","R","R","L","SD","SF","B","null","null",0,0,2018,"0.3256","1.3921","0.5562","3.4467","null","null","null",0,9,"Bot","null","null",,,460026,,"180918_044542","-4.0886","-132.9859","-5.1617","4.6651","27.9061","-15.0466","3.5621","1.6204","null","null","null","90.8070","2208","5.8880",531655,519293,460026,605244,605412,446334,543063,453923,491676,596103,"54.6126","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2018-09-17","97.1","-2.2709","5.4216","Robert Stock",453923,476594,"strikeout","called_strike",,,,,"3","Gregor Blanco called out on strikes.  ","R","L","R","SD","SF","S",2,"null",3,2,2018,"-1.3833","0.7506","0.7543","3.2508","null","593700.00","null",1,9,"Top","null","null",,,595978,,"180918_044138","11.2033","-141.0166","-1.9686","-20.8806","31.3470","-21.9749","3.2173","1.5973","null","null","null","96.8540","2114","6.2090",531655,476594,595978,543333,605486,571976,520471,592669,622534,614177,"54.2915","null","null","0.00",1,0,0,"null",68,"8","4-Seam Fastball",2,4,4,2,4,2,4,2,"Strategic","Standard"
"FF","2018-09-17","97.7","-2.2195","5.4763","Robert Stock",453923,476594,"null","ball",,,,,"12","null","R","L","R","SD","SF","B","null","null",2,2,2018,"-0.8356","0.7341","0.2306","4.4305","null","593700.00","null",1,9,"Top","null","null",,,595978,,"180918_044041","8.5786","-142.1677","0.9343","-13.2648","29.2181","-22.4437","3.2863","1.5511","null","null","null","98.6010","2340","6.5640",531655,476594,595978,543333,605486,571976,520471,592669,622534,614177,"53.9365","null","null","null","null","null","null","null",68,"6","4-Seam Fastball",2,4,4,2,4,2,4,2,"Strategic","Standard"
"FF","2018-09-17","97.7","-2.3464","5.5207","Robert Stock",453923,476594,"null","ball",,,,,"12","null","R","L","R","SD","SF","B","null","null",1,1,2018,"-0.8756","0.9044","1.4190","3.1433","null","593700.00","null",1,9,"Top","null","null",,,595978,,"180918_043925","12.1821","-141.9583","-3.0412","-14.4416","28.5822","-19.3629","3.1943","1.4818","null","null","null","98.3410","2366","6.4620",531655,476594,595978,543333,605486,571976,520471,592669,622534,614177,"54.0378","null","null","null","null","null","null","null",68,"3","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
