"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-06-28","95.2","-2.0392","6.3366","Wade Davis",605412,451584,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",2,1,2018,"-0.4148","1.5128","-1.0238","1.8140","null","null","null",2,9,"Bot","null","null",,,608596,,"180628_225451","3.5508","-138.4483","-9.5630","-5.9841","26.1288","-11.1877","3.0648","1.4718","null","null","null","95.1040","2520","5.9210",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"54.5762","null","null","null","null","null","null","null",83,"4","4-Seam Fastball",8,9,8,9,9,8,8,9,"Standard","Standard"
"KC","2018-06-28","83.2","-2.1725","6.1867","Wade Davis",605412,451584,"null","ball",,,,,"11","null","R","L","R","SF","COL","B","null","null",1,0,2018,"0.8298","-1.0721","-1.1151","2.7043","null","null","null",2,9,"Bot","null","null",,,608596,,"180628_225408","0.8517","-120.9917","0.4117","7.7315","21.6065","-42.6831","3.0423","1.5168","null","null","null","81.8340","2597","5.2110",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"55.2861","null","null","null","null","null","null","null",83,"2","Knuckle Curve",8,9,8,9,9,8,8,9,"Standard","Standard"
"KC","2018-06-28","83.2","-2.2288","6.2391","Wade Davis",605412,451584,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",0,0,2018,"0.7309","-1.1982","-0.2188","1.1926","null","null","null",2,9,"Bot","null","null",,,608596,,"180628_225351","3.1759","-121.0789","-2.8462","6.4012","22.5011","-43.3550","3.0423","1.4943","null","null","null","82.1140","2691","5.4440",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"55.0536","null","null","null","null","null","null","null",83,"1","Knuckle Curve",8,9,8,9,9,8,8,9,"Standard","Standard"
"FF","2018-06-28","95.8","-1.7350","6.3036","Wade Davis",460026,451584,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",1,2,2018,"-0.5117","1.3416","1.0503","1.0796","null","null","null",1,9,"Bot","null","null",,,608596,,"180628_225259","8.4558","-139.0294","-11.2253","-8.1524","23.7196","-12.8388","3.2684","1.6272","null","null","null","96.2540","2413","6.1680",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"54.3293","null","null","null","null","null","null","null",82,"4","4-Seam Fastball",8,9,8,9,9,8,8,9,"Standard","Standard"
"FC","2018-06-28","91.0","-1.7667","6.2461","Wade Davis",460026,451584,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,1,2018,"0.1236","0.8297","1.3390","1.1515","null","null","null",1,9,"Bot","null","null",,,608596,,"180628_225216","7.4517","-132.2679","-8.6475","0.2528","21.2212","-21.2501","3.3358","1.5822","null","null","null","90.9640","2627","5.7830",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"54.7146","null","null","null","null","null","null","null",82,"2","Cutter",8,9,8,9,9,8,8,9,"Standard","Standard"
"FF","2018-06-28","93.2","-2.1341","6.2593","Wade Davis",467055,451584,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",0,0,2018,"-0.4632","1.3942","-0.6129","1.1650","null","null","null",0,9,"Bot","null","null",,,608596,,"180628_225055","4.8897","-135.2544","-10.2818","-6.7001","29.0493","-13.1833","3.0720","1.5072","null","null","null","92.7600","2305","6.1410",530615,451584,608596,435622,518934,571448,596115,467827,453568,471865,"54.3568","null","null","null","null","null","null","null",81,"1","4-Seam Fastball",8,9,8,9,9,8,8,9,"Standard","Standard"
"SL","2018-06-28","90.0","-1.6109","5.4531","Sam Dyson",571448,473879,"null","called_strike",,,,,"4","null","R","R","R","SF","COL","S","null","null",0,1,2018,"0.1262","0.6792","-0.4317","2.7358","null","null","null",2,9,"Top","null","null",,,460026,,"180628_224747","2.6120","-130.9377","-2.1524","0.8886","25.6030","-24.4812","3.3406","1.6573","null","null","null","88.3850","2531","5.1240",530615,473879,460026,474832,605412,467055,543063,593700,491676,457705,"55.3737","null","null","null","null","null","null","null",80,"2","Slider",8,9,9,8,9,8,9,8,"Standard","Standard"
"FT","2018-06-28","92.8","-1.6301","5.3464","Sam Dyson",571448,473879,"null","called_strike",,,,,"5","null","R","R","R","SF","COL","S","null","null",0,0,2018,"-1.3868","0.4363","0.1880","2.2425","null","null","null",2,9,"Top","null","null",,,460026,,"180628_224726","7.4204","-134.8433","-3.0605","-17.9094","26.3148","-26.6370","3.3856","1.7023","null","null","null","91.4850","2198","5.3460",530615,473879,460026,474832,605412,467055,543063,593700,491676,457705,"55.1519","null","null","null","null","null","null","null",80,"1","2-Seam Fastball",8,9,9,8,9,8,9,8,"Standard","Standard"
"CH","2018-06-28","86.5","-1.6431","5.3664","Sam Dyson",453568,473879,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",0,2,2018,"-1.3493","0.3565","-0.5201","0.3108","null","null","null",1,9,"Top","null","null",,,460026,,"180628_224612","5.1797","-125.6318","-6.4548","-14.7558","22.2022","-27.6168","3.2904","1.5971","null","null","null","85.0440","1990","5.1640",530615,473879,460026,474832,605412,467055,543063,593700,491676,457705,"55.3330","null","null","null","null","null","null","null",79,"3","Changeup",8,9,9,8,9,8,9,8,"Standard","Standard"
"SL","2018-06-28","89.2","-1.5610","5.4187","Sam Dyson",453568,473879,"null","called_strike",,,,,"5","null","R","L","R","SF","COL","S","null","null",0,0,2018,"0.3768","0.7501","0.0511","2.3482","null","null","null",1,9,"Top","null","null",,,460026,,"180628_224527","3.1397","-129.7570","-3.0284","3.5130","24.6649","-23.6678","3.3005","1.6296","null","null","null","87.6850","2510","5.1470",530615,473879,460026,474832,605412,467055,543063,593700,491676,457705,"55.3508","null","null","null","null","null","null","null",79,"1","Slider",8,9,9,8,9,8,9,8,"Standard","Standard"
