"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-05-30","84.0","-3.0057","5.8605","Hunter Strickland",571448,519326,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",1,0,2018,"0.5969","-0.3764","1.3668","1.9698","467827.00","641857.00","null",2,9,"Bot","null","null",,,457763,,"180531_035046","8.8174","-122.0566","-1.9619","4.3973","19.8468","-35.7521","3.3641","1.6658","null","null","null","83.0150","2787","5.3320",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"55.1701","null","null","null","null","null","null","null",82,"2","Slider",4,7,4,7,7,4,4,7,"Infield shift","Strategic"
"SL","2018-05-30","84.0","-3.0300","6.0658","Hunter Strickland",571448,519326,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,0,2018,"0.5225","-0.4252","0.3577","1.2291","467827.00","641857.00","null",2,9,"Bot","null","null",,,457763,,"180531_035022","6.7290","-122.1246","-4.0282","4.0210","19.9286","-35.9013","3.4139","1.6907","null","null","null","83.1430","2629","5.3920",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"55.1098","null","null","null","null","null","null","null",82,"1","Slider",4,7,4,7,7,4,4,7,"Infield shift","Strategic"
"FF","2018-05-30","95.2","-3.0565","5.7759","Hunter Strickland",641857,519326,"null","ball",,,,,"12","null","R","L","R","COL","SF","B","null","null",0,1,2018,"-0.1933","1.0752","0.4797","3.8023","null","null","467827.00",2,9,"Bot","null","null",,,457763,,"180531_034755","9.6911","-138.4232","-2.0066","-4.3127","25.8255","-18.0548","3.6786","1.6025","null","null","null","95.6550","2453","6.2320",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.2694","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"CH","2018-05-30","89.5","-2.8207","6.2373","Hunter Strickland",467827,519326,"null","ball",,,,,"14","null","R","L","R","COL","SF","B","null","null",0,0,2018,"-0.9038","0.6978","0.2770","1.3303","null","null","null",1,9,"Bot","null","null",,,457763,,"180531_034429","9.3436","-130.0464","-7.5558","-11.6084","19.9565","-23.3452","3.2185","1.5432","null","null","null","89.1690","1743","5.5780",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.9235","null","null","null","null","null","null","null",79,"1","Changeup",4,7,4,7,7,4,4,7,"Standard","Standard"
"SL","2018-05-30","83.4","-3.2393","5.7624","Hunter Strickland",547172,519326,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",2,2,2018,"0.5561","-0.5217","-1.1744","1.5035","null","null","null",0,9,"Bot","null","null",,,457763,,"180531_034314","3.6346","-121.3817","-2.3931","4.7121","21.5843","-37.0136","3.0959","1.5054","null","null","null","82.4300","2693","5.4270",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"55.0745","null","null","null","null","null","null","null",78,"5","Slider",4,7,4,7,7,4,4,7,"Standard","Standard"
"SL","2018-05-30","82.7","-3.0503","5.9500","Hunter Strickland",547172,519326,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",1,2,2018,"0.5022","-0.3370","-0.4776","1.1374","null","null","null",0,9,"Bot","null","null",,,457763,,"180531_034251","4.8246","-120.1731","-3.7903","3.8071","22.2187","-34.8859","3.1958","1.5056","null","null","null","81.2000","2677","5.2470",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"55.2549","null","null","null","null","null","null","null",78,"4","Slider",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-05-30","97.0","-3.0402","5.7081","Hunter Strickland",547172,519326,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",0,2,2018,"-0.5554","1.1370","-0.2738","1.0726","null","null","null",0,9,"Bot","null","null",,,457763,,"180531_034225","8.5360","-140.7255","-9.3180","-9.0219","28.3227","-15.5615","3.1209","1.4681","null","null","null","96.3290","2419","5.8220",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.6797","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-05-30","95.1","-3.0554","5.7948","Hunter Strickland",547172,519326,"null","called_strike",,,,,"11","null","R","L","R","COL","SF","S","null","null",0,0,2018,"-0.4568","1.0450","-0.8346","2.9222","null","null","null",0,9,"Bot","null","null",,,457763,,"180531_034133","6.7938","-138.3612","-4.2391","-7.1678","26.7166","-18.1586","3.1458","1.4681","null","null","null","95.1330","2316","6.0210",530238,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.4810","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FC","2018-05-30","87.3","1.9237","6.0793","Chris Rusin",446334,543734,"null","called_strike",,,,,"14","null","R","R","L","COL","SF","S","null","null",1,1,2018,"-0.1544","0.5128","0.9586","2.1363","null","null","null",1,9,"Top","null","null",,,547172,,"180531_033655","-1.9845","-127.2582","-4.4565","-1.3495","19.0967","-26.2307","3.8233","1.7817","null","null","null","86.7980","2408","5.2850",530238,543734,547172,435622,641857,571448,596115,467827,453568,471865,"55.2171","null","null","null","null","null","null","null",76,"3","Cutter",4,7,7,4,7,4,7,4,"Infield shift","Standard"
"SI","2018-05-30","89.7","1.9498","5.9961","Chris Rusin",446334,543734,"null","ball",,,,,"14","null","R","R","L","COL","SF","B","null","null",0,1,2018,"1.0247","0.4605","1.5134","2.2410","null","null","null",1,9,"Top","null","null",,,547172,,"180531_033641","-3.0987","-130.5410","-4.2778","11.9919","22.0311","-26.5124","3.7907","1.7568","null","null","null","88.8710","2334","5.3320",530238,543734,547172,435622,641857,571448,596115,467827,453568,471865,"55.1695","null","null","null","null","null","null","null",76,"2","Sinker",4,7,7,4,7,4,7,4,"Infield shift","Standard"
