"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-03-31","91.6","1.5644","5.5280","Scott Alexander",605412,518397,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",0,1,2018,"1.1957","0.2182","-1.3187","1.1953","null","453923.00","460026.00",1,9,"Top","null","null",,,605131,,"180401_035248","-9.7345","-132.9222","-5.5077","15.9867","26.1348","-28.7378","3.2912","1.4934","null","null","null","91.1340","2258","5.9790",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.5235","null","null","null","null","null","null","null",68,"2","Sinker",5,0,0,5,0,5,0,5,"Standard","Strategic"
"SI","2018-03-31","91.9","1.4689","5.6200","Scott Alexander",605412,518397,"null","called_strike",,,,,"1","null","R","L","L","LAD","SF","S","null","null",0,0,2018,"1.2929","0.1677","-0.2938","2.6679","null","453923.00","460026.00",1,9,"Top","null","null",,,605131,,"180401_035231","-7.1342","-133.6491","-1.9996","16.7129","27.1170","-30.0172","3.1379","1.3400","null","null","null","91.2600","2157","5.8060",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.6959","null","null","null","null","null","null","null",68,"1","Sinker",5,0,0,5,0,5,0,5,"Standard","Strategic"
"SI","2018-03-31","92.4","1.5463","5.5389","Scott Alexander",460026,518397,"walk","ball",,,,,"14","Nick Hundley walks.   Gregor Blanco to 2nd.  ","R","R","L","LAD","SF","B","null","null",3,1,2018,"1.3108","0.1289","0.6342","1.1630","null","null","453923.00",1,9,"Top","null","null",,,605131,,"180401_035113","-5.0538","-134.3326","-5.5653","16.6382","27.7197","-29.7263","3.4739","1.6928","null","null","null","91.6000","2193","5.7540",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.7479","null","null","0.70",1,0,0,"null",67,"5","Sinker",5,0,0,5,0,5,0,5,"Standard","Standard"
"SI","2018-03-31","92.8","1.5701","5.5414","Scott Alexander",460026,518397,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",2,1,2018,"1.2962","0.2528","-0.0351","1.0328","null","null","453923.00",1,9,"Top","null","null",,,605131,,"180401_035038","-6.7314","-134.6597","-6.1433","16.7781","29.4188","-28.1061","3.4739","1.7372","null","null","null","91.2230","2182","5.5080",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.9939","null","null","null","null","null","null","null",67,"4","Sinker",5,0,0,5,0,5,0,5,"Standard","Standard"
"SI","2018-03-31","92.2","1.5004","5.5837","Scott Alexander",460026,518397,"null","called_strike",,,,,"8","null","R","R","L","LAD","SF","S","null","null",2,0,2018,"1.3351","0.3826","0.2060","1.7101","null","null","453923.00",1,9,"Top","null","null",,,605131,,"180401_035018","-6.0642","-134.0364","-4.8027","17.0869","27.5774","-26.8788","3.4840","1.4707","null","null","null","91.4730","2242","5.7990",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.7033","null","null","null","null","null","null","null",67,"3","Sinker",5,0,0,5,0,5,0,5,"Standard","Standard"
"SI","2018-03-31","93.2","1.6094","5.5850","Scott Alexander",460026,518397,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",1,0,2018,"1.3180","0.3798","-0.2988","0.8737","null","null","453923.00",1,9,"Top","null","null",,,605131,,"180401_035000","-7.6736","-135.3289","-7.0872","17.6034","28.6823","-26.2982","3.4295","1.5596","null","null","null","92.4650","2250","5.9080",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.5940","null","null","null","null","null","null","null",67,"2","Sinker",5,0,0,5,0,5,0,5,"Standard","Standard"
"SI","2018-03-31","92.4","1.6635","5.5498","Scott Alexander",460026,518397,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",0,0,2018,"1.2345","0.1524","-0.1471","1.3071","null","null","453923.00",1,9,"Top","null","null",,,605131,,"180401_034944","-7.2313","-134.2874","-5.2792","16.3546","29.0807","-29.4339","3.4739","1.6484","null","null","null","91.9210","2215","6.0740",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.4285","null","null","null","null","null","null","null",67,"1","Sinker",5,0,0,5,0,5,0,5,"Standard","Standard"
"SI","2018-03-31","91.2","1.5038","5.5280","Scott Alexander",453923,518397,"walk","ball",,,,,"14","Gregor Blanco walks.  ","R","L","L","LAD","SF","B","null","null",3,0,2018,"1.2137","0.2435","0.6531","0.9516","null","null","null",1,9,"Top","null","null",,,605131,,"180401_034906","-4.6160","-132.4929","-6.0445","14.9452","27.5870","-28.3538","3.1178","1.4607","null","null","null","90.1270","2148","5.6690",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.8335","null","null","0.70",1,0,0,"null",66,"4","Sinker",5,0,0,5,0,5,0,5,"Standard","Strategic"
"SI","2018-03-31","92.2","1.5450","5.4857","Scott Alexander",453923,518397,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",2,0,2018,"1.1181","0.0621","-0.6219","0.9110","null","null","null",1,9,"Top","null","null",,,605131,,"180401_034850","-7.7888","-133.8904","-5.8882","14.8075","26.6459","-30.4905","3.1178","1.4607","null","null","null","91.4560","2240","5.7820",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.7202","null","null","null","null","null","null","null",66,"3","Sinker",5,0,0,5,0,5,0,5,"Standard","Strategic"
"SI","2018-03-31","92.8","1.5349","5.4759","Scott Alexander",453923,518397,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",1,0,2018,"1.7351","0.0001","-0.2425","-0.9953","null","null","null",1,9,"Top","null","null",,,605131,,"180401_034824","-8.0918","-134.4031","-10.5564","22.2440","27.9041","-30.2222","3.0734","1.4163","null","null","null","91.4110","2288","5.6220",529442,518397,605131,641355,523253,571657,571771,461314,621035,624577,"54.8798","null","null","null","null","null","null","null",66,"2","Sinker",5,0,0,5,0,5,0,5,"Standard","Strategic"
