"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-08-31","91.6","2.6356","6.2868","Ty Blach",457706,621389,"null","ball",,,,,"12","null","R","R","L","SF","NYM","B","null","null",0,2,2018,"1.2548","1.0150","0.9654","3.1166","null","null","null",2,9,"Top","null","null",,,605244,,"180901_043658","-6.5364","-132.9341","-4.1046","15.4092","25.5744","-20.2071","3.4100","1.5600","null","null","null","89.1330","2220","4.6810",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.8160","null","null","null","null","null","null","null",66,"3","Sinker",7,0,0,7,0,7,0,7,"Standard","Standard"
"SI","2018-08-31","90.2","2.9031","6.2842","Ty Blach",457706,621389,"null","called_strike",,,,,"7","null","R","R","L","SF","NYM","S","null","null",0,0,2018,"1.3317","1.0114","-0.3069","2.0777","null","null","null",2,9,"Top","null","null",,,605244,,"180901_043624","-10.3052","-130.5825","-6.2970","16.5840","26.6003","-20.1742","3.4100","1.5600","null","null","null","87.5140","2132","4.8100",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.6879","null","null","null","null","null","null","null",66,"1","Sinker",7,0,0,7,0,7,0,7,"Standard","Standard"
"SI","2018-08-31","90.7","2.7851","6.3288","Ty Blach",643446,621389,"null","called_strike",,,,,"4","null","R","L","L","SF","NYM","S","null","null",0,0,2018,"1.3342","1.0346","-0.6597","2.3189","null","null","null",1,9,"Top","null","null",,,605244,,"180901_043534","-10.9481","-131.3522","-6.0124","16.8643","25.1258","-19.8346","3.4100","1.5600","null","null","null","88.3160","2169","4.8500",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.6470","null","null","null","null","null","null","null",65,"1","Sinker",7,0,0,7,0,7,0,7,"Standard","Standard"
"SI","2018-08-31","91.9","2.6932","6.2896","Ty Blach",453943,621389,"strikeout","called_strike",,,,,"4","Todd Frazier called out on strikes.  ","R","R","L","SF","NYM","S",2,"null",1,2,2018,"1.3863","0.9863","-0.4368","2.7307","null","null","null",0,9,"Top","null","null",,,605244,,"180901_043506","-10.4061","-133.0726","-4.9988","17.7982","27.4037","-20.2897","3.4900","1.6000","null","null","null","89.1740","2241","4.7870",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.7107","null","null","0.00",1,0,0,"null",64,"4","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"SI","2018-08-31","91.1","2.7712","6.3553","Ty Blach",453943,621389,"null","called_strike",,,,,"1","null","R","R","L","SF","NYM","S","null","null",1,1,2018,"1.2952","0.9613","-0.4471","3.3507","null","null","null",0,9,"Top","null","null",,,605244,,"180901_043442","-10.3506","-132.0086","-3.4839","16.4598","26.1173","-21.0640","3.4900","1.6000","null","null","null","88.5270","2206","4.7620",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.7356","null","null","null","null","null","null","null",64,"3","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"CH","2018-08-31","81.1","2.9308","6.4118","Ty Blach",453943,621389,"null","called_strike",,,,,"12","null","R","R","L","SF","NYM","S","null","null",1,0,2018,"1.5114","0.6901","0.9623","2.5755","null","null","null",0,9,"Top","null","null",,,605244,,"180901_043427","-6.8007","-117.6415","-3.0956","14.3653","20.3495","-25.9060","3.4900","1.6000","null","null","null","78.3810","2091","4.3530",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"56.1442","null","null","null","null","null","null","null",64,"2","Changeup",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"SI","2018-08-31","90.3","2.8688","6.3176","Ty Blach",453943,621389,"null","ball",,,,,"13","null","R","R","L","SF","NYM","B","null","null",0,0,2018,"1.2663","1.1310","-0.1023","0.8752","null","null","null",0,9,"Top","null","null",,,605244,,"180901_043413","-9.6251","-130.6165","-9.5429","15.7441","25.7628","-18.1965","3.4900","1.6000","null","null","null","87.7620","2165","4.8860",531427,621389,605244,474832,605412,446334,593700,453923,491676,596103,"55.6116","null","null","null","null","null","null","null",64,"1","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"FF","2018-08-31","95.2","-2.6210","5.8254","Jacob Rhame",453923,642008,"null","called_strike",,,,,"11","null","R","L","R","SF","NYM","S","null","null",2,0,2018,"-0.7840","1.6345","-0.8823","2.5157","491676.00","null","605244.00",2,8,"Bot","null","null",,,519023,,"180901_043055","6.2022","-138.3291","-6.5418","-11.2135","30.1414","-10.4280","3.3000","1.5000","null","null","null","94.1790","2479","5.7170",531427,642008,519023,527038,643446,453943,408314,607043,457706,457803,"54.7800","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",7,0,7,0,0,7,7,0,"Standard","Standard"
"FS","2018-08-31","85.6","-2.9169","5.4711","Jacob Rhame",453923,642008,"null","ball",,,,,"11","null","R","L","R","SF","NYM","B","null","null",1,0,2018,"-1.5888","0.8081","-1.4496","3.0177","491676.00","null","605244.00",2,8,"Bot","null","null",,,519023,,"180901_043039","6.4635","-124.4278","-1.0910","-17.3272","24.1200","-24.0356","3.3000","1.5000","null","null","null","84.4490","1997","5.5180",531427,642008,519023,527038,643446,453943,408314,607043,457706,457803,"54.9793","null","null","null","null","null","null","null",63,"2","Split Finger",7,0,7,0,0,7,7,0,"Standard","Standard"
"FF","2018-08-31","94.7","-2.5663","5.8384","Jacob Rhame",453923,642008,"null","ball",,,,,"11","null","R","L","R","SF","NYM","B","null","null",0,0,2018,"-1.0754","1.3903","-2.1711","2.9675","491676.00","null","605244.00",2,8,"Bot","null","null",,,519023,,"180901_043024","3.3144","-137.7731","-4.7938","-14.0787","29.3657","-14.1082","3.3000","1.5000","null","null","null","93.6290","2390","5.5760",531427,642008,519023,527038,643446,453943,408314,607043,457706,457803,"54.9209","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",7,0,7,0,0,7,7,0,"Standard","Standard"
