"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-09-21","94.2","-1.4166","5.1854","Carlos Martinez",446334,593372,"null","called_strike",,,,,"7","null","R","R","R","STL","SF","S","null","null",0,0,2018,"-1.4036","0.3717","-0.6376","2.2126","593700.00","null","null",2,9,"Top","null","null",,,425877,,"180922_033818","4.9875","-136.9775","-2.7961","-18.3412","29.4401","-27.2444","3.7825","1.6730","null","null","null","93.1340","2023","5.6350",531710,593372,425877,572761,622168,576397,657557,542303,664056,666969,"54.8631","null","null","null","null","null","null","null",77,"1","2-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"FC","2018-09-21","93.1","-1.3110","5.3694","Carlos Martinez",491676,593372,"null","ball",,,,,"11","null","R","R","R","STL","SF","B","null","null",0,0,2018,"0.0338","0.8315","-1.3873","2.6254","null","593700.00","null",1,9,"Top","null","null",,,425877,,"180922_033645","-0.2654","-135.5830","-3.0793","0.4635","27.1012","-21.6989","3.5778","1.6146","null","null","null","92.5010","2343","5.6950",531710,593372,425877,572761,622168,576397,657557,542303,664056,666969,"54.8036","null","null","null","null","null","null","null",76,"1","Cutter",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-09-21","84.6","-1.5101","5.2821","Carlos Martinez",453923,593372,"strikeout","called_strike",,,,,"13","Gregor Blanco called out on strikes.  ","R","L","R","STL","SF","S",2,"null",2,2,2018,"1.2523","-0.0459","-1.0425","2.2975","null","593700.00","null",0,9,"Top","null","null",,,425877,,"180922_033600","-1.2548","-122.8530","-0.4618","12.3306","25.8841","-32.8191","3.2047","1.5828","null","null","null","82.3490","2264","5.0380",531710,593372,425877,572761,622168,576397,657557,542303,664056,666969,"55.4608","null","null","0.00",1,0,0,"null",75,"6","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-09-21","84.9","-1.4867","5.3023","Carlos Martinez",453923,593372,"null","ball",,,,,"14","null","R","L","R","STL","SF","B","null","null",1,1,2018,"0.8224","0.1679","1.5832","1.8834","null","593700.00","null",0,9,"Top","null","null",,,425877,,"180922_033402","5.4874","-123.3321","-1.9119","6.8967","25.9073","-30.4155","3.2626","1.7576","null","null","null","83.0140","2276","5.2560",531710,593372,425877,572761,622168,576397,657557,542303,664056,666969,"55.2421","null","null","null","null","null","null","null",75,"3","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"FT","2018-09-21","91.5","-1.5426","5.3264","Carlos Martinez",593700,593372,"null","ball",,,,,"14","null","R","L","R","STL","SF","B","null","null",0,0,2018,"-1.5295","0.2488","1.0920","1.9493","null","null","null",0,9,"Top","null","null",,,425877,,"180922_033202","9.5815","-132.6818","-3.0390","-19.4636","29.4673","-28.9615","3.6250","1.8178","null","null","null","89.3370","1919","5.2330",531710,593372,425877,572761,622168,576397,657557,542303,664056,666969,"55.2652","null","null","null","null","null","null","null",74,"1","2-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-09-21","86.2","3.2945","5.3027","Tony Watson",572761,453265,"null","ball",,,,,"13","null","R","L","L","STL","SF","B","null","null",0,2,2018,"-0.2470","0.0418","-1.0327","2.1169","null","571431.00","null",2,8,"Bot","null","null",,,460026,,"180922_032853","-9.6988","-125.1394","-1.3366","-0.4357","27.1873","-31.7073","3.6855","1.9423","null","null","null","85.1850","2506","5.9360",531710,453265,460026,605244,593700,446334,543063,453923,491676,596103,"54.5629","null","null","null","null","null","null","null",73,"4","Slider",5,3,5,3,3,5,5,3,"Infield shift","Standard"
"SI","2018-09-21","94.2","3.3627","5.3835","Tony Watson",572761,453265,"null","called_strike",,,,,"1","null","R","L","L","STL","SF","S","null","null",0,0,2018,"1.2437","1.0183","-0.6312","3.2730","null","571431.00","null",2,8,"Bot","null","null",,,460026,,"180922_032702","-12.9769","-136.4658","-1.9421","18.2287","30.1325","-19.3969","3.7148","2.0007","null","null","null","93.3400","2346","6.0350",531710,453265,460026,605244,593700,446334,543063,453923,491676,596103,"54.4632","null","null","null","null","null","null","null",73,"1","Sinker",5,3,5,3,3,5,5,3,"Infield shift","Standard"
"SL","2018-09-21","84.5","3.3839","5.3452","Tony Watson",571431,453265,"null","ball",,,,,"13","null","R","L","L","STL","SF","B","null","null",1,0,2018,"-0.1190","0.2974","-1.3217","1.6954","null","664056.00","622168.00",2,8,"Bot","null","null",,,460026,,"180922_032448","-10.5383","-122.5601","-2.6857","0.7429","22.2627","-28.9963","3.6271","1.8254","null","null","null","83.3090","2466","5.5010",531710,453265,460026,605244,593700,446334,543063,453923,491676,596103,"54.9980","null","null","null","null","null","null","null",72,"2","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"SL","2018-09-21","83.9","3.3412","5.3802","Tony Watson",571431,453265,"null","ball",,,,,"13","null","R","L","L","STL","SF","B","null","null",0,0,2018,"-0.4043","0.0747","-0.9779","2.5576","null","664056.00","622168.00",2,8,"Bot","null","null",,,460026,,"180922_032426","-9.0383","-121.7034","-0.2109","-2.0408","24.7604","-31.6868","3.4809","1.8546","null","null","null","82.2190","2418","5.4190",531710,453265,460026,605244,593700,446334,543063,453923,491676,596103,"55.0796","null","null","null","null","null","null","null",72,"1","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"KC","2018-09-21","79.0","-1.7291","6.6135","Mark Melancon",664056,453343,"walk","ball",,,,,"11","Harrison Bader walks.  ","R","R","R","STL","SF","B","null","null",3,1,2018,"0.4151","-1.0805","-1.7755","5.9611","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031946","-0.8510","-114.7576","7.2777","3.7682","20.4773","-43.1164","3.2742","1.5548","null","null","null","78.3860","2334","5.8720",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.6260","null","null","0.70",1,0,0,"null",70,"5","Knuckle Curve",3,3,3,3,3,3,3,3,"Standard","Standard"
"KC","2018-09-21","82.8","-1.8639","6.5440","Mark Melancon",664056,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",2,1,2018,"0.8039","-1.1309","1.2125","1.0842","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031916","5.4277","-120.3371","-3.7266","6.5254","24.6026","-42.4085","3.3034","1.5548","null","null","null","81.8160","2645","5.8140",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.6841","null","null","null","null","null","null","null",70,"4","Knuckle Curve",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-09-21","92.0","-1.8936","6.5095","Mark Melancon",664056,453343,"null","ball",,,,,"11","null","R","R","R","STL","SF","B","null","null",1,1,2018,"-0.4663","0.7899","-1.0413","2.5283","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031853","3.1670","-133.9145","-6.0276","-6.2475","25.6325","-21.6576","3.3619","1.5548","null","null","null","92.4250","2330","6.2720",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.2264","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-09-21","92.6","-1.8610","6.4523","Mark Melancon",664056,453343,"null","ball",,,,,"13","null","R","R","R","STL","SF","B","null","null",0,1,2018,"-0.6351","1.1081","-0.5711","1.4893","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031829","4.6780","-134.6192","-9.2982","-8.7157","27.8785","-16.9369","3.3911","1.6425","null","null","null","92.7910","2490","6.3510",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.1474","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
