"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-15","86.2","-0.1191","6.6684","Kyle McGrath",474832,657681,"null","ball",,,,,"13","null","R","L","L","SD","SF","B","null","null",0,0,2018,"0.0331","1.4499","-0.8622","1.4333","null","null","null",2,9,"Top","null","null",,,595978,,"180415_231943","-1.8360","-125.2985","-9.1770","0.7111","24.5952","-15.2300","3.2849","1.7756","null","null","null","86.4370","2031","6.4340",529638,657681,595978,452104,605486,570799,520471,519333,614173,517369,"54.0630","null","null","null","null","null","null","null",77,"1","4-Seam Fastball",10,1,1,10,1,10,1,10,"Infield shift","Strategic"
"FF","2018-04-15","86.3","-0.2342","6.7535","Kyle McGrath",453923,657681,"null","ball",,,,,"11","null","R","L","L","SD","SF","B","null","null",0,1,2018,"-0.1124","1.7157","-1.1755","2.5424","null","null","null",0,9,"Top","null","null",,,595978,,"180415_231729","-2.0072","-125.5151","-7.2554","-0.7920","24.5325","-12.8960","3.1178","1.5443","null","null","null","86.2200","2064","6.1880",529638,657681,595978,452104,605486,570799,520471,519333,614173,517369,"54.3098","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-15","96.1","-2.9901","5.5036","Hunter Strickland",605486,519326,"null","ball",,,,,"14","null","R","L","R","SD","SF","B","null","null",1,2,2018,"-0.3206","1.0744","1.5247","0.5051","null","null","null",2,8,"Bot","null","null",,,460026,,"180415_231344","12.5451","-139.1140","-9.8909","-6.9408","31.3612","-16.3948","3.2494","1.5485","null","null","null","95.1130","2394","6.0150",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"54.4821","null","null","null","null","null","null","null",74,"5","4-Seam Fastball",10,1,10,1,1,10,10,1,"Standard","Standard"
"FT","2018-04-15","93.9","-2.5960","6.1562","Hunter Strickland",605486,519326,"null","ball",,,,,"13","null","R","L","R","SD","SF","B","null","null",0,2,2018,"-1.3142","0.7001","-1.4559","2.1855","null","null","null",2,8,"Bot","null","null",,,460026,,"180415_231248","5.9013","-136.5124","-6.0649","-17.8273","33.3114","-22.1919","3.2157","1.4980","null","null","null","93.7840","2188","6.5170",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"53.9804","null","null","null","null","null","null","null",74,"3","2-Seam Fastball",10,1,10,1,1,10,10,1,"Standard","Standard"
"SL","2018-04-15","82.4","-3.0089","5.8573","Hunter Strickland",605486,519326,"null","called_strike",,,,,"13","null","R","L","R","SD","SF","S","null","null",0,0,2018,"1.2587","-0.4722","-1.1474","1.7901","null","null","null",2,8,"Bot","null","null",,,460026,,"180415_231200","1.8343","-119.8938","-1.8106","11.4272","23.2516","-36.5026","2.9978","1.3628","null","null","null","81.2200","2730","5.4970",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"55.0006","null","null","null","null","null","null","null",74,"1","Slider",10,1,10,1,1,10,10,1,"Standard","Standard"
"FF","2018-04-15","94.6","-2.8836","5.7644","Hunter Strickland",452104,519326,"null","ball",,,,,"11","null","R","L","R","SD","SF","B","null","null",1,0,2018,"-0.3605","0.7662","-1.0719","3.5989","null","null","null",1,8,"Bot","null","null",,,460026,,"180415_231100","5.5212","-137.7900","-1.7056","-5.7508","29.0152","-22.2733","3.1545","1.4872","null","null","null","94.7750","2413","6.2190",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"54.2783","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",10,1,10,1,1,10,10,1,"Infield shift","Standard"
"CH","2018-04-15","86.3","-2.7111","6.1781","Hunter Strickland",452104,519326,"null","ball",,,,,"11","null","R","L","R","SD","SF","B","null","null",0,0,2018,"-1.2130","0.6647","-1.0578","2.7633","null","null","null",1,8,"Bot","null","null",,,460026,,"180415_231043","6.2469","-125.4293","-3.1880","-13.7392","24.2963","-24.9315","3.1209","1.4704","null","null","null","85.3380","1348","5.6360",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"54.8611","null","null","null","null","null","null","null",73,"1","Changeup",10,1,10,1,1,10,10,1,"Infield shift","Standard"
"FF","2018-04-15","95.6","-2.8397","5.6404","Hunter Strickland",657681,519326,"null","called_strike",,,,,"9","null","R","L","R","SD","SF","S","null","null",0,1,2018,"-0.3582","1.2985","0.3990","2.1390","null","null","null",0,8,"Bot","null","null",,,460026,,"180415_230942","9.2721","-138.7233","-6.4158","-6.7087","31.9688","-14.3569","3.7468","1.8362","null","null","null","94.8720","2306","6.0870",529638,519326,460026,474832,605412,467055,605509,452254,457706,453923,"54.4102","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",10,1,10,1,1,10,10,1,"Standard","Standard"
"CH","2018-04-15","77.8","0.0398","6.4359","Kyle McGrath",460026,657681,"null","ball",,,,,"13","null","R","R","L","SD","SF","B","null","null",1,2,2018,"0.8080","1.3955","-0.3768","1.1702","467055.00","null","457705.00",2,8,"Top","null","null",,,595978,,"180415_230606","-2.3823","-113.1128","-6.9697","7.3899","20.0213","-19.1100","3.5138","1.6049","null","null","null","78.0220","1903","6.4260",529638,657681,595978,452104,605486,570799,520471,519333,614173,517369,"54.0715","null","null","null","null","null","null","null",71,"6","Changeup",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-15","88.0","-0.1962","6.6734","Kyle McGrath",460026,657681,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",0,2,2018,"0.1082","1.6375","-1.6631","3.2221","467055.00","null","457705.00",2,8,"Top","null","null",,,595978,,"180415_230445","-3.7740","-128.0836","-5.6433","1.9515","26.0065","-13.3107","3.3623","1.5880","null","null","null","87.9120","1963","6.1810",529638,657681,595978,452104,605486,570799,520471,519333,614173,517369,"54.3164","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
