"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-12","94.5","-0.5963","6.3474","Derek Law",543333,571882,"null","ball",,,,,"12","null","R","L","R","SD","SF","B","null","null",0,2,2018,"-0.2719","0.9901","1.0389","3.4380","null","null","null",2,9,"Bot","null","null",,,460026,,"180413_045632","4.8594","-137.4254","-4.0615","-4.5452","31.6440","-18.9904","3.7253","1.7188","null","null","null","94.2730","2159","6.2770",529595,571882,460026,474832,605412,446334,543063,452254,453923,491676,"54.2199","null","null","null","null","null","null","null",76,"3","4-Seam Fastball",0,7,0,7,7,0,0,7,"Infield shift","Strategic"
"FF","2018-04-12","93.8","-0.7516","6.2326","Derek Law",517369,571882,"null","ball",,,,,"13","null","R","R","R","SD","SF","B","null","null",1,1,2018,"-0.2244","0.9038","-0.0440","1.1968","null","null","null",1,9,"Bot","null","null",,,460026,,"180413_045500","2.3428","-136.3839","-9.3617","-3.3327","29.2224","-18.9617","3.5578","1.6992","null","null","null","94.3810","2023","6.6130",529595,571882,460026,474832,605412,446334,543063,452254,453923,491676,"53.8842","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard"
"CU","2018-04-12","76.0","-0.3178","6.5163","Derek Law",517369,571882,"null","ball",,,,,"11","null","R","R","R","SD","SF","B","null","null",0,0,2018,"0.2547","-0.6554","-0.3699","5.3377","null","null","null",1,9,"Bot","null","null",,,460026,,"180413_045421","-0.5409","-110.3032","5.6737","2.1123","20.0708","-38.6535","3.3221","1.5644","null","null","null","74.6330","1709","5.4740",529595,571882,460026,474832,605412,446334,543063,452254,453923,491676,"55.0236","null","null","null","null","null","null","null",75,"1","Curveball",0,7,0,7,7,0,0,7,"Standard","Standard"
"FF","2018-04-12","93.0","-0.4598","6.4258","Derek Law",614173,571882,"null","ball",,,,,"12","null","R","L","R","SD","SF","B","null","null",0,0,2018,"-0.0868","1.2966","0.8836","3.4814","null","null","null",0,9,"Bot","null","null",,,460026,,"180413_045338","3.6401","-135.3537","-4.6009","-1.8922","30.7954","-15.4589","3.7195","1.7135","null","null","null","92.9860","1997","6.3650",529595,571882,460026,474832,605412,446334,543063,452254,453923,491676,"54.1322","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard"
"FF","2018-04-12","89.7","2.0631","5.8402","Robbie Erlin",605412,572362,"null","ball",,,,,"13","null","R","L","L","SD","SF","B","null","null",0,0,2018,"0.5275","1.5634","-1.5309","2.2478","null","null","453923.00",2,9,"Top","null","null",,,595978,,"180413_045012","-9.9311","-129.9830","-6.0228","8.2176","30.4863","-13.5602","3.3264","1.5616","null","null","null","88.7020","2335","6.1690",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"54.3278","null","null","null","null","null","null","null",73,"1","4-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Standard"
"FT","2018-04-12","89.6","2.0832","5.8302","Robbie Erlin",460026,572362,"null","called_strike",,,,,"8","null","R","R","L","SD","SF","S","null","null",3,0,2018,"1.3105","1.2970","0.0624","1.9534","null","null","453923.00",1,9,"Top","null","null",,,595978,,"180413_044745","-7.6893","-130.0959","-6.2052","16.3890","28.6203","-16.5005","3.4566","1.5712","null","null","null","88.9290","2214","6.1020",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"54.3950","null","null","null","null","null","null","null",72,"4","2-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Standard"
"FF","2018-04-12","89.3","2.0507","5.7894","Robbie Erlin",460026,572362,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",1,0,2018,"0.3551","1.7694","-1.2671","2.6231","null","null","453923.00",1,9,"Top","null","null",,,595978,,"180413_044705","-8.8214","-129.6254","-5.3414","5.8665","28.4373","-11.6637","3.5138","1.7059","null","null","null","88.3360","2089","5.9340",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"54.5636","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Standard"
"FF","2018-04-12","90.1","1.9960","5.8653","Robbie Erlin",460026,572362,"null","ball",,,,,"11","null","R","R","L","SD","SF","B","null","null",0,0,2018,"0.5218","1.7197","-0.9473","3.7096","null","null","453923.00",1,9,"Top","null","null",,,595978,,"180413_044650","-8.3843","-130.8934","-2.9328","7.8824","30.7148","-12.2389","3.5643","1.5880","null","null","null","89.3920","2321","6.1960",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"54.3012","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",0,7,7,0,7,0,7,0,"Strategic","Standard"
"FT","2018-04-12","89.6","2.1768","5.8755","Robbie Erlin",453923,572362,"null","ball",,,,,"14","null","R","L","L","SD","SF","B","null","null",1,2,2018,"1.1722","1.2188","1.6632","2.3746","null","null","null",1,9,"Top","null","null",,,595978,,"180413_044558","-3.6949","-130.3143","-5.1418","13.9756","28.3935","-17.5987","3.1683","1.6117","null","null","null","89.0080","2282","6.0320",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"54.4651","null","null","null","null","null","null","null",71,"4","2-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Strategic"
"CU","2018-04-12","79.6","2.1023","5.9166","Robbie Erlin",453923,572362,"null","ball",,,,,"12","null","R","L","L","SD","SF","B","null","null",0,1,2018,"-0.2540","-0.7238","0.4361","3.4728","null","null","null",1,9,"Top","null","null",,,595978,,"180413_044518","-3.1289","-115.6574","2.6423","-1.5895","22.0110","-39.1849","3.1515","1.5274","null","null","null","77.8350","2605","5.1640",529595,572362,595978,543333,641319,570799,520471,605486,614173,517369,"55.3329","null","null","null","null","null","null","null",71,"2","Curveball",0,7,7,0,7,0,7,0,"Standard","Strategic"
