"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-06-24","83.5","2.2774","6.1781","Brad Hand",452254,543272,"null","called_strike",,,,,"6","null","R","R","L","SF","SD","S","null","null",0,0,2018,"-1.3167","-0.3314","0.6184","2.6693","457705.00","457763.00","543063.00",1,11,"Bot","null","null",,,595978,,"180624_230934","-1.3626","-121.3740","-1.0481","-11.9888","22.4528","-35.3570","3.2697","1.5198","null","null","null","80.8940","2554","4.4450",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"56.0520","null","null","null","null","null","null","null",83,"1","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-06-24","93.1","2.4010","6.1435","Brad Hand",457705,543272,"null","ball",,,,,"13","null","R","R","L","SF","SD","B","null","null",1,0,2018,"1.1936","0.1431","-0.1825","0.5105","null","null","null",1,11,"Bot","null","null",,,595978,,"180624_230314","-8.9346","-134.9260","-8.8060","15.9049","26.3746","-28.9965","3.2714","1.5680","null","null","null","91.4510","2145","5.2920",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"55.2052","null","null","null","null","null","null","null",80,"2","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-06-24","94.5","2.4979","6.1075","Brad Hand",457705,543272,"null","ball",,,,,"13","null","R","R","L","SF","SD","B","null","null",0,0,2018,"1.3098","0.4587","-0.1013","1.2653","null","null","null",1,11,"Bot","null","null",,,595978,,"180624_230251","-9.3529","-137.0625","-7.7855","17.8424","25.9422","-25.3021","3.2714","1.5680","null","null","null","93.0300","2194","5.2790",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"55.2184","null","null","null","null","null","null","null",80,"1","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-06-24","83.3","2.2483","6.2238","Brad Hand",474832,543272,"null","ball",,,,,"13","null","R","L","L","SF","SD","B","null","null",1,2,2018,"-1.6044","0.0119","-1.3772","2.0971","null","null","null",0,11,"Bot","null","null",,,595978,,"180624_230149","-5.2024","-120.9354","-2.9395","-13.7229","23.4307","-31.8086","3.1911","1.5094","null","null","null","80.3700","2409","4.3890",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"56.1089","null","null","null","null","null","null","null",79,"4","Slider",1,2,1,2,2,1,1,2,"Strategic","Standard"
"FF","2018-06-24","94.1","2.6124","5.9041","Brad Hand",474832,543272,"null","called_strike",,,,,"4","null","R","L","L","SF","SD","S","null","null",1,0,2018,"0.8410","1.1750","-0.5833","2.5318","null","null","null",0,11,"Bot","null","null",,,595978,,"180624_230053","-9.7421","-136.4887","-5.3665","11.9648","26.8294","-17.3397","3.1462","1.5093","null","null","null","91.7630","2332","4.8240",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"55.6729","null","null","null","null","null","null","null",79,"2","4-Seam Fastball",1,2,1,2,2,1,1,2,"Strategic","Standard"
"SL","2018-06-24","81.5","2.3388","6.2323","Brad Hand",474832,543272,"null","ball",,,,,"12","null","R","L","L","SF","SD","B","null","null",0,0,2018,"-1.1553","-0.3925","1.9291","2.9143","null","null","null",0,11,"Bot","null","null",,,595978,,"180624_230033","1.0517","-118.4446","-0.2945","-10.3127","18.8433","-35.8546","3.2135","1.5318","null","null","null","78.6390","2173","3.9790",530568,543272,595978,543333,605486,570799,520471,519333,622534,592669,"56.5181","null","null","null","null","null","null","null",79,"1","Slider",1,2,1,2,2,1,1,2,"Strategic","Standard"
"CH","2018-06-24","80.6","3.0922","6.4097","Ty Blach",570799,621389,"null","ball",,,,,"14","null","R","R","L","SF","SD","B","null","null",0,0,2018,"1.6809","0.8549","1.6151","2.5884","null","null","605486.00",2,11,"Top","null","null",,,457763,,"180624_225708","-6.0883","-117.0890","-3.3235","15.7664","19.5023","-24.3800","3.4749","1.7334","null","null","null","78.6390","2109","4.7410",530568,621389,457763,474832,605412,593700,543063,452254,491676,457705,"55.7559","null","null","null","null","null","null","null",78,"1","Changeup",1,2,2,1,2,1,2,1,"Infield shift","Standard"
"SI","2018-06-24","90.6","3.0283","6.3406","Ty Blach",605486,621389,"null","ball",,,,,"14","null","R","L","L","SF","SD","B","null","null",0,1,2018,"1.2980","1.1470","1.3620","2.0149","622534.00","null","null",2,11,"Top","null","null",,,457763,,"180624_225556","-6.5949","-131.4939","-7.0266","15.7061","25.4824","-18.3254","3.1771","1.3656","null","null","null","88.5000","2138","4.9310",530568,621389,457763,474832,605412,593700,543063,452254,491676,457705,"55.5666","null","null","null","null","null","null","null",77,"2","Sinker",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2018-06-24","97.1","-1.3014","5.3472","Reyes Moronta",592669,606625,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",1,2,2018,"-0.3997","1.3720","0.5519","0.9730","622534.00","null","null",1,11,"Top","null","null",,,457763,,"180624_225238","5.8716","-141.1949","-9.3695","-6.5452","27.6119","-12.0033","3.3164","1.6330","null","null","null","97.6510","2472","6.3240",530568,606625,457763,474832,605412,593700,543063,452254,491676,457705,"54.1733","null","null","null","null","null","null","null",76,"5","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"SL","2018-06-24","84.8","-1.8631","5.0991","Reyes Moronta",592669,606625,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,2,2018,"1.1318","-0.1629","1.1601","-0.4463","null","622534.00","null",1,11,"Top","null","null",,,457763,,"180624_225145","4.8061","-123.2780","-6.2940","10.5170","21.8742","-32.9156","3.3612","1.5882","null","null","null","84.1840","2728","5.6980",530568,606625,457763,474832,605412,593700,543063,452254,491676,457705,"54.7998","null","null","null","null","null","null","null",76,"3","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
