"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-09-25","74.0","-2.6232","5.8695","Rowan Wick",518516,592858,"null","called_strike",,,,,"7","null","R","R","R","SF","SD","S","null","null",0,0,2018,"0.8812","-1.1779","-0.6956","1.9281","491676.00","null","null",0,12,"Bot","null","null",,,595978,,"180926_055349","2.3970","-107.4486","1.3824","6.0023","22.9450","-41.4951","3.2799","1.6151","null","null","null","72.1090","2282","5.4950",531768,592858,595978,543333,605486,571976,520471,592669,608671,614177,"55.0023","null","null","null","null","null","null","null",96,"1","Curveball",4,4,4,4,4,4,4,4,"Strategic","Strategic"
"FF","2018-09-25","94.7","-2.4971","6.0723","Rowan Wick",491676,592858,"null","ball",,,,,"11","null","R","R","R","SF","SD","B","null","null",2,2,2018,"-0.2640","1.4153","-0.0256","4.9622","null","null","null",0,12,"Bot","null","null",,,595978,,"180926_055157","7.0048","-137.6317","-0.3015","-4.9871","32.9854","-14.6109","3.3218","1.6054","null","null","null","93.9910","2364","6.1210",531768,592858,595978,543333,605486,571976,520471,592669,608671,614177,"54.3764","null","null","null","null","null","null","null",95,"5","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"CU","2018-09-25","76.5","-2.5067","5.9181","Rowan Wick",491676,592858,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",1,2,2018,"0.9268","-1.2818","0.9932","-0.1534","null","null","null",0,12,"Bot","null","null",,,595978,,"180926_055138","5.6697","-111.1375","-3.3887","6.2878","22.1752","-42.0414","3.2703","1.6315","null","null","null","75.0800","2387","5.5920",531768,592858,595978,543333,605486,571976,520471,592669,608671,614177,"54.9053","null","null","null","null","null","null","null",95,"4","Curveball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-09-25","94.3","-2.6695","6.0370","Rowan Wick",491676,592858,"null","ball",,,,,"2","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-0.2600","1.5007","-0.0878","3.4506","null","null","null",0,12,"Bot","null","null",,,595978,,"180926_055046","7.1845","-137.0200","-4.2244","-4.7696","29.8215","-12.9925","3.3732","1.6054","null","null","null","93.2400","2285","5.7080",531768,592858,595978,543333,605486,571976,520471,592669,608671,614177,"54.7898","null","null","null","null","null","null","null",95,"1","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-25","92.2","-2.0248","6.1469","Mark Melancon",608671,453343,"null","called_strike",,,,,"13","null","R","L","R","SF","SD","S","null","null",2,1,2018,"0.0423","0.6450","-0.8329","2.3000","543333.00","null","592669.00",2,12,"Top","null","null",,,460026,,"180926_054646","2.9249","-134.2056","-5.3188","-0.1247","28.9236","-23.5470","3.3007","1.6294","null","null","null","91.8210","2309","6.0330",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.4644","null","null","null","null","null","null","null",94,"4","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-25","91.2","-2.1973","6.2267","Mark Melancon",608671,453343,"null","ball",,,,,"13","null","R","L","R","SF","SD","B","null","null",0,1,2018,"0.0151","0.8425","-0.2893","1.4836","543333.00","null","592669.00",2,12,"Top","null","null",,,460026,,"180926_054548","4.7283","-132.6297","-7.7792","-0.7833","26.9034","-20.9896","3.2492","1.6294","null","null","null","90.7270","2534","5.9180",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.5799","null","null","null","null","null","null","null",94,"2","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-25","92.4","-1.7063","6.2083","Mark Melancon",608671,453343,"null","called_strike",,,,,"7","null","R","L","R","SF","SD","S","null","null",0,0,2018,"-0.0686","0.8386","-0.5439","1.6025","543333.00","null","592669.00",2,12,"Top","null","null",,,460026,,"180926_054526","3.1099","-134.3332","-7.7265","-1.5081","29.3258","-20.5628","3.4035","1.6294","null","null","null","92.3710","2328","6.3380",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.1592","null","null","null","null","null","null","null",94,"1","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-25","92.0","-1.6994","6.2065","Mark Melancon",595978,453343,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",2,1,2018,"-0.0345","0.8519","1.0374","2.2509","null","543333.00","592669.00",1,12,"Top","null","null",,,460026,,"180926_054405","6.9813","-133.6961","-6.0053","-1.8438","27.4349","-20.9922","3.2960","1.5531","null","null","null","91.7610","2423","6.1090",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.3884","null","null","null","null","null","null","null",93,"4","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-25","92.2","-1.7132","6.1726","Mark Melancon",595978,453343,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",1,1,2018,"0.3312","0.5917","1.4679","1.4186","null","543333.00","592669.00",1,12,"Top","null","null",,,460026,,"180926_054342","7.3421","-133.9198","-7.4680","2.3160","29.8539","-23.6757","3.3218","1.5531","null","null","null","91.7540","2275","6.1930",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.3040","null","null","null","null","null","null","null",93,"3","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"KC","2018-09-25","83.0","-1.3609","6.3069","Mark Melancon",595978,453343,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,0,2018,"0.2854","-1.4955","0.1216","0.5949","null","543333.00","592669.00",1,12,"Top","null","null",,,460026,,"180926_054220","2.8086","-120.6404","-3.6219","2.0902","25.9695","-45.7950","3.2703","1.6315","null","null","null","81.5440","2720","5.6070",531768,453343,460026,605244,605412,593700,543063,453923,491676,452254,"54.8904","null","null","null","null","null","null","null",93,"1","Knuckle Curve",4,4,4,4,4,4,4,4,"Standard","Standard"
