"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-09","92.6","2.7721","4.8866","Zac Curtis",457706,657205,"null","ball",,,,,"3","null","R","R","L","PHI","SF","B","null","null",0,1,2018,"1.3290","1.0997","0.6850","3.3952","null","491676.00","605509.00",2,9,"Top","null","null",,,595284,,"180510_022515","-8.0895","-134.5059","-0.3015","17.6404","31.2485","-19.3200","3.5155","1.6242","null","null","null","91.4170","2220","5.8390",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.6635","null","null","null","null","null","null","null",79,"2","4-Seam Fastball",11,3,3,11,3,11,3,11,"Standard","Standard"
"FF","2018-05-09","91.2","2.8660","4.9266","Zac Curtis",457706,657205,"null","called_strike",,,,,"12","null","R","R","L","PHI","SF","S","null","null",0,0,2018,"1.2437","1.2070","1.0524","2.6216","null","491676.00","605509.00",2,9,"Top","null","null",,,595284,,"180510_022455","-7.1120","-132.4883","-2.3755","15.9410","30.1267","-17.9886","3.5535","1.6257","null","null","null","90.0910","2236","5.8520",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.6512","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",11,3,3,11,3,11,3,11,"Standard","Standard"
"FF","2018-05-09","91.9","2.7563","4.9712","Zac Curtis",593700,657205,"null","called_strike",,,,,"3","null","R","R","L","PHI","SF","S","null","null",3,0,2018,"1.3379","1.2427","0.7936","2.9716","543063.00","491676.00","605509.00",1,9,"Top","null","null",,,595284,,"180510_022348","-7.7005","-133.3804","-1.7714","17.3084","30.2070","-17.5758","3.3174","1.5769","null","null","null","90.5420","2303","5.7300",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.7730","null","null","null","null","null","null","null",78,"4","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-09","92.6","2.7532","4.8657","Zac Curtis",593700,657205,"null","ball",,,,,"14","null","R","R","L","PHI","SF","B","null","null",2,0,2018,"1.3477","1.1463","1.1270","1.5814","543063.00","491676.00","605509.00",1,9,"Top","null","null",,,595284,,"180510_022327","-6.9257","-134.4720","-4.9141","17.4915","30.3887","-17.7771","3.2049","1.6793","null","null","null","91.2540","2100","5.6880",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.8151","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"SL","2018-05-09","85.1","2.8387","4.8523","Zac Curtis",593700,657205,"null","ball",,,,,"12","null","R","R","L","PHI","SF","B","null","null",1,0,2018,"-0.3926","0.4559","1.2440","2.5522","543063.00","491676.00","605509.00",1,9,"Top","null","null",,,595284,,"180510_022241","-2.9315","-123.8176","-0.0005","-3.3580","23.6180","-27.8786","3.3628","1.6102","null","null","null","83.8540","null","5.3790",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"55.1241","null","null","null","null","null","null","null",78,"2","Slider",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-09","91.9","2.9259","4.7857","Zac Curtis",593700,657205,"null","ball",,,,,"14","null","R","R","L","PHI","SF","B","null","null",0,0,2018,"1.5146","0.9662","0.5139","1.1245","543063.00","491676.00","605509.00",1,9,"Top","null","null",,,595284,,"180510_022219","-9.1976","-133.3556","-5.3616","19.6971","29.5349","-19.9729","3.4319","1.6891","null","null","null","90.6540","2058","5.7570",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.7458","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-09","92.8","2.7993","4.8953","Zac Curtis",605509,657205,"walk","ball",,,,,"12","Kelby Tomlinson walks.   Pablo Sandoval scores.    Brandon Crawford to 3rd.    Gorkys Hernandez to 2nd.  ","R","R","L","PHI","SF","B","null","null",3,1,2018,"1.3705","0.7961","1.5063","3.1910","467055.00","543063.00","491676.00",1,9,"Top","null","null",,,595284,,"180510_022139","-6.1287","-134.8602","-0.2495","17.6192","29.4017","-22.9155","3.4299","1.6977","null","null","null","91.5060","2109","5.5910",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.9119","null","null","0.70",1,0,0,"null",77,"5","4-Seam Fastball",11,1,1,11,1,11,1,11,"Standard","Standard"
"FF","2018-05-09","91.9","2.6981","4.7831","Zac Curtis",605509,657205,"null","ball",,,,,"13","null","R","R","L","PHI","SF","B","null","null",2,1,2018,"1.3071","0.9764","-0.8146","1.4623","467055.00","543063.00","491676.00",1,9,"Top","null","null",,,595284,,"180510_022118","-11.5549","-133.1325","-4.5431","17.8127","28.8576","-19.9917","3.4398","1.7273","null","null","null","90.8750","2193","5.9410",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.5621","null","null","null","null","null","null","null",77,"4","4-Seam Fastball",11,1,1,11,1,11,1,11,"Standard","Standard"
"CH","2018-05-09","88.9","2.5948","5.0857","Zac Curtis",605509,657205,"null","ball",,,,,"13","null","R","R","L","PHI","SF","B","null","null",1,1,2018,"1.3048","0.9349","-0.2382","1.5019","467055.00","543063.00","491676.00",1,9,"Top","null","null",,,595284,,"180510_022057","-9.4950","-129.0212","-4.5862","16.2301","26.0992","-21.2317","3.4891","1.6878","null","null","null","87.9360","1380","5.7730",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.7301","null","null","null","null","null","null","null",77,"3","Changeup",11,1,1,11,1,11,1,11,"Standard","Standard"
"FF","2018-05-09","91.0","2.8121","4.7985","Zac Curtis",605509,657205,"null","ball",,,,,"12","null","R","R","L","PHI","SF","B","null","null",0,1,2018,"1.3610","0.8469","2.6085","3.5077","467055.00","543063.00","491676.00",1,9,"Top","null","null",,,595284,,"180510_022034","-3.3146","-132.3584","0.9193","16.2949","30.0828","-22.9789","3.4990","1.6977","null","null","null","89.6930","2041","5.6600",529959,657205,595284,467793,621044,596748,465753,608384,546318,571437,"54.8428","null","null","null","null","null","null","null",77,"2","4-Seam Fastball",11,1,1,11,1,11,1,11,"Standard","Standard"
