"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-07-20","85.0","3.4794","5.2335","Tony Watson",656305,453265,"null","called_strike",,,,,"6","null","R","R","L","OAK","SF","S","null","null",0,0,2018,"1.6852","0.6785","0.3881","2.5306","null","null","null",1,9,"Bot","null","null",,,457763,,"180721_042316","-10.3672","-123.1171","-1.2419","18.8355","25.4253","-25.4546","3.5891","1.7598","null","null","null","83.5530","2429","5.6810",530871,453265,457763,467055,593700,624507,543063,491676,621453,457705,"54.8168","null","null","null","null","null","null","null",69,"1","Changeup",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2018-07-20","92.8","3.4639","5.2661","Tony Watson",621566,453265,"strikeout","called_strike",,,,,"9","Matt Olson called out on strikes.  ","R","L","L","OAK","SF","S",2,"null",1,2,2018,"1.2108","0.7939","0.7636","2.1508","null","null","null",0,9,"Bot","null","null",,,457763,,"180721_042240","-9.3760","-134.7222","-3.8166","16.4598","28.7662","-22.1206","3.4828","1.7093","null","null","null","91.7530","2317","5.7500",530871,453265,457763,467055,593700,624507,543063,491676,621453,457705,"54.7484","null","null","0.00",1,0,0,"null",68,"4","Sinker",1,5,1,5,5,1,1,5,"Strategic","Standard"
"SL","2018-07-20","84.1","3.5039","5.3354","Tony Watson",621566,453265,"null","called_strike",,,,,"7","null","R","L","L","OAK","SF","S","null","null",1,1,2018,"-0.4149","0.0846","-0.6627","1.6968","null","null","null",0,9,"Bot","null","null",,,457763,,"180721_042216","-8.6823","-121.9858","-2.1404","-2.3117","23.7494","-31.2053","3.5221","1.6699","null","null","null","82.4390","2474","5.3330",530871,453265,457763,467055,593700,624507,543063,491676,621453,457705,"55.1657","null","null","null","null","null","null","null",68,"3","Slider",1,5,1,5,5,1,1,5,"Strategic","Standard"
"SI","2018-07-20","92.0","3.5088","5.2466","Tony Watson",621566,453265,"null","ball",,,,,"14","null","R","L","L","OAK","SF","B","null","null",0,1,2018,"1.7845","0.4752","1.0362","2.6323","null","null","null",0,9,"Bot","null","null",,,457763,,"180721_042159","-9.9342","-133.3199","-1.6403","23.1084","33.3938","-26.5550","3.5423","1.7684","null","null","null","90.2040","2352","5.7990",530871,453265,457763,467055,593700,624507,543063,491676,621453,457705,"54.6994","null","null","null","null","null","null","null",68,"2","Sinker",1,5,1,5,5,1,1,5,"Strategic","Standard"
"FF","2018-07-20","95.3","-2.7959","5.9584","J.B. Wendelken",460026,605525,"null","ball",,,,,"14","null","R","R","R","OAK","SF","B","null","null",2,1,2018,"-0.6654","1.5530","0.7523","1.3729","null","467055.00","null",1,9,"Top","null","null",,,518960,,"180721_041727","10.6457","-137.9508","-9.6287","-10.7873","31.8511","-10.7613","3.4503","1.6870","null","null","null","93.9320","2490","5.8620",530871,605525,518960,621566,476704,656305,543760,592192,641583,572039,"54.6359","null","null","null","null","null","null","null",66,"4","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"FF","2018-07-20","95.6","-2.8557","6.1727","J.B. Wendelken",460026,605525,"null","ball",,,,,"14","null","R","R","R","OAK","SF","B","null","null",1,1,2018,"-0.6267","1.4223","0.2297","1.2945","null","467055.00","null",1,9,"Top","null","null",,,518960,,"180721_041704","9.3661","-138.5002","-10.1764","-9.9496","30.2465","-12.2547","3.5291","1.6870","null","null","null","94.3010","2593","5.7240",530871,605525,518960,621566,476704,656305,543760,592192,641583,572039,"54.7745","null","null","null","null","null","null","null",66,"3","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"FF","2018-07-20","95.0","-2.8039","6.0875","J.B. Wendelken",460026,605525,"null","ball",,,,,"12","null","R","R","R","OAK","SF","B","null","null",0,0,2018,"-0.4833","1.2338","2.2473","3.0521","null","467055.00","null",1,9,"Top","null","null",,,518960,,"180721_041611","14.1130","-137.4807","-4.8801","-9.2158","31.0568","-15.9246","3.5291","1.7855","null","null","null","93.7750","2414","5.9160",530871,605525,518960,621566,476704,656305,543760,592192,641583,572039,"54.5818","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"FF","2018-07-20","92.3","3.1528","5.9935","Jeremy Bleich",624507,542946,"null","ball",,,,,"12","null","R","L","L","OAK","SF","B","null","null",0,1,2018,"0.3610","1.0685","0.1096","4.3372","null","467055.00","null",0,9,"Top","null","null",,,518960,,"180721_041132","-8.4908","-134.2143","-0.6993","6.1395","28.5067","-19.4122","3.4500","1.5587","null","null","null","92.0580","2374","6.1410",530871,542946,518960,621566,476704,656305,543760,592192,641583,572039,"54.3577","null","null","null","null","null","null","null",65,"2","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"FF","2018-07-20","91.3","3.0294","6.0317","Jeremy Bleich",467055,542946,"null","called_strike",,,,,"5","null","R","R","L","OAK","SF","S","null","null",0,0,2018,"0.5456","1.5266","-0.2123","2.4590","null","null","null",0,9,"Top","null","null",,,518960,,"180721_040942","-9.2526","-132.4387","-6.2391","8.4377","30.2542","-13.2981","3.2070","1.4993","null","null","null","90.3970","2280","6.0690",530871,542946,518960,621566,476704,656305,543760,592192,641583,572039,"54.4290","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"KC","2018-07-20","81.4","-1.1821","6.5925","Mark Melancon",501981,453343,"null","ball",,,,,"14","null","R","R","R","OAK","SF","B","null","null",0,2,2018,"0.4062","-1.1414","0.3479","1.5268","543760.00","null","476704.00",2,8,"Bot","null","null",,,457763,,"180721_040631","2.6482","-118.3812","-2.5124","3.1912","24.9860","-42.4357","3.5400","1.7076","null","null","null","80.6680","2609","6.0590",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.4392","null","null","null","null","null","null","null",63,"3","Knuckle Curve",1,5,1,5,5,1,1,5,"Standard","Standard"
"FC","2018-07-20","90.1","-1.5707","6.5815","Mark Melancon",476704,453343,"walk","ball",,,,,"13","Jed Lowrie walks.  ","R","L","R","OAK","SF","B","null","null",3,1,2018,"-0.0205","0.5728","-0.9434","1.4681","543760.00","null","null",2,8,"Bot","null","null",,,457763,,"180721_040440","1.5929","-131.0489","-7.8943","-0.5718","27.8257","-24.1999","3.4678","1.6279","null","null","null","89.6570","2487","6.0520",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.4466","null","null","0.70",1,0,0,"null",62,"5","Cutter",1,5,1,5,5,1,1,5,"Standard","Standard"
"FC","2018-07-20","90.8","-1.7123","6.5287","Mark Melancon",476704,453343,"null","called_strike",,,,,"7","null","R","L","R","OAK","SF","S","null","null",3,0,2018,"0.0525","0.7082","-0.6490","1.9784","543760.00","null","null",2,8,"Bot","null","null",,,457763,,"180721_040411","2.5480","-132.0867","-6.9956","0.0913","27.1003","-22.6593","3.4778","1.7067","null","null","null","90.8880","2412","6.2760",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.2219","null","null","null","null","null","null","null",62,"4","Cutter",1,5,1,5,5,1,1,5,"Standard","Standard"
"FC","2018-07-20","91.2","-1.8169","6.5599","Mark Melancon",476704,453343,"null","ball",,,,,"11","null","R","L","R","OAK","SF","B","null","null",2,0,2018,"0.2368","1.0882","-1.0813","2.8915","543760.00","null","null",2,8,"Bot","null","null",,,457763,,"180721_040346","1.3398","-132.6943","-5.6290","2.4937","27.4710","-18.4977","3.4284","1.7067","null","null","null","90.8620","2496","6.0160",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.4819","null","null","null","null","null","null","null",62,"3","Cutter",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2018-07-20","91.9","-1.6686","6.5930","Mark Melancon",476704,453343,"null","ball",,,,,"13","null","R","L","R","OAK","SF","B","null","null",1,0,2018,"-0.9661","0.8253","-0.4351","1.0301","543760.00","null","null",2,8,"Bot","null","null",,,457763,,"180721_040321","5.1935","-133.4487","-10.0114","-12.6053","26.8276","-20.4897","3.4284","1.6476","null","null","null","91.9060","2549","6.2600",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.2381","null","null","null","null","null","null","null",62,"2","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2018-07-20","91.6","-1.5690","6.6370","Mark Melancon",476704,453343,"null","ball",,,,,"13","null","R","L","R","OAK","SF","B","null","null",0,0,2018,"-0.7940","1.0448","-1.0416","1.9904","543760.00","null","null",2,8,"Bot","null","null",,,457763,,"180721_040232","2.9900","-133.1746","-8.0114","-9.9390","28.4671","-18.4619","3.3891","1.5689","null","null","null","90.8800","2431","5.8890",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.6094","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"KC","2018-07-20","81.3","-1.6921","6.7429","Mark Melancon",543760,453343,"null","ball",,,,,"13","null","R","R","R","OAK","SF","B","null","null",0,0,2018,"-0.1135","-1.0453","-0.1207","1.0679","null","null","null",1,8,"Bot","null","null",,,457763,,"180721_035957","3.6740","-118.1208","-4.0439","-1.7783","24.1353","-41.0843","3.3913","1.6096","null","null","null","79.8420","2707","5.5310",530871,453343,457763,467055,593700,624507,543063,491676,621453,457705,"54.9671","null","null","null","null","null","null","null",60,"1","Knuckle Curve",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2018-07-20","95.6","-2.6465","5.9065","Emilio Pagan",457763,641941,"null","ball",,,,,"14","null","R","R","R","OAK","SF","B","null","null",0,2,2018,"-0.4258","1.5744","0.1071","1.3991","null","null","543063.00",2,8,"Top","null","null",,,518960,,"180721_035302","8.2586","-138.6135","-9.7614","-7.6143","35.7796","-9.6087","3.5488","1.6783","null","null","null","95.3040","2520","6.6690",530871,641941,518960,621566,476704,656305,543760,592192,641583,572039,"53.8289","null","null","null","null","null","null","null",58,"3","4-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Standard"
"FF","2018-07-20","91.7","1.9777","5.8580","Ryan Buchter",543063,488748,"null","called_strike",,,,,"4","null","R","L","L","OAK","SF","S","null","null",0,0,2018,"0.6275","1.4039","-0.6747","2.7314","621453.00","null","null",2,8,"Top","null","null",,,518960,,"180721_034643","-8.0341","-133.1515","-5.0074","9.2120","29.7546","-14.6903","3.4962","1.5882","null","null","null","91.3040","2114","6.2600",530871,488748,518960,621566,476704,656305,543760,592192,641583,572039,"54.2387","null","null","null","null","null","null","null",57,"1","4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard"
