"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-10","91.7","3.1153","5.7548","Jorge De La Rosa",474832,407822,"walk","ball",,,,,"14","Brandon Belt walks.   Kelby Tomlinson to 3rd.    Austin Jackson to 2nd.  ","R","L","L","SF","ARI","B","null","null",3,0,2018,"1.1096","0.9042","0.9472","2.1271","null","605509.00","457706.00",1,9,"Bot","null","null",,,488671,,"180411_054055","-7.6788","-133.1839","-5.1523","14.4337","26.3258","-20.8670","3.2781","1.6022","null","null","null","90.5980","2127","5.5440",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.9535","null","null","0.70",1,0,0,"null",78,"4","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-04-10","92.3","2.8523","5.7751","Jorge De La Rosa",474832,407822,"null","ball",,,,,"13","null","R","L","L","SF","ARI","B","null","null",2,0,2018,"1.1017","1.1070","-0.0817","1.5761","null","605509.00","457706.00",1,9,"Bot","null","null",,,488671,,"180411_054028","-9.5873","-133.7966","-7.0230","14.8718","28.3694","-18.0412","3.2465","1.7417","null","null","null","90.6240","2159","5.4420",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"55.0554","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FS","2018-04-10","84.5","2.8023","5.8501","Jorge De La Rosa",474832,407822,"null","ball",,,,,"13","null","R","L","L","SF","ARI","B","null","null",1,0,2018,"0.9825","0.6574","-1.0315","1.0977","null","605509.00","457706.00",1,9,"Bot","null","null",,,488671,,"180411_053958","-10.6636","-122.4504","-5.9296","11.5688","20.8687","-24.8535","3.1125","1.3870","null","null","null","83.6880","1490","5.6780",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.8190","null","null","null","null","null","null","null",78,"2","Split Finger",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-04-10","84.2","2.9108","5.9625","Jorge De La Rosa",474832,407822,"null","ball",,,,,"11","null","R","L","L","SF","ARI","B","null","null",0,0,2018,"-0.1826","1.1245","-1.8503","2.3816","null","605509.00","457706.00",1,9,"Bot","null","null",,,488671,,"180411_053932","-10.5103","-121.9223","-3.9230","0.4857","26.0932","-20.7476","3.1125","1.3870","null","null","null","82.4810","2091","5.6130",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.8839","null","null","null","null","null","null","null",78,"1","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FS","2018-04-10","83.5","3.0109","5.8322","Jorge De La Rosa",457706,407822,"null","ball",,,,,"12","null","R","R","L","SF","ARI","B","null","null",1,0,2018,"1.1395","0.0327","1.0146","2.6557","null","605509.00","null",1,9,"Bot","null","null",,,488671,,"180411_053835","-6.7070","-121.3850","-0.9523","12.3173","22.6611","-31.9133","3.2986","1.4808","null","null","null","82.7530","1429","5.7400",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.7573","null","null","null","null","null","null","null",77,"2","Split Finger",4,4,4,4,4,4,4,4,"Standard","Standard"
"CU","2018-04-10","74.1","2.5553","6.2191","Jorge De La Rosa",457706,407822,"null","ball",,,,,"13","null","R","R","L","SF","ARI","B","null","null",0,0,2018,"-1.1398","-0.8973","-0.2150","1.2445","null","605509.00","null",1,9,"Bot","null","null",,,488671,,"180411_053814","-3.6675","-107.6389","-1.2977","-7.7040","20.7336","-38.8567","3.1004","1.3817","null","null","null","72.0500","2495","5.0630",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"55.4344","null","null","null","null","null","null","null",77,"1","Curveball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-04-10","91.6","2.8811","5.7697","Jorge De La Rosa",605509,407822,"walk","ball",,,,,"14","Kelby Tomlinson walks.  ","R","R","L","SF","ARI","B","null","null",3,1,2018,"1.2072","0.9824","1.0655","1.3368","null","null","null",0,9,"Bot","null","null",,,488671,,"180411_053518","-7.0578","-133.0089","-7.3133","15.5693","28.0524","-19.4107","3.2980","1.5203","null","null","null","90.6910","2133","5.8140",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.6830","null","null","0.70",1,0,0,"null",75,"5","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-04-10","91.4","2.6838","5.8656","Jorge De La Rosa",605509,407822,"null","called_strike",,,,,"5","null","R","R","L","SF","ARI","S","null","null",3,0,2018,"1.0253","1.1748","-0.1560","2.5890","null","null","null",0,9,"Bot","null","null",,,488671,,"180411_053456","-9.1882","-132.6392","-4.7760","13.7766","27.4849","-17.8202","3.2980","1.3716","null","null","null","90.3590","2185","5.7330",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.7645","null","null","null","null","null","null","null",75,"4","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-04-10","91.5","2.6776","6.0372","Jorge De La Rosa",605509,407822,"null","ball",,,,,"14","null","R","R","L","SF","ARI","B","null","null",2,0,2018,"0.9751","1.1811","0.9842","1.4927","null","null","null",0,9,"Bot","null","null",,,488671,,"180411_053437","-6.2456","-132.8324","-7.9884","12.6136","26.8038","-17.0410","3.3475","1.5203","null","null","null","90.6190","2161","5.7520",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.7451","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Strategic","Standard"
"FF","2018-04-10","91.3","2.8821","5.7177","Jorge De La Rosa",605509,407822,"null","ball",,,,,"14","null","R","R","L","SF","ARI","B","null","null",1,0,2018,"1.2700","1.0028","1.5297","1.8050","null","null","null",0,9,"Bot","null","null",,,488671,,"180411_053414","-5.9968","-132.5554","-5.9647","15.9403","28.7962","-19.5712","3.3475","1.5699","null","null","null","90.1330","2165","5.7350",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.7621","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",4,4,4,4,4,4,4,4,"Strategic","Standard"
"FF","2018-04-10","91.7","3.0261","5.7681","Jorge De La Rosa",605509,407822,"null","ball",,,,,"12","null","R","R","L","SF","ARI","B","null","null",0,0,2018,"1.2139","1.0407","2.0958","2.4759","null","null","null",0,9,"Bot","null","null",,,488671,,"180411_053356","-4.8314","-133.3119","-4.5860","15.1387","28.3569","-19.3524","3.3971","1.5203","null","null","null","90.5170","2133","5.5940",529560,407822,488671,502671,606466,518614,605113,502481,572041,572008,"54.9030","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",4,4,4,4,4,4,4,4,"Strategic","Standard"
"FF","2018-04-10","94.0","-3.0402","5.5547","Hunter Strickland",502671,519326,"null","called_strike",,,,,"6","null","R","R","R","SF","ARI","S","null","null",1,0,2018,"-0.1659","0.9212","0.3846","2.6570","null","null","null",2,9,"Top","null","null",,,457763,,"180411_053012","9.1579","-136.6509","-3.8035","-3.9075","27.5898","-20.1926","3.5082","1.5907","null","null","null","93.5700","2317","5.9010",529560,519326,457763,474832,605509,446334,543063,491676,457706,457705,"54.5967","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
