"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-13","96.3","-2.9313","5.8051","Hunter Strickland",592567,519326,"null","called_strike",,,,,"5","null","R","L","R","PIT","SF","S","null","null",0,0,2018,"-0.5082","1.3736","-0.1769","2.7978","null","465041.00","null",2,9,"Bot","null","null",,,460026,,"180513_204035","8.3588","-139.8382","-5.4109","-8.3835","30.2405","-13.4586","3.6526","1.7557","null","null","null","95.5350","2547","5.8710",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.6282","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"SL","2018-05-13","83.3","-3.0208","5.9185","Hunter Strickland",624428,519326,"null","ball",,,,,"13","null","R","L","R","PIT","SF","B","null","null",1,2,2018,"0.8574","-0.6022","-0.9699","1.3071","null","null","null",1,9,"Bot","null","null",,,460026,,"180513_203752","3.0313","-121.0948","-2.9368","7.5616","23.9668","-37.5904","3.1036","1.3073","null","null","null","81.8920","2673","5.4250",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"55.0743","null","null","null","null","null","null","null",76,"4","Slider",0,5,0,5,5,0,0,5,"Standard","Standard"
"FF","2018-05-13","96.4","-2.8824","5.7450","Hunter Strickland",624428,519326,"null","ball",,,,,"12","null","R","L","R","PIT","SF","B","null","null",0,0,2018,"-0.4070","1.2716","1.3590","2.4363","null","null","null",1,9,"Bot","null","null",,,460026,,"180513_203634","12.0431","-139.7785","-5.9588","-7.9424","31.2205","-14.6677","3.1336","1.3165","null","null","null","95.4010","2503","5.8890",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.6105","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard"
"FF","2018-05-13","96.4","-2.9135","5.7671","Hunter Strickland",474568,519326,"null","ball",,,,,"11","null","R","R","R","PIT","SF","B","null","null",2,1,2018,"-0.3701","1.4150","-0.5786","3.9128","null","null","null",0,9,"Bot","null","null",,,460026,,"180513_203503","7.0028","-140.2077","-2.5183","-6.4158","31.7111","-13.3587","3.4077","1.7337","null","null","null","95.9660","2485","6.0670",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.4320","null","null","null","null","null","null","null",75,"4","4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard"
"SL","2018-05-13","83.2","-2.8556","5.9507","Hunter Strickland",474568,519326,"null","ball",,,,,"13","null","R","R","R","PIT","SF","B","null","null",1,1,2018,"0.6694","-0.6603","-0.5588","1.3888","null","null","null",0,9,"Bot","null","null",,,460026,,"180513_203444","3.9295","-120.9593","-2.7436","5.6269","22.3619","-38.1899","3.4900","1.6010","null","null","null","81.7860","2736","5.2670",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"55.2318","null","null","null","null","null","null","null",75,"3","Slider",0,5,0,5,5,0,0,5,"Standard","Standard"
"FF","2018-05-13","96.2","-2.9073","5.7302","Hunter Strickland",474568,519326,"null","ball",,,,,"12","null","R","R","R","PIT","SF","B","null","null",0,0,2018,"-0.2341","1.3682","1.4916","2.5921","null","null","null",0,9,"Bot","null","null",,,460026,,"180513_203357","12.0904","-139.4564","-5.7416","-5.6181","29.7912","-13.4297","3.4568","1.7208","null","null","null","95.6360","2581","6.0610",530011,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.4378","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Standard","Standard"
"FF","2018-05-13","94.9","-2.1211","5.9231","Tyler Glasnow",474832,607192,"null","ball",,,,,"11","null","R","L","R","PIT","SF","B","null","null",0,2,2018,"0.4388","0.8408","-1.6502","4.4181","null","null","457705.00",2,9,"Top","null","null",,,465041,,"180513_202936","0.2309","-138.4808","-0.2861","5.7749","27.7356","-21.1251","3.4350","1.6243","null","null","null","96.8300","2373","7.0070",530011,607192,465041,605137,446481,501896,474568,572816,516782,624428,"53.4923","null","null","null","null","null","null","null",73,"3","4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shift","Standard"
"FF","2018-05-13","96.0","-1.9924","5.8963","Tyler Glasnow",474832,607192,"null","called_strike",,,,,"4","null","R","L","R","PIT","SF","S","null","null",0,1,2018,"0.2988","0.7754","-0.5627","2.6145","null","null","457705.00",2,9,"Top","null","null",,,465041,,"180513_202913","3.1487","-139.9880","-5.0511","3.3987","29.9695","-20.6818","3.3525","1.6449","null","null","null","98.1570","2363","7.2720",530011,607192,465041,605137,446481,501896,474568,572816,516782,624428,"53.2271","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shift","Standard"
"FF","2018-05-13","95.0","-1.9016","5.9109","Tyler Glasnow",474832,607192,"null","called_strike",,,,,"1","null","R","L","R","PIT","SF","S","null","null",0,0,2018,"0.3894","1.0800","-0.3383","3.4239","null","null","457705.00",2,9,"Top","null","null",,,465041,,"180513_202854","3.2606","-138.5704","-3.4925","4.5369","28.7027","-17.1487","3.4059","1.5952","null","null","null","97.2770","2444","7.2880",530011,607192,465041,605137,446481,501896,474568,572816,516782,624428,"53.2113","null","null","null","null","null","null","null",73,"1","4-Seam Fastball",0,5,5,0,5,0,5,0,"Infield shift","Strategic"
"CU","2018-05-13","80.9","-1.6208","6.0470","Tyler Glasnow",457705,607192,"walk","ball",,,,,"13","Andrew McCutchen walks.  ","R","R","R","PIT","SF","B","null","null",3,2,2018,"0.7400","-0.9396","-1.1970","1.7637","null","null","null",2,9,"Top","null","null",,,465041,,"180513_202823","-0.5031","-117.8787","-1.0665","7.1003","23.8130","-41.0425","3.4596","1.6539","null","null","null","81.7130","2803","6.9080",530011,607192,465041,605137,446481,501896,474568,572816,516782,624428,"53.5911","null","null","0.70",1,0,0,"null",72,"7","Curveball",0,5,5,0,5,0,5,0,"Standard","Standard"
