"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-08-19","96.4","1.8027","6.2074","Wandy Peralta",593700,593974,"null","ball",,,,,"13","null","R","R","L","CIN","SF","B","null","null",0,0,2018,"1.2979","0.9080","-1.2981","1.0083","null","null","null",2,9,"Top","null","null",,,592200,,"180819_200116","-10.7493","-139.3922","-9.8832","18.6234","30.8298","-18.8948","3.4904","1.5854","null","null","null","93.8980","2194","5.1390",531276,593974,592200,641525,599096,553993,606299,640447,571740,606157,"55.3609","null","null","null","null","null","null","null",79,"1","2-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FF","2018-08-19","95.8","2.2654","5.9124","Wandy Peralta",621453,593974,"null","called_strike",,,,,"7","null","R","L","L","CIN","SF","S","null","null",3,0,2018,"0.6608","0.9704","-0.3866","1.7765","null","null","null",0,9,"Top","null","null",,,592200,,"180819_195931","-8.2062","-138.9338","-7.2230","9.9437","28.9680","-18.8393","3.3565","1.5626","null","null","null","93.6930","2245","5.0820",531276,593974,592200,641525,599096,553993,606299,640447,571740,606157,"55.4176","null","null","null","null","null","null","null",77,"4","4-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FT","2018-08-19","94.7","2.2152","5.8749","Wandy Peralta",621453,593974,"null","ball",,,,,"13","null","R","L","L","CIN","SF","B","null","null",2,0,2018,"1.0183","0.9164","-0.0774","0.6492","null","null","null",0,9,"Top","null","null",,,592200,,"180819_195902","-7.9004","-137.2302","-9.6406","13.9245","27.4393","-19.3952","3.3118","1.4490","null","null","null","92.4290","2139","4.9520",531276,593974,592200,641525,599096,553993,606299,640447,571740,606157,"55.5475","null","null","null","null","null","null","null",77,"3","2-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FT","2018-08-19","95.2","2.1557","5.9759","Wandy Peralta",621453,593974,"null","ball",,,,,"13","null","R","L","L","CIN","SF","B","null","null",1,0,2018,"1.0436","0.8156","-0.6657","1.1317","null","null","null",0,9,"Top","null","null",,,592200,,"180819_195848","-9.3879","-137.9776","-8.6180","14.7328","27.1808","-20.6541","3.3341","1.5399","null","null","null","93.2890","2096","5.1280",531276,593974,592200,641525,599096,553993,606299,640447,571740,606157,"55.3723","null","null","null","null","null","null","null",77,"2","2-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FT","2018-08-19","96.3","2.0703","6.0031","Wandy Peralta",621453,593974,"null","ball",,,,,"12","null","R","L","L","CIN","SF","B","null","null",0,0,2018,"1.1782","0.8346","1.2274","2.4975","null","null","null",0,9,"Top","null","null",,,592200,,"180819_195834","-4.6573","-140.0184","-5.4508","15.8533","28.3036","-20.7626","3.3341","1.5898","null","null","null","94.4490","2095","5.0190",531276,593974,592200,641525,599096,553993,606299,640447,571740,606157,"55.4811","null","null","null","null","null","null","null",77,"1","2-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"SL","2018-08-19","79.3","-3.0670","5.7226","Chase d'Arnaud",599096,488818,"null","ball",,,,,"13","null","R","R","R","CIN","SF","B","null","null",0,1,2018,"0.0402","0.4963","-0.9218","1.8832","null","null","640447.00",2,8,"Bot","null","null",,,460026,,"180819_195532","4.5004","-115.1250","-2.4073","-0.5156","21.9274","-27.7933","3.3788","1.6988","null","null","null","77.2920","2231","5.0440",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.4557","null","null","null","null","null","null","null",76,"2","Slider",11,4,11,4,4,11,11,4,"Standard","Standard"
"SL","2018-08-19","80.0","-3.0230","6.0266","Chase d'Arnaud",599096,488818,"null","called_strike",,,,,"2","null","R","R","R","CIN","SF","S","null","null",0,0,2018,"0.1122","0.7279","-0.2078","2.8990","null","null","640447.00",2,8,"Bot","null","null",,,460026,,"180819_195519","5.8772","-116.2047","-1.4470","-0.1402","22.0877","-25.8348","3.4235","1.6307","null","null","null","78.3240","2221","5.2400",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.2597","null","null","null","null","null","null","null",76,"1","Slider",11,4,11,4,4,11,11,4,"Standard","Standard"
"SL","2018-08-19","80.7","-3.2158","5.8086","Chase d'Arnaud",605512,488818,"null","ball",,,,,"11","null","R","L","R","CIN","SF","B","null","null",0,0,2018,"-1.0262","1.1233","-1.2134","3.1956","null","null","640447.00",1,8,"Bot","null","null",,,460026,,"180819_195419","6.1901","-117.2589","-1.1789","-10.2728","21.9380","-22.2457","3.2671","1.5358","null","null","null","79.1010","1997","5.2320",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.2682","null","null","null","null","null","null","null",75,"1","Slider",11,4,11,4,4,11,11,4,"Infield shift","Standard"
"SL","2018-08-19","83.8","-2.8208","6.1063","Chase d'Arnaud",640447,488818,"null","ball",,,,,"14","null","R","R","R","CIN","SF","B","null","null",2,1,2018,"-0.6496","1.2985","1.8173","1.0560","null","null","null",1,8,"Bot","null","null",,,460026,,"180819_195315","11.7244","-121.2223","-7.5466","-8.4600","22.8807","-18.5090","3.6465","1.7441","null","null","null","82.3350","2050","5.5610",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"54.9386","null","null","null","null","null","null","null",74,"4","Slider",11,4,11,4,4,11,11,4,"Standard","Standard"
"SL","2018-08-19","78.9","-2.7784","6.3019","Chase d'Arnaud",640447,488818,"null","ball",,,,,"14","null","R","R","R","CIN","SF","B","null","null",1,0,2018,"0.5178","0.6458","1.0867","2.7236","null","null","null",1,8,"Bot","null","null",,,460026,,"180819_195250","7.3182","-114.5371","-2.0702","3.0593","20.8090","-26.5922","3.6688","1.7894","null","null","null","77.2760","2131","5.2260",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.2735","null","null","null","null","null","null","null",74,"2","Slider",11,4,11,4,4,11,11,4,"Standard","Standard"
"SL","2018-08-19","77.9","-2.9347","6.0042","Chase d'Arnaud",640447,488818,"null","ball",,,,,"14","null","R","R","R","CIN","SF","B","null","null",0,0,2018,"0.3343","0.6157","1.3737","1.3593","null","null","null",1,8,"Bot","null","null",,,460026,,"180819_195239","8.4777","-113.0543","-4.0985","1.3443","19.1080","-26.6166","3.6465","1.6761","null","null","null","76.5230","2145","5.2830",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.2172","null","null","null","null","null","null","null",74,"1","Slider",11,4,11,4,4,11,11,4,"Standard","Standard"
"SL","2018-08-19","77.4","-2.9178","6.1256","Chase d'Arnaud",553993,488818,"null","called_strike",,,,,"2","null","R","R","R","CIN","SF","S","null","null",1,1,2018,"0.3405","0.6055","-0.0686","3.2646","null","null","null",0,8,"Bot","null","null",,,460026,,"180819_195155","5.3893","-112.6310","-0.3246","1.9864","17.6448","-27.3176","3.3197","1.4945","null","null","null","76.5730","2153","5.3870",531276,488818,460026,474832,605412,446334,593700,491676,621453,596103,"55.1128","null","null","null","null","null","null","null",73,"3","Slider",11,4,11,4,4,11,11,4,"Infield shift","Standard"
