"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-08-06","86.9","-1.7667","5.5989","Hector Rondon",596103,444468,"strikeout","called_strike",,,,,"2","Austin Slater called out on strikes.  ","R","R","R","SF","HOU","S",2,"null",2,2,2018,"0.1749","0.2775","0.0618","3.2557","null","null","543063.00",1,9,"Bot","null","null",,,545358,,"180807_044034","3.9908","-126.4745","0.0000","1.0337","25.5745","-29.4961","3.2271","1.5476","null","null","null","86.1350","2336","5.7680",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.7294","null","null","0.00",1,0,0,"null",65,"5","Slider",1,3,1,3,3,1,1,3,"Standard","Strategic"
"SL","2018-08-06","87.0","-1.7782","5.6066","Hector Rondon",596103,444468,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",0,1,2018,"0.3075","0.2565","2.0255","1.2552","null","null","543063.00",1,9,"Bot","null","null",,,545358,,"180807_043917","8.4589","-126.4104","-4.7327","1.5088","26.2664","-28.6951","3.2011","1.4951","null","null","null","86.5630","2241","6.1340",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.3631","null","null","null","null","null","null","null",65,"2","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"SL","2018-08-06","86.9","-1.7937","5.6080","Hector Rondon",596103,444468,"null","called_strike",,,,,"14","null","R","R","R","SF","HOU","S","null","null",0,0,2018,"0.0762","0.5046","1.0930","2.0505","null","null","543063.00",1,9,"Bot","null","null",,,545358,,"180807_043856","6.7044","-126.3821","-3.3650","-0.4613","23.9062","-26.4139","3.2530","1.4951","null","null","null","86.4470","2205","5.8680",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.6290","null","null","null","null","null","null","null",65,"1","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"CH","2018-08-06","92.0","-1.7996","5.5012","Hector Rondon",543063,444468,"null","ball",,,,,"13","null","R","L","R","SF","HOU","B","null","null",1,2,2018,"-1.5252","0.4910","-1.4211","1.7105","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_043711","4.2900","-133.8681","-4.8715","-19.3392","27.9995","-25.4216","3.3308","1.5476","null","null","null","92.3870","1944","6.4510",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.0464","null","null","null","null","null","null","null",64,"4","Changeup",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-06","96.9","-1.7594","5.5504","Hector Rondon",543063,444468,"null","called_strike",,,,,"7","null","R","L","R","SF","HOU","S","null","null",1,1,2018,"-0.9488","1.3961","-0.6459","1.7826","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_043649","5.0760","-140.9200","-7.6353","-13.6199","30.3640","-12.3179","3.3763","1.6262","null","null","null","96.5110","2106","5.9820",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.5155","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-06","97.1","-1.8365","5.5816","Hector Rondon",543063,444468,"null","called_strike",,,,,"7","null","R","L","R","SF","HOU","S","null","null",1,0,2018,"-0.8786","1.3514","-0.6026","2.2046","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_043633","5.2558","-141.2433","-6.5309","-12.8084","31.4149","-13.0451","3.4344","1.6787","null","null","null","96.6670","2104","6.0080",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.4897","null","null","null","null","null","null","null",64,"2","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-06","96.8","-1.8252","5.5999","Hector Rondon",543063,444468,"null","ball",,,,,"13","null","R","L","R","SF","HOU","B","null","null",0,0,2018,"-0.8810","1.2598","-0.5965","1.1323","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_043617","5.2456","-140.6771","-9.2090","-12.7682","29.2059","-13.7682","3.4862","1.7311","null","null","null","96.7300","2066","6.1290",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.3687","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-06","97.9","-1.6335","5.5802","Hector Rondon",446334,444468,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",1,2,2018,"-0.8620","1.4309","0.8943","0.8941","null","null","null",0,9,"Bot","null","null",,,545358,,"180807_043525","8.7283","-142.0553","-10.3638","-13.4713","29.9957","-10.8934","3.5638","1.6525","null","null","null","97.5720","2040","6.0840",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.4138","null","null","null","null","null","null","null",63,"5","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"SL","2018-08-06","89.3","-1.7829","5.6237","Hector Rondon",446334,444468,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",0,2,2018,"0.3542","0.0201","1.5454","0.8537","null","null","null",0,9,"Bot","null","null",,,545358,,"180807_043444","7.4078","-129.7834","-5.7009","2.3499","27.9640","-30.9602","3.5120","1.6787","null","null","null","88.6350","2296","6.0090",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.4887","null","null","null","null","null","null","null",63,"3","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-08-06","96.4","-1.7002","5.7680","Hector Rondon",446334,444468,"null","called_strike",,,,,"8","null","R","R","R","SF","HOU","S","null","null",0,0,2018,"-0.9841","1.0290","0.0868","2.0096","null","null","null",0,9,"Bot","null","null",,,545358,,"180807_043403","6.9856","-140.3164","-6.8382","-14.4760","26.7689","-17.3088","3.6672","1.7049","null","null","null","97.1270","1830","6.3370",531097,444468,545358,643603,503556,493329,608324,605233,545350,502210,"54.1609","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"CU","2018-08-06","77.6","1.8924","6.5629","Will Smith",643603,519293,"null","called_strike",,,,,"12","null","R","R","L","SF","HOU","S","null","null",1,0,2018,"-0.6488","-0.4703","0.9756","2.9551","null","null","null",2,9,"Top","null","null",,,457763,,"180807_043105","-0.8128","-112.8224","-0.0112","-5.1751","19.6512","-36.2952","2.9933","1.4297","null","null","null","75.9790","2090","5.0610",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"55.4362","null","null","null","null","null","null","null",62,"2","Curveball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2018-08-06","92.2","1.7602","6.5147","Will Smith",643603,519293,"null","ball",,,,,"14","null","R","R","L","SF","HOU","B","null","null",0,0,2018,"0.5907","1.3889","0.6060","0.9714","null","null","null",2,9,"Top","null","null",,,457763,,"180807_043049","-4.1771","-133.8548","-11.1890","7.9123","27.0130","-13.5061","3.0193","1.4688","null","null","null","91.9010","2105","6.0900",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.4072","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"CU","2018-08-06","78.1","1.7841","6.5880","Will Smith",503556,519293,"null","ball",,,,,"12","null","R","R","L","SF","HOU","B","null","null",0,0,2018,"-0.8095","-0.4516","0.5422","3.8849","null","608324.00","493329.00",2,9,"Top","null","null",,,457763,,"180807_042908","-1.2117","-113.5423","1.8266","-6.5955","20.4243","-36.5556","3.4862","1.6525","null","null","null","77.0200","1880","5.5250",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.9722","null","null","null","null","null","null","null",61,"1","Curveball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","92.8","1.7773","6.4273","Will Smith",493329,519293,"walk","ball",,,,,"13","Yuli Gurriel walks.   Alex Bregman to 2nd.  ","R","R","L","SF","HOU","B","null","null",3,0,2018,"0.5274","1.4106","-0.3444","1.3905","null","null","608324.00",2,9,"Top","null","null",,,457763,,"180807_042825","-6.4852","-134.6964","-10.0426","7.6110","25.9942","-13.4418","3.4072","1.6000","null","null","null","92.2410","2075","5.8450",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.6529","null","null","0.70",1,0,0,"null",60,"4","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","94.1","1.7801","6.4181","Will Smith",493329,519293,"null","ball",,,,,"14","null","R","R","L","SF","HOU","B","null","null",2,0,2018,"0.5491","1.2577","0.7355","1.2704","null","null","608324.00",2,9,"Top","null","null",,,457763,,"180807_042801","-3.8986","-136.6497","-10.3513","7.6806","29.4126","-14.4944","3.4072","1.6262","null","null","null","93.7600","2068","6.1480",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.3492","null","null","null","null","null","null","null",60,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","93.3","1.6193","6.5155","Will Smith",502210,519293,"null","called_strike",,,,,"4","null","R","L","L","SF","HOU","S","null","null",0,0,2018,"0.5503","1.3680","-0.4239","2.6476","null","null","608324.00",1,9,"Top","null","null",,,457763,,"180807_042412","-6.4249","-135.7050","-7.2339","7.9738","24.0201","-14.0817","3.3567","1.7311","null","null","null","93.6750","2168","6.1100",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.3875","null","null","null","null","null","null","null",59,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","92.7","1.6024","6.4705","Will Smith",608324,519293,"null","ball",,,,,"13","null","R","R","L","SF","HOU","B","null","null",2,2,2018,"0.6981","1.4584","-0.7101","0.6536","null","null","null",1,9,"Top","null","null",,,457763,,"180807_042245","-7.3796","-134.4815","-12.2043","9.8748","24.9543","-12.3335","3.2271","1.5744","null","null","null","92.7520","2120","6.1650",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.3321","null","null","null","null","null","null","null",58,"5","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"FF","2018-08-06","92.5","1.6657","6.5335","Will Smith",608324,519293,"null","called_strike",,,,,"14","null","R","R","L","SF","HOU","S","null","null",2,0,2018,"0.6000","1.7067","0.8919","2.1157","null","null","null",1,9,"Top","null","null",,,457763,,"180807_042148","-3.2318","-134.3852","-9.0219","7.8632","29.2486","-10.0830","3.2530","1.4951","null","null","null","91.7290","2092","5.9220",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"54.5751","null","null","null","null","null","null","null",58,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CU","2018-08-06","77.0","1.8325","6.5492","Will Smith",608324,519293,"null","ball",,,,,"13","null","R","R","L","SF","HOU","B","null","null",1,0,2018,"-1.2412","-0.8554","-0.1653","0.7195","null","null","null",1,9,"Top","null","null",,,457763,,"180807_042120","-2.0342","-112.1142","-3.9104","-9.8764","18.7344","-38.8009","3.1232","1.5213","null","null","null","76.1830","2036","5.4920",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"55.0050","null","null","null","null","null","null","null",58,"2","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"SL","2018-08-06","80.1","2.1215","6.2787","Will Smith",608324,519293,"null","ball",,,,,"13","null","R","R","L","SF","HOU","B","null","null",0,0,2018,"-0.8366","-0.1529","-0.7073","0.8127","null","null","null",1,9,"Top","null","null",,,457763,,"180807_042057","-4.6441","-116.4931","-5.0351","-6.5752","20.7906","-32.8773","3.3308","1.5744","null","null","null","78.9840","2468","5.4260",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"55.0714","null","null","null","null","null","null","null",58,"1","Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CU","2018-08-06","76.9","1.8266","6.5424","Will Smith",545358,519293,"null","ball",,,,,"12","null","R","R","L","SF","HOU","B","null","null",1,0,2018,"-0.3871","-0.4037","1.0094","2.5610","null","null","null",0,9,"Top","null","null",,,457763,,"180807_041943","-1.0392","-111.8943","-0.7995","-2.9879","18.6569","-35.5818","3.3048","1.5213","null","null","null","75.8760","1633","5.3760",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"55.1219","null","null","null","null","null","null","null",57,"2","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CU","2018-08-06","75.9","1.8288","6.6322","Will Smith",545358,519293,"null","ball",,,,,"14","null","R","R","L","SF","HOU","B","null","null",0,0,2018,"-0.6309","-0.4271","0.6743","1.4257","null","null","null",0,9,"Top","null","null",,,457763,,"180807_041924","-1.3071","-110.3473","-3.0492","-4.7527","18.8871","-35.2822","3.3567","1.5476","null","null","null","74.5560","1800","5.2560",531097,519293,457763,596103,605412,446334,543063,491676,621453,457705,"55.2415","null","null","null","null","null","null","null",57,"1","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"FF","2018-08-06","95.4","-0.8781","6.0471","Roberto Osuna",457705,532077,"null","called_strike",,,,,"5","null","R","R","R","SF","HOU","S","null","null",0,0,2018,"-0.7524","1.5508","0.2340","2.5164","null","null","null",1,8,"Bot","null","null",,,545358,,"180807_041525","4.5326","-138.6523","-7.0160","-10.5170","29.1333","-11.2135","3.2271","1.4951","null","null","null","94.6920","2377","5.8070",531097,532077,545358,643603,503556,493329,608324,605233,545350,502210,"54.6901","null","null","null","null","null","null","null",55,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard"
"FF","2018-08-06","94.9","-1.0922","5.9870","Roberto Osuna",593700,532077,"null","called_strike",,,,,"7","null","R","L","R","SF","HOU","S","null","null",0,0,2018,"-0.7350","1.5528","-0.5367","1.8208","null","null","null",0,8,"Bot","null","null",,,545358,,"180807_041412","3.0185","-137.8023","-8.5060","-9.8322","30.2505","-11.1783","3.3826","1.7311","null","null","null","93.7860","2357","5.7220",531097,532077,545358,643603,503556,493329,608324,605233,545350,502210,"54.7757","null","null","null","null","null","null","null",54,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard"
"SL","2018-08-06","83.4","-1.1981","5.0255","Reyes Moronta",594828,606625,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",0,0,2018,"0.9333","0.1724","0.4325","1.2442","null","null","545350.00",2,8,"Top","null","null",,,457763,,"180807_041100","1.9460","-121.4080","-2.6195","8.6963","21.4204","-30.2727","3.2011","1.6592","null","null","null","82.6510","2625","5.5440",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.9530","null","null","null","null","null","null","null",53,"1","Slider",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FF","2018-08-06","96.9","-0.8238","5.3643","Reyes Moronta",545350,606625,"walk","ball",,,,,"14","Jake Marisnick walks.  ","R","R","R","SF","HOU","B","null","null",3,2,2018,"-0.1311","1.1908","2.1300","1.0075","null","null","null",2,8,"Top","null","null",,,457763,,"180807_040937","8.1809","-140.7132","-8.7984","-3.5324","30.7235","-14.6001","3.4603","1.6592","7","64.2","-10.1262","96.9560","2481","6.3480",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.1491","null","null","0.70",1,0,0,"null",52,"7","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","80.9","-1.0270","5.1217","Reyes Moronta",545350,606625,"null","ball",,,,,"13","null","R","R","R","SF","HOU","B","null","null",1,2,2018,"1.2628","0.0053","-1.3241","2.1000","null","null","null",2,8,"Top","null","null",,,457763,,"180807_040850","-2.9820","-117.6852","-0.1447","12.0737","21.0913","-32.3311","3.3567","1.6262","null","null","null","80.2800","2518","5.7530",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.7442","null","null","null","null","null","null","null",52,"5","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","83.2","-0.9373","5.2370","Reyes Moronta",545350,606625,"null","called_strike",,,,,"14","null","R","R","R","SF","HOU","S","null","null",1,1,2018,"1.2392","-0.1729","0.8739","2.3304","null","null","null",2,8,"Top","null","null",,,457763,,"180807_040810","1.7667","-121.1541","0.0618","11.6802","22.0289","-34.0896","3.3308","1.5476","null","null","null","82.6490","2614","5.7250",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.7724","null","null","null","null","null","null","null",52,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","82.9","-1.2956","5.0440","Reyes Moronta",545350,606625,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",0,0,2018,"1.3425","0.1499","0.8954","0.5305","null","null","null",2,8,"Top","null","null",,,457763,,"180807_040734","2.4012","-120.6588","-4.0749","12.4265","24.8564","-30.1346","3.3048","1.5213","null","null","null","82.3760","2633","6.0570",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.4406","null","null","null","null","null","null","null",52,"1","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","81.5","-1.1106","5.1773","Reyes Moronta",605233,606625,"strikeout","called_strike",,,,,"7","Derek Fisher called out on strikes.  ","R","L","R","SF","HOU","S",2,"null",0,2,2018,"1.1581","0.1345","-0.4003","2.1008","null","null","null",1,8,"Top","null","null",,,457763,,"180807_040702","-0.5937","-118.7513","-0.6128","10.9522","22.0246","-31.0271","3.5379","1.6787","null","null","null","81.2650","2662","5.9840",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.5136","null","null","0.00",1,0,0,"null",51,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","80.9","-1.0332","5.2169","Reyes Moronta",605233,606625,"null","called_strike",,,,,"7","null","R","L","R","SF","HOU","S","null","null",0,1,2018,"1.4048","0.0702","-0.3682","1.8430","null","null","null",1,8,"Top","null","null",,,457763,,"180807_040640","-1.1319","-117.7075","-0.9349","12.9347","24.9204","-31.6131","3.4862","1.6787","null","null","null","79.7840","2543","5.7840",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.7136","null","null","null","null","null","null","null",51,"2","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","81.3","-1.0040","5.3688","Reyes Moronta",605233,606625,"null","called_strike",,,,,"7","null","R","L","R","SF","HOU","S","null","null",0,0,2018,"1.1756","0.0736","-0.3433","1.7845","null","null","null",1,8,"Top","null","null",,,457763,,"180807_040623","-0.6953","-118.3661","-1.5890","10.9235","21.4680","-31.4517","3.3567","1.5738","null","null","null","80.4720","2489","5.5780",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.9191","null","null","null","null","null","null","null",51,"1","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"SL","2018-08-06","82.5","-1.1338","5.3065","Reyes Moronta",643603,606625,"null","called_strike",,,,,"5","null","R","R","R","SF","HOU","S","null","null",1,0,2018,"0.6968","0.2596","-0.2723","2.4237","null","null","null",0,8,"Top","null","null",,,457763,,"180807_040521","0.6374","-120.1512","-0.5869","6.4850","21.7591","-29.8473","2.9413","1.4426","null","null","null","81.7250","2505","5.5710",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.9268","null","null","null","null","null","null","null",50,"2","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","95.8","-1.9239","5.4285","Reyes Moronta",643603,606625,"null","ball",,,,,"11","null","R","R","R","SF","HOU","B","null","null",0,0,2018,"-0.4061","1.4911","-1.4200","3.1207","null","null","null",0,8,"Top","null","null",,,457763,,"180807_040503","2.2290","-139.4785","-3.8456","-5.7436","29.2381","-12.2073","2.9153","1.3375","null","null","null","95.7520","2449","6.0780",531097,606625,457763,596103,605412,446334,543063,491676,621453,457705,"54.4197","null","null","null","null","null","null","null",50,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-08-06","94.8","-1.9054","5.7359","Charlie Morton",491676,450203,"strikeout","called_strike",,,,,"9","Gorkys Hernandez called out on strikes.  ","R","R","R","SF","HOU","S",2,"null",3,2,2018,"-1.0229","0.9480","0.8244","1.8620","null","null","null",2,7,"Bot","null","null",,,455117,,"180807_040243","9.2563","-137.6642","-6.4900","-14.6822","27.2336","-19.1968","3.1752","1.6000","null","null","null","94.1520","2150","5.7790",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.7181","null","null","0.00",1,0,0,"null",49,"7","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Strategic"
"FF","2018-08-06","94.6","-1.7461","5.7846","Charlie Morton",491676,450203,"null","ball",,,,,"12","null","R","R","R","SF","HOU","B","null","null",2,2,2018,"-1.1230","1.0973","0.8905","2.9066","null","null","null",2,7,"Bot","null","null",,,455117,,"180807_040144","9.2666","-137.4963","-4.2583","-15.9722","26.5839","-17.6995","3.2271","1.5738","null","null","null","94.4110","2175","5.9570",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.5409","null","null","null","null","null","null","null",49,"5","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Strategic"
"FF","2018-08-06","94.7","-1.9652","5.7762","Charlie Morton",491676,450203,"null","ball",,,,,"11","null","R","R","R","SF","HOU","B","null","null",1,2,2018,"-1.1263","1.1406","-1.4358","3.0626","null","null","null",2,7,"Bot","null","null",,,455117,,"180807_040122","3.7971","-137.9453","-3.9495","-14.9498","26.3576","-17.2265","3.2789","1.5738","null","null","null","94.4050","2176","5.7440",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.7533","null","null","null","null","null","null","null",49,"4","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Strategic"
"FS","2018-08-06","86.9","-1.9824","5.6773","Charlie Morton",491676,450203,"null","called_strike",,,,,"2","null","R","R","R","SF","HOU","S","null","null",1,1,2018,"-1.4856","0.3129","-0.0053","2.9624","null","null","null",2,7,"Bot","null","null",,,455117,,"180807_040105","7.7158","-126.5167","-1.0640","-17.3120","21.1803","-28.8085","3.0973","1.5213","null","null","null","87.2700","2153","6.0960",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.4013","null","null","null","null","null","null","null",49,"3","Split Finger",1,0,1,0,0,1,1,0,"Standard","Strategic"
"FF","2018-08-06","95.9","-1.9728","5.7236","Charlie Morton",491676,450203,"null","ball",,,,,"12","null","R","R","R","SF","HOU","B","null","null",0,0,2018,"-1.1184","0.9609","0.3420","3.4764","null","null","null",2,7,"Bot","null","null",,,455117,,"180807_040025","8.5606","-139.4848","-2.5332","-16.2377","27.1489","-19.3618","3.1492","1.5476","null","null","null","95.9050","2177","6.0160",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.4816","null","null","null","null","null","null","null",49,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Strategic"
"FS","2018-08-06","85.9","-2.0345","5.7038","Charlie Morton",621453,450203,"null","called_strike",,,,,"9","null","R","L","R","SF","HOU","S","null","null",1,0,2018,"-1.3798","0.3030","0.5822","1.8829","null","null","null",1,7,"Bot","null","null",,,455117,,"180807_035855","8.9626","-124.7330","-3.3942","-16.1471","24.1375","-28.5611","3.5030","1.6787","null","null","null","85.8610","2146","6.2940",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.2032","null","null","null","null","null","null","null",48,"2","Split Finger",1,0,1,0,0,1,1,0,"Standard","Standard"
"FF","2018-08-06","94.4","-1.9639","5.7448","Charlie Morton",621453,450203,"null","ball",,,,,"11","null","R","L","R","SF","HOU","B","null","null",0,0,2018,"-1.3782","1.0317","-1.3290","2.4904","null","null","null",1,7,"Bot","null","null",,,455117,,"180807_035832","4.5764","-137.2876","-4.9775","-18.0351","28.7241","-18.5851","3.3567","1.6000","null","null","null","93.4760","2118","5.6500",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.8470","null","null","null","null","null","null","null",48,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard"
"CU","2018-08-06","79.4","-2.1547","5.6222","Charlie Morton",605412,450203,"null","called_strike",,,,,"9","null","R","L","R","SF","HOU","S","null","null",0,0,2018,"1.1185","-0.8815","0.3059","1.6944","null","null","null",0,7,"Bot","null","null",,,455117,,"180807_035737","3.3062","-115.5975","-0.2186","9.2257","21.7107","-40.1354","3.1232","1.5476","null","null","null","78.7830","2843","5.8440",531097,450203,455117,643603,503556,493329,608324,643393,545350,502210,"54.6537","null","null","null","null","null","null","null",47,"1","Curveball",1,0,1,0,0,1,1,0,"Standard","Standard"
"FF","2018-08-06","90.1","-1.0421","6.2228","Dereck Rodriguez",493329,605446,"null","ball",,,,,"11","null","R","R","R","SF","HOU","B","null","null",1,2,2018,"-0.2744","1.3354","-0.5601","5.7863","null","null","null",1,7,"Top","null","null",,,457763,,"180807_035412","1.7729","-131.2453","1.9987","-3.5139","25.2609","-17.3231","3.3048","1.5213","null","null","null","90.3400","2066","6.1740",531097,605446,457763,596103,605412,446334,543063,491676,621453,457705,"54.3233","null","null","null","null","null","null","null",45,"4","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FT","2018-08-06","90.2","-0.7934","6.1742","Dereck Rodriguez",493329,605446,"null","called_strike",,,,,"13","null","R","R","R","SF","HOU","S","null","null",1,1,2018,"-1.0303","0.8907","-0.2516","1.3315","null","null","null",1,7,"Top","null","null",,,457763,,"180807_035353","3.5634","-131.3837","-8.1277","-12.7751","23.3202","-20.4062","3.3567","1.6000","null","null","null","91.2550","1778","6.5110",531097,605446,457763,596103,605412,446334,543063,491676,621453,457705,"53.9861","null","null","null","null","null","null","null",45,"3","2-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
