"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-28","96.1","-3.0539","5.7243","Hunter Strickland",455104,519326,"null","called_strike",,,,,"1","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.4060","0.9222","-0.7952","2.8742","571448.00","471865.00","435622.00",1,10,"Bot","null","null",,,457763,,"180529_033609","6.8869","-139.9149","-4.1230","-6.6584","26.1653","-19.3875","3.3599","1.5321","null","null","null","96.6650","2360","6.2050",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.2966","null","null","null","null","null","null","null",88,"1","4-Seam Fastball",5,5,5,5,5,5,5,5,"Standard","Standard"
"SL","2018-05-28","82.3","-2.9611","5.9870","Hunter Strickland",435622,519326,"null","called_strike",,,,,"4","null","R","R","R","COL","SF","S","null","null",0,1,2018,"0.8137","-0.4205","-0.5195","2.4612","null","571448.00","471865.00",1,10,"Bot","null","null",,,457763,,"180529_033444","3.9583","-119.8278","-0.7823","7.0448","19.7303","-36.2417","3.4140","1.3338","null","null","null","81.6890","2625","5.5180",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.9836","null","null","null","null","null","null","null",87,"2","Slider",5,5,5,5,5,5,5,5,"Standard","Standard"
"FF","2018-05-28","97.0","-2.9014","5.8765","Hunter Strickland",596115,519326,"null","ball",,,,,"11","null","R","R","R","COL","SF","B","null","null",0,1,2018,"-0.3124","1.1296","-0.9548","3.1170","null","null","571448.00",0,10,"Bot","null","null",,,457763,,"180529_033127","5.8909","-141.1919","-4.4601","-5.3286","27.3531","-16.3649","3.4643","1.5820","null","null","null","97.2780","2364","6.1020",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.4000","null","null","null","null","null","null","null",85,"2","4-Seam Fastball",5,5,5,5,5,5,5,5,"Standard","Strategic"
"FF","2018-05-28","96.9","-2.7875","5.9077","Hunter Strickland",571448,519326,"walk","ball",,,,,"14","Nolan Arenado walks.  ","R","R","R","COL","SF","B","null","null",3,1,2018,"-0.1009","1.1269","0.9724","2.0370","null","null","null",0,10,"Bot","null","null",,,457763,,"180529_033003","10.1575","-140.6820","-7.2908","-3.2927","27.1787","-16.1135","3.4756","1.5719","null","null","null","96.4700","2492","5.8420",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.6594","null","null","0.70",1,0,0,"null",84,"5","4-Seam Fastball",5,5,5,5,5,5,5,5,"Strategic","Strategic"
"FF","2018-05-28","96.3","-2.9970","5.6492","Hunter Strickland",571448,519326,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",2,1,2018,"-0.1593","0.8342","1.3719","2.0385","null","null","null",0,10,"Bot","null","null",,,457763,,"180529_032933","11.8305","-139.7513","-5.8488","-4.3794","27.2233","-20.3753","3.2520","1.5719","null","null","null","95.8810","2463","5.8990",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.6026","null","null","null","null","null","null","null",84,"4","4-Seam Fastball",5,5,5,5,5,5,5,5,"Strategic","Strategic"
"SL","2018-05-28","83.7","-2.9606","5.8928","Hunter Strickland",571448,519326,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",1,1,2018,"0.6662","-0.5017","1.2190","0.9953","null","null","null",0,10,"Bot","null","null",,,457763,,"180529_032906","8.2862","-121.7801","-3.9994","5.2861","19.3452","-36.7050","3.2520","1.5719","null","null","null","83.6490","2754","5.8420",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.6595","null","null","null","null","null","null","null",84,"3","Slider",5,5,5,5,5,5,5,5,"Strategic","Strategic"
"SL","2018-05-28","82.9","-2.9018","6.0165","Hunter Strickland",571448,519326,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,1,2018,"0.6087","-0.7243","0.9280","0.8651","null","null","null",0,10,"Bot","null","null",,,457763,,"180529_032838","7.4942","-120.4637","-3.9097","4.4990","21.2725","-38.6396","3.4197","1.6278","null","null","null","82.1410","2720","5.6560",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.8459","null","null","null","null","null","null","null",84,"2","Slider",5,5,5,5,5,5,5,5,"Strategic","Strategic"
"FF","2018-05-28","96.1","-2.9865","5.7745","Hunter Strickland",571448,519326,"null","called_strike",,,,,"6","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.2543","0.9662","0.7213","2.4034","null","null","null",0,10,"Bot","null","null",,,457763,,"180529_032816","10.2752","-139.5055","-5.4624","-5.3409","27.8363","-18.7970","3.4599","1.5719","null","null","null","95.5500","2302","5.8550",530208,519326,457763,474832,605509,446334,543063,453923,491676,457705,"54.6470","null","null","null","null","null","null","null",84,"1","4-Seam Fastball",5,5,5,5,5,5,5,5,"Strategic","Strategic"
"FC","2018-05-28","94.3","-2.8441","5.8830","Bryan Shaw",605509,543766,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,1,2018,"0.4442","0.5867","1.2889","1.0831","null","543063.00","457706.00",1,10,"Top","null","null",,,455104,,"180529_032200","9.6515","-136.9140","-8.0416","3.9140","23.2090","-23.6725","3.3638","1.6536","null","null","null","93.9290","2578","5.6860",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"54.8162","null","null","null","null","null","null","null",82,"2","Cutter",5,5,5,5,5,5,5,5,"Standard","Standard"
"FC","2018-05-28","94.6","-2.6671","6.0010","Bryan Shaw",605509,543766,"null","called_strike",,,,,"6","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.5052","0.8097","0.6467","2.8475","null","543063.00","457706.00",1,10,"Top","null","null",,,455104,,"180529_032136","7.4487","-137.6805","-4.3506","5.0327","24.1936","-21.4493","3.4756","1.7654","null","null","null","94.1310","2587","5.5470",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"54.9550","null","null","null","null","null","null","null",82,"1","Cutter",5,5,5,5,5,5,5,5,"Standard","Standard"
"SL","2018-05-28","82.0","-2.8715","5.8921","Bryan Shaw",457706,543766,"null","ball",,,,,"11","null","R","R","R","COL","SF","B","null","null",0,0,2018,"0.7892","-0.2248","-0.3535","3.5904","null","446334.00","543063.00",0,10,"Top","null","null",,,455104,,"180529_031857","4.1558","-119.3869","1.6108","6.7069","19.1142","-34.7543","2.9110","1.3281","null","null","null","81.1820","2847","5.3320",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"55.1699","null","null","null","null","null","null","null",81,"1","Slider",5,5,5,5,5,5,5,5,"Strategic","Standard"
"FC","2018-05-28","93.9","-2.9498","5.8810","Bryan Shaw",543063,543766,"null","ball",,,,,"14","null","R","L","R","COL","SF","B","null","null",1,0,2018,"0.5982","0.3964","2.4966","1.9261","null","null","446334.00",0,10,"Top","null","null",,,455104,,"180529_031709","12.5941","-136.1422","-5.3284","5.0189","24.9043","-26.5596","3.5069","1.5776","null","null","null","92.9430","2625","5.5560",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"54.9455","null","null","null","null","null","null","null",80,"2","Cutter",5,5,5,5,5,5,5,5,"Standard","Standard"
"FC","2018-05-28","95.3","-2.8979","5.9467","Bryan Shaw",543063,543766,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",0,0,2018,"0.3858","0.5241","-0.2400","0.9948","null","null","446334.00",0,10,"Top","null","null",,,455104,,"180529_031651","6.0558","-138.5606","-8.5214","3.9284","22.8076","-24.2690","3.5069","1.5217","null","null","null","94.9540","2581","5.5580",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"54.9440","null","null","null","null","null","null","null",80,"1","Cutter",5,5,5,5,5,5,5,5,"Standard","Standard"
"FC","2018-05-28","93.9","-2.8891","6.0378","Bryan Shaw",446334,543766,"null","called_strike",,,,,"14","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.3427","0.6166","0.9407","2.0207","null","null","null",0,10,"Top","null","null",,,455104,,"180529_031549","9.0440","-136.5353","-6.0319","2.7196","22.9101","-23.7329","3.7357","1.6567","null","null","null","93.4370","2573","5.5360",530208,543766,455104,435622,641857,571448,596115,571595,453568,471865,"54.9658","null","null","null","null","null","null","null",79,"1","Cutter",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2018-05-28","91.2","3.2812","5.1240","Tony Watson",571595,453265,"null","ball",,,,,"12","null","R","R","L","COL","SF","B","null","null",0,2,2018,"0.8186","0.4975","0.0706","4.8154","null","621311.00","null",2,9,"Bot","null","null",,,457763,,"180529_031222","-9.7102","-132.4712","3.9744","11.3891","24.6732","-27.2986","3.3308","1.5150","null","null","null","90.8860","2298","5.9150",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.5864","null","null","null","null","null","null","null",78,"4","Sinker",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2018-05-28","91.7","3.3859","5.1196","Tony Watson",453568,453265,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",0,0,2018,"1.1916","0.4234","-0.1304","1.1858","null","null","621311.00",1,9,"Bot","null","null",,,457763,,"180529_030648","-11.2906","-133.0720","-4.9789","16.1506","24.5768","-26.4629","3.4655","1.4557","null","null","null","91.2790","2386","5.8790",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.6229","null","null","null","null","null","null","null",77,"1","Sinker",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2018-05-28","92.4","3.3459","5.0933","Tony Watson",621311,453265,"null","ball",,,,,"11","null","R","L","L","COL","SF","B","null","null",1,2,2018,"0.9228","0.8193","-0.8626","2.4521","null","null","null",1,9,"Bot","null","null",,,457763,,"180529_030529","-12.5100","-133.9862","-2.6639","13.3142","24.7249","-22.1201","3.3023","1.5418","null","null","null","91.7460","2341","5.7690",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.7333","null","null","null","null","null","null","null",76,"5","Sinker",5,5,5,5,5,5,5,5,"Standard","Standard"
"SL","2018-05-28","83.7","3.1894","5.0977","Tony Watson",621311,453265,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",0,2,2018,"-0.0733","0.2695","-1.7430","1.4188","null","null","null",1,9,"Bot","null","null",,,457763,,"180529_030444","-11.0970","-121.4037","-2.6140","1.1216","20.1341","-29.3041","3.3023","1.4299","null","null","null","83.1910","2180","5.7940",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.7081","null","null","null","null","null","null","null",76,"3","Slider",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2018-05-28","92.0","3.2973","5.1050","Tony Watson",641857,453265,"strikeout","called_strike",,,,,"7","Ryan McMahon called out on strikes.  ","R","L","L","COL","SF","S",2,"null",2,2,2018,"1.0686","0.5746","-0.4676","2.0702","null","null","null",0,9,"Bot","null","null",,,457763,,"180529_030316","-11.7208","-133.4620","-3.0872","14.9406","25.3860","-24.9587","3.6662","1.6828","null","null","null","91.6300","2320","5.9800",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.5215","null","null","0.00",1,0,0,"null",75,"5","Sinker",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2018-05-28","91.4","3.3388","5.1467","Tony Watson",641857,453265,"null","called_strike",,,,,"7","null","R","L","L","COL","SF","S","null","null",2,1,2018,"1.0275","0.8261","-0.3488","2.0334","null","null","null",0,9,"Bot","null","null",,,457763,,"180529_030254","-11.3377","-132.5425","-3.6893","14.1946","25.6196","-22.0257","3.6662","1.6268","null","null","null","90.7900","2260","5.8990",530208,453265,457763,474832,605509,446334,543063,453923,491676,457705,"54.6029","null","null","null","null","null","null","null",75,"4","Sinker",5,5,5,5,5,5,5,5,"Standard","Standard"
