"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-24","93.8","-2.5661","5.3453","Kirby Yates",596103,489446,"null","called_strike",,,,,"12","null","R","R","R","SF","SD","S","null","null",1,0,2018,"-1.0688","1.2842","0.9791","2.9671","543063.00","622046.00","491676.00",2,9,"Bot","null","null",,,642336,,"180925_045433","11.3431","-136.0030","-3.1303","-15.5128","29.7999","-16.0761","3.2154","1.5689","null","null","null","92.7050","2378","5.8330",531753,489446,642336,543333,517369,571976,520471,592669,622534,608671,"54.6641","null","null","null","null","null","null","null",78,"2","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"FF","2018-09-24","94.4","-2.5630","5.4160","Kirby Yates",596103,489446,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-1.2006","1.4090","1.2744","1.2389","543063.00","622046.00","491676.00",2,9,"Bot","null","null",,,642336,,"180925_045409","12.3890","-136.5511","-8.0296","-17.4740","30.9173","-13.3939","3.1897","1.5689","null","null","null","92.7990","2291","5.7310",531753,489446,642336,543333,517369,571976,520471,592669,622534,608671,"54.7662","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"FF","2018-09-24","95.1","-1.7351","5.9372","Bryan Mitchell",491676,571951,"walk","ball",,,,,"14","Gorkys Hernandez walks.   Brandon Crawford to 3rd.    Chris Shaw to 2nd.  ","R","R","R","SF","SD","B","null","null",3,2,2018,"-1.1768","1.3839","0.8510","1.0494","null","543063.00","622046.00",2,9,"Bot","null","null",,,642336,,"180925_045054","9.4186","-137.8450","-10.2270","-17.1396","30.3963","-12.4128","3.1897","1.5166","null","null","null","95.0470","2347","6.4540",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"54.0430","null","null","0.70",1,0,0,"null",77,"6","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"FC","2018-09-24","90.0","-1.7893","5.8147","Bryan Mitchell",491676,571951,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",2,2,2018,"-0.0408","0.8075","1.2799","0.8826","null","543063.00","622046.00",2,9,"Bot","null","null",,,642336,,"180925_044954","7.6986","-130.6545","-7.9268","-2.1590","28.7243","-21.4200","3.2154","1.4905","null","null","null","89.8120","2710","6.4000",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"54.0969","null","null","null","null","null","null","null",77,"5","Cutter",0,5,0,5,5,0,0,5,"Standard","Strategic"
"FC","2018-09-24","88.7","-1.6322","5.8955","Bryan Mitchell",491676,571951,"null","ball",,,,,"12","null","R","R","R","SF","SD","B","null","null",0,1,2018,"0.1571","0.5112","1.4626","2.9808","null","543063.00","622046.00",2,9,"Bot","null","null",,,642336,,"180925_044816","7.2271","-128.9935","-2.1184","0.2300","27.0417","-26.2738","3.1639","1.4643","null","null","null","88.5230","2511","6.2280",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"54.2694","null","null","null","null","null","null","null",77,"2","Cutter",0,5,0,5,5,0,0,5,"Strategic","Standard"
"FC","2018-09-24","89.1","-1.8183","5.8113","Bryan Mitchell",605244,571951,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-0.1075","0.6640","0.9700","1.2803","null","543063.00","622046.00",1,9,"Bot","null","null",,,642336,,"180925_044445","7.1062","-129.4507","-6.4935","-2.7477","27.9026","-23.4728","3.3698","1.5428","null","null","null","89.3430","2500","6.5980",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"53.8997","null","null","null","null","null","null","null",76,"1","Cutter",0,5,0,5,5,0,0,5,"Standard","Standard"
"FF","2018-09-24","94.7","-1.8648","5.8748","Bryan Mitchell",622046,571951,"walk","ball",,,,,"14","Chris Shaw walks.  ","R","L","R","SF","SD","B","null","null",3,1,2018,"-1.1627","1.0966","1.3224","1.2348","null","543063.00","null",1,9,"Bot","null","null",,,642336,,"180925_044334","11.0148","-137.3197","-8.9434","-17.3254","29.6019","-16.3336","3.5239","1.6473","null","null","null","95.2940","2284","6.7640",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"53.7333","null","null","0.70",1,0,0,"null",75,"5","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"CU","2018-09-24","76.9","-1.6737","5.7329","Bryan Mitchell",622046,571951,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",1,1,2018,"1.3882","-0.7912","-0.8633","3.4351","null","543063.00","null",1,9,"Bot","null","null",,,642336,,"180925_044222","-0.7247","-111.5460","3.6332","11.2832","24.1471","-39.6054","3.5239","1.5689","null","null","null","75.1010","2682","5.6100",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"54.8873","null","null","null","null","null","null","null",75,"3","Curveball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"FF","2018-09-24","94.5","-1.7004","5.9848","Bryan Mitchell",622046,571951,"null","called_strike",,,,,"6","null","R","L","R","SF","SD","S","null","null",1,0,2018,"-1.3377","0.9878","0.4033","2.6314","null","543063.00","null",1,9,"Bot","null","null",,,642336,,"180925_044156","8.5487","-137.4603","-5.3270","-19.0076","29.0993","-18.5355","3.5752","1.7256","null","null","null","95.2850","2239","6.6620",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"53.8357","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",0,5,0,5,5,0,0,5,"Strategic","Standard"
"CH","2018-09-24","85.7","-1.7081","5.9090","Bryan Mitchell",622046,571951,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-1.4627","0.9061","-1.6143","2.8600","null","543063.00","null",1,9,"Bot","null","null",,,642336,,"180925_044130","3.2301","-124.9079","-2.8179","-16.0975","25.3009","-22.2391","3.5496","1.6734","null","null","null","86.3310","1997","6.6150",531753,571951,642336,543333,517369,571976,520471,592669,622534,608671,"53.8826","null","null","null","null","null","null","null",75,"1","Changeup",0,5,0,5,5,0,0,5,"Strategic","Standard"
