"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-15","94.6","1.5711","6.5576","Will Smith",455104,519293,"null","ball",,,,,"8","null","R","R","L","SF","COL","B","null","null",2,2,2018,"0.5315","1.2349","-0.1975","1.6065","null","null","435622.00",2,9,"Top","null","null",,,460026,,"180916_033216","-5.7246","-137.3730","-9.8961","7.8006","26.5802","-14.9154","3.1897","1.5493","null","null","null","94.2760","2194","5.9300",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"54.5673","null","null","null","null","null","null","null",67,"5","4-Seam Fastball",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FF","2018-09-15","93.8","1.5841","6.5682","Will Smith",455104,519293,"null","ball",,,,,"13","null","R","R","L","SF","COL","B","null","null",1,1,2018,"0.2629","1.4280","-1.5522","1.7111","null","null","435622.00",2,9,"Top","null","null",,,460026,,"180916_033117","-8.6112","-136.0745","-9.8901","4.9343","26.5355","-12.7720","3.2412","1.5493","null","null","null","93.4800","2228","6.0200",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"54.4774","null","null","null","null","null","null","null",67,"3","4-Seam Fastball",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"CU","2018-09-15","76.1","1.7781","6.6995","Will Smith",455104,519293,"null","called_strike",,,,,"3","null","R","R","L","SF","COL","S","null","null",0,0,2018,"-0.5150","-0.5173","0.3928","3.1156","null","null","435622.00",2,9,"Top","null","null",,,460026,,"180916_033023","-1.9804","-110.6621","0.3675","-3.7493","18.4890","-36.5920","3.2418","1.5499","null","null","null","74.7170","1782","5.1600",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"55.3370","null","null","null","null","null","null","null",67,"1","Curveball",3,0,0,3,0,3,0,3,"Standard","Standard"
"CU","2018-09-15","75.9","1.8140","6.7724","Will Smith",435622,519293,"null","called_strike",,,,,"6","null","R","R","L","SF","COL","S","null","null",0,0,2018,"-0.6087","-0.6525","0.8132","2.5393","null","null","null",1,9,"Top","null","null",,,460026,,"180916_032718","-1.0307","-110.4012","-0.7089","-4.6488","18.1513","-37.4729","3.2933","1.6159","null","null","null","74.6940","1984","5.2470",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"55.2506","null","null","null","null","null","null","null",65,"1","Curveball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-09-15","93.6","1.4645","6.6745","Will Smith",407812,519293,"null","ball",,,,,"11","null","R","R","L","SF","COL","B","null","null",1,2,2018,"0.4295","1.5794","-1.0401","3.2032","null","null","null",0,9,"Top","null","null",,,460026,,"180916_032614","-7.3067","-136.0395","-6.5918","6.7112","26.9375","-11.7333","3.4218","1.6740","null","null","null","92.9870","2082","5.7720",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"54.7253","null","null","null","null","null","null","null",64,"4","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-09-15","92.4","1.5795","6.6023","Will Smith",407812,519293,"null","called_strike",,,,,"4","null","R","R","L","SF","COL","S","null","null",1,1,2018,"0.4071","1.2465","-0.7958","2.6382","null","null","null",0,9,"Top","null","null",,,460026,,"180916_032552","-6.8620","-134.2775","-6.9276","6.2354","26.4926","-16.0759","3.3704","1.7262","null","null","null","91.9850","2044","5.9140",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"54.5838","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-09-15","92.1","1.7380","6.6166","Will Smith",407812,519293,"null","ball",,,,,"13","null","R","R","L","SF","COL","B","null","null",0,0,2018,"0.6077","1.4179","-1.5671","1.6028","null","null","null",0,9,"Top","null","null",,,460026,,"180916_032502","-9.5718","-133.4344","-9.7938","9.0956","26.6605","-13.6786","3.5632","1.7784","null","null","null","91.3170","2025","5.8970",531622,519293,460026,596103,605412,446334,543063,452254,491676,453923,"54.6001","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-09-15","93.6","-2.7513","5.9828","DJ Johnson",460026,597113,"null","ball",,,,,"11","null","R","R","R","SF","COL","B","null","null",1,1,2018,"-0.6842","1.3242","-1.3963","3.3888","null","null","543063.00",2,8,"Bot","null","null",,,455104,,"180916_033028","4.9287","-136.1472","-3.7982","-9.4211","28.8984","-15.3932","3.2933","1.5499","null","null","null","92.9090","2310","5.8250",531622,597113,455104,435622,518934,571448,596115,407812,453568,571595,"54.6729","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2018-09-15","93.4","-2.6136","6.0502","DJ Johnson",460026,597113,"null","called_strike",,,,,"9","null","R","R","R","SF","COL","S","null","null",1,0,2018,"-0.8078","1.3178","0.7132","1.5525","null","null","543063.00",2,8,"Bot","null","null",,,455104,,"180916_033027","10.2154","-135.4879","-8.6278","-11.8700","26.2067","-14.5730","3.2675","1.5499","null","null","null","92.9760","2388","5.9530",531622,597113,455104,435622,518934,571448,596115,407812,453568,571595,"54.5446","null","null","null","null","null","null","null",63,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2018-09-15","92.9","-2.6572","6.0189","DJ Johnson",460026,597113,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,0,2018,"-0.9258","1.3555","0.6149","1.0951","null","null","543063.00",2,8,"Bot","null","null",,,455104,,"180916_033028","10.2194","-134.5902","-9.6067","-13.1095","26.1922","-14.2403","3.2160","1.5499","null","null","null","92.0620","2268","5.7990",531622,597113,455104,435622,518934,571448,596115,407812,453568,571595,"54.6987","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"SI","2018-09-15","91.2","2.0742","5.9525","Harrison Musgrave",543063,643466,"null","called_strike",,,,,"4","null","R","L","L","SF","COL","S","null","null",2,0,2018,"0.9137","0.7875","-0.7561","2.3320","null","null","446334.00",1,8,"Bot","null","null",,,455104,,"180916_031503","-8.9106","-132.3078","-4.7240","12.4886","30.4717","-22.3577","3.3190","1.6039","null","null","null","89.7070","2423","5.7180",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.7790","null","null","null","null","null","null","null",62,"3","Sinker",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2018-09-15","90.9","2.1378","5.8358","Harrison Musgrave",543063,643466,"null","ball",,,,,"13","null","R","L","L","SF","COL","B","null","null",1,0,2018,"0.2542","0.9875","-1.2324","2.1421","null","null","446334.00",1,8,"Bot","null","null",,,455104,,"180916_031441","-8.8238","-131.9236","-5.2921","4.7405","27.6856","-20.0919","3.2933","1.6039","null","null","null","89.5040","2546","5.5440",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.9538","null","null","null","null","null","null","null",62,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"SI","2018-09-15","91.5","1.8179","6.0018","Harrison Musgrave",543063,643466,"null","ball",,,,,"11","null","R","L","L","SF","COL","B","null","null",0,0,2018,"0.7308","1.3425","-1.7376","2.4525","null","null","446334.00",1,8,"Bot","null","null",,,455104,,"180916_031358","-10.3752","-132.6433","-5.8009","10.6815","28.3479","-15.6280","3.2933","1.6039","null","null","null","90.3640","2359","5.8020",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.6952","null","null","null","null","null","null","null",62,"1","Sinker",3,0,3,0,0,3,3,0,"Standard","Standard"
"SI","2018-09-15","90.7","2.1630","5.8432","Harrison Musgrave",446334,643466,"null","ball",,,,,"13","null","R","R","L","SF","COL","B","null","null",2,1,2018,"1.3183","0.8764","-0.8335","0.9585","null","null","null",1,8,"Bot","null","null",,,455104,,"180916_031259","-10.1533","-131.4939","-8.0297","17.1755","26.7006","-20.7220","3.5502","1.6740","null","null","null","89.9280","2439","5.9240",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.5733","null","null","null","null","null","null","null",61,"4","Sinker",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CH","2018-09-15","81.6","2.0939","5.9250","Harrison Musgrave",446334,643466,"null","ball",,,,,"14","null","R","R","L","SF","COL","B","null","null",1,1,2018,"1.0608","1.1509","1.3503","1.5422","null","null","null",1,8,"Bot","null","null",,,455104,,"180916_031245","-3.6350","-118.6205","-5.3349","10.5181","24.3518","-20.7376","3.4989","1.6218","null","null","null","80.5660","1577","5.8010",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.6968","null","null","null","null","null","null","null",61,"3","Changeup",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2018-09-15","86.9","1.8861","5.9509","Harrison Musgrave",446334,643466,"null","ball",,,,,"11","null","R","R","L","SF","COL","B","null","null",0,1,2018,"0.3857","0.8638","-0.9212","3.1456","null","null","null",1,8,"Bot","null","null",,,455104,,"180916_031225","-7.4422","-126.3042","-2.2878","5.5039","24.0162","-22.8029","3.5246","1.5799","null","null","null","86.4770","2219","5.9340",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.5636","null","null","null","null","null","null","null",61,"2","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2018-09-15","91.8","2.0626","5.8698","Harrison Musgrave",446334,643466,"null","called_strike",,,,,"2","null","R","R","L","SF","COL","S","null","null",0,0,2018,"0.5096","1.0282","-0.1646","3.2335","null","null","null",1,8,"Bot","null","null",,,455104,,"180916_031209","-6.6605","-133.5079","-3.0224","7.3391","26.1913","-19.6267","3.6015","1.5957","null","null","null","91.3940","2426","5.8750",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.6227","null","null","null","null","null","null","null",61,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SI","2018-09-15","91.1","2.1686","5.8879","Harrison Musgrave",605412,643466,"null","called_strike",,,,,"4","null","R","L","L","SF","COL","S","null","null",2,0,2018,"1.4623","0.9119","-0.3076","2.2154","null","null","null",0,8,"Bot","null","null",,,455104,,"180916_031115","-9.2114","-132.1219","-5.1541","18.8441","28.5587","-20.7910","3.3190","1.5696","null","null","null","90.1440","2436","5.9210",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.5767","null","null","null","null","null","null","null",60,"3","Sinker",3,0,3,0,0,3,3,0,"Strategic","Standard"
"FF","2018-09-15","91.1","2.1862","5.9844","Harrison Musgrave",605412,643466,"null","ball",,,,,"12","null","R","L","L","SF","COL","B","null","null",1,0,2018,"0.1335","0.9657","1.6168","3.2695","null","null","null",0,8,"Bot","null","null",,,455104,,"180916_031059","-1.6900","-132.6380","-2.9872","1.8704","24.8810","-20.5976","3.2418","1.5173","null","null","null","90.6000","2414","5.6780",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.8194","null","null","null","null","null","null","null",60,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Strategic","Standard"
"FF","2018-09-15","91.2","1.9470","6.0008","Harrison Musgrave",605412,643466,"null","ball",,,,,"14","null","R","L","L","SF","COL","B","null","null",0,0,2018,"0.4912","1.0469","1.2454","1.9334","null","null","null",0,8,"Bot","null","null",,,455104,,"180916_031044","-2.7674","-132.6817","-6.5555","6.2547","24.1075","-18.9313","3.1387","1.4126","null","null","null","90.9090","2521","5.7870",531622,643466,455104,435622,518934,571448,596115,407812,453568,571595,"54.7099","null","null","null","null","null","null","null",60,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Strategic","Standard"
"FC","2018-09-15","91.2","-1.6879","6.3378","Mark Melancon",596115,453343,"strikeout","called_strike",,,,,"4","Trevor Story called out on strikes.  ","R","R","R","SF","COL","S",2,"null",1,2,2018,"-0.0216","0.6008","-0.7210","2.4625","null","571448.00","null",2,8,"Top","null","null",,,460026,,"180916_030754","2.4664","-132.7746","-5.1193","-0.7773","28.2130","-24.2800","3.2675","1.4911","null","null","null","90.8770","2048","6.0470",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.4503","null","null","0.00",1,0,0,"null",59,"4","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-09-15","91.1","-1.6776","6.3311","Mark Melancon",596115,453343,"null","ball",,,,,"12","null","R","R","R","SF","COL","B","null","null",0,0,2018,"0.2466","0.8320","1.1601","3.2952","null","571448.00","null",2,8,"Top","null","null",,,460026,,"180916_030616","6.5898","-132.4452","-3.4455","1.3462","30.7356","-21.9103","3.4218","1.5799","null","null","null","90.6790","2481","6.2770",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.2201","null","null","null","null","null","null","null",59,"1","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-09-15","91.3","-1.8001","6.3319","Mark Melancon",571448,453343,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,1,2018,"0.0653","0.7426","1.4221","1.7867","null","null","null",2,8,"Top","null","null",,,460026,,"180916_030440","7.9443","-132.6357","-7.0819","-0.9995","29.4561","-22.1350","3.2675","1.6039","null","null","null","90.8820","2535","6.2110",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.2859","null","null","null","null","null","null","null",58,"2","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-09-15","83.6","-1.6587","6.4106","Mark Melancon",571448,453343,"null","called_strike",,,,,"9","null","R","R","R","SF","COL","S","null","null",0,0,2018,"0.4635","-0.9982","0.6378","2.0537","null","null","null",2,8,"Top","null","null",,,460026,,"180916_030420","4.3419","-121.5653","-1.6243","3.5189","25.9026","-41.6753","3.2675","1.6039","null","null","null","82.1750","2801","5.5660",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.9312","null","null","null","null","null","null","null",58,"1","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-09-15","93.0","-1.5947","6.3704","Mark Melancon",518934,453343,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,2,2018,"-0.2872","1.0413","1.2340","0.2741","null","null","null",1,8,"Top","null","null",,,460026,,"180916_030250","7.7944","-134.7010","-11.9521","-5.0958","28.1957","-17.3365","3.2675","1.5434","null","null","null","92.2400","2567","6.0090",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.4883","null","null","null","null","null","null","null",57,"3","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-09-15","81.4","-1.7359","6.4575","Mark Melancon",518934,453343,"null","called_strike",,,,,"2","null","R","R","R","SF","COL","S","null","null",0,0,2018,"0.5414","-1.4616","-0.2541","3.2462","null","null","null",1,8,"Top","null","null",,,460026,,"180916_030215","2.2790","-118.2742","2.1523","4.3814","25.3748","-46.0814","3.2418","1.5434","null","null","null","79.5720","2721","5.3860",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"55.1118","null","null","null","null","null","null","null",57,"1","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-09-15","92.2","-1.9336","6.3105","Mark Melancon",453568,453343,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",0,2,2018,"-0.2280","0.9413","-0.8773","0.2160","null","null","null",0,8,"Top","null","null",,,460026,,"180916_030112","3.1601","-133.8355","-11.6330","-3.3799","27.4515","-18.7253","3.3962","1.7784","null","null","null","91.9410","2643","6.1570",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.3407","null","null","null","null","null","null","null",56,"3","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-09-15","82.4","-1.7971","6.4414","Mark Melancon",453568,453343,"null","called_strike",,,,,"4","null","R","L","R","SF","COL","S","null","null",0,1,2018,"0.4000","-1.0563","-0.5134","2.4123","null","null","null",0,8,"Top","null","null",,,460026,,"180916_030052","2.1325","-119.8623","-0.6253","3.3433","23.3700","-42.2329","3.5042","1.6740","null","null","null","81.3900","2764","5.6410",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.8562","null","null","null","null","null","null","null",56,"2","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-09-15","91.6","-1.9133","6.3734","Mark Melancon",453568,453343,"null","called_strike",,,,,"7","null","R","L","R","SF","COL","S","null","null",0,0,2018,"-0.1256","0.8615","-0.7492","1.6517","null","null","null",0,8,"Top","null","null",,,460026,,"180916_030036","3.1985","-133.2434","-7.9275","-2.1171","25.8417","-20.5770","3.5042","1.5696","null","null","null","91.7020","2550","6.1510",531622,453343,460026,596103,605412,446334,543063,452254,491676,453923,"54.3461","null","null","null","null","null","null","null",56,"1","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
