"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-23","95.6","-1.9688","6.7364","Giovanny Gallegos",593700,606149,"null","ball",,,,,"14","null","R","L","R","STL","SF","B","null","null",1,2,2018,"-0.6385","1.1914","1.3070","1.0160","null","null","622046.00",2,9,"Top","null","null",,,506747,,"180923_211543","9.9238","-138.5305","-11.9663","-10.1052","27.1526","-14.8116","3.6191","1.8119","null","null","null","94.9730","2490","5.8830",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"54.6154","null","null","null","null","null","null","null",75,"7","4-Seam Fastball",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-09-23","95.9","-1.9592","6.7691","Giovanny Gallegos",593700,606149,"null","ball",,,,,"12","null","R","L","R","STL","SF","B","null","null",0,2,2018,"-0.6575","1.6030","0.8916","4.6792","null","null","622046.00",2,9,"Top","null","null",,,506747,,"180923_211347","8.8731","-139.2890","-3.3864","-10.4033","32.1655","-11.2792","3.6191","1.7242","null","null","null","94.6300","2453","5.7140",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"54.7840","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",9,2,2,9,2,9,2,9,"Standard","Standard"
"SL","2018-09-23","83.1","-2.1704","6.7427","Giovanny Gallegos",622046,606149,"null","ball",,,,,"11","null","R","L","R","STL","SF","B","null","null",0,1,2018,"0.1747","-0.2570","-1.2604","2.9698","null","null","null",2,9,"Top","null","null",,,506747,,"180923_211152","1.7206","-120.8461","-1.6385","1.2906","24.6068","-34.5395","3.7068","1.8411","null","null","null","81.3240","2037","5.2190",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"55.2798","null","null","null","null","null","null","null",74,"2","Slider",9,2,2,9,2,9,2,9,"Standard","Standard"
"SL","2018-09-23","82.4","-2.1615","6.7369","Giovanny Gallegos",460026,606149,"null","ball",,,,,"11","null","R","R","R","STL","SF","B","null","null",1,2,2018,"0.0318","-0.4177","-1.7939","2.8448","null","null","null",1,9,"Top","null","null",,,506747,,"180923_210953","0.7564","-119.7142","-1.4670","0.1354","24.6032","-35.9913","3.2986","1.6084","null","null","null","80.1900","2067","5.0010",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"55.4974","null","null","null","null","null","null","null",73,"5","Slider",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-09-23","95.8","-2.0232","6.7653","Giovanny Gallegos",460026,606149,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",0,1,2018,"-0.7258","1.3990","0.1926","1.2939","null","null","null",1,9,"Top","null","null",,,506747,,"180923_210845","7.3241","-138.7666","-11.6972","-10.7532","29.7950","-12.2057","3.4448","1.6961","null","null","null","94.4410","2493","5.6590",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"54.8400","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",9,2,2,9,2,9,2,9,"Standard","Standard"
"SL","2018-09-23","83.8","-2.0976","6.7286","Giovanny Gallegos",543063,606149,"null","ball",,,,,"11","null","R","L","R","STL","SF","B","null","null",1,1,2018,"0.5565","0.1693","-1.3404","5.6964","null","null","null",0,9,"Top","null","null",,,506747,,"180923_210655","0.6942","-121.7622","3.5693","5.1342","22.7062","-31.5188","3.4740","1.6376","null","null","null","81.6160","2102","4.7800",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"55.7183","null","null","null","null","null","null","null",72,"3","Slider",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-09-23","95.6","-2.1387","6.7471","Giovanny Gallegos",543063,606149,"null","ball",,,,,"11","null","R","L","R","STL","SF","B","null","null",0,0,2018,"-0.6483","1.7621","-0.4853","4.2887","null","null","null",0,9,"Top","null","null",,,506747,,"180923_210609","5.6873","-138.8076","-4.6049","-9.4621","32.3595","-9.2521","3.5325","1.6961","null","null","null","94.0300","2454","5.5830",531740,606149,506747,572761,622168,621550,657557,666969,664056,641933,"54.9157","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-09-23","90.6","-2.1657","6.5048","Casey Kelly",621550,543391,"null","ball",,,,,"12","null","R","R","R","STL","SF","B","null","null",0,0,2018,"0.0898","1.0630","0.3801","3.8707","null","null","641933.00",2,8,"Bot","null","null",,,460026,,"180923_210211","6.1054","-131.7311","-2.8057","-0.3473","29.5065","-19.7216","3.3863","1.5500","null","null","null","89.4960","2215","5.7750",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.7235","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",9,2,9,2,2,9,9,2,"Infield shift","Standard"
"CU","2018-09-23","80.7","-2.1056","6.5081","Casey Kelly",542303,543391,"null","ball",,,,,"12","null","R","R","R","STL","SF","B","null","null",2,2,2018,"0.4400","-0.4824","0.5110","3.7076","null","null","641933.00",1,8,"Bot","null","null",,,460026,,"180923_210116","4.9295","-117.2676","1.3555","2.9164","23.9182","-37.0277","3.5033","1.6084","null","null","null","79.2280","2144","5.5180",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.9803","null","null","null","null","null","null","null",70,"5","Curveball",9,2,9,2,2,9,9,2,"Standard","Standard"
"FF","2018-09-23","90.6","-2.1361","6.5828","Casey Kelly",542303,543391,"null","ball",,,,,"12","null","R","R","R","STL","SF","B","null","null",0,2,2018,"-0.2609","1.2326","0.5407","4.6322","null","null","641933.00",1,8,"Bot","null","null",,,460026,,"180923_210033","7.1408","-131.6238","-1.4430","-4.5726","29.8783","-18.1637","3.5617","1.7253","null","null","null","89.2850","2186","5.7230",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.7756","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",9,2,9,2,2,9,9,2,"Standard","Standard"
"CU","2018-09-23","80.1","-2.1327","6.5966","Casey Kelly",657557,543391,"null","called_strike",,,,,"3","null","R","R","R","STL","SF","S","null","null",1,0,2018,"0.6169","-0.6079","0.5027","2.9063","null","null","641933.00",0,8,"Bot","null","null",,,460026,,"180923_205825","4.6117","-116.3823","-0.3016","4.5323","22.4139","-37.7258","3.4008","1.6084","null","null","null","78.6760","2206","5.4320",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"55.0663","null","null","null","null","null","null","null",69,"2","Curveball",9,2,9,2,2,9,9,2,"Standard","Standard"
"FF","2018-09-23","88.6","-2.2607","6.5221","Casey Kelly",657557,543391,"null","ball",,,,,"12","null","R","R","R","STL","SF","B","null","null",0,0,2018,"-0.1582","0.9493","1.2580","2.9890","null","null","641933.00",0,8,"Bot","null","null",,,460026,,"180923_205805","8.7780","-128.6731","-4.4278","-3.4648","25.6437","-21.2398","3.5033","1.6376","null","null","null","87.4430","2174","5.5780",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.9200","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",9,2,9,2,2,9,9,2,"Standard","Standard"
"FT","2018-09-23","90.8","-2.1998","6.5610","Casey Kelly",572761,543391,"null","called_strike",,,,,"5","null","R","L","R","STL","SF","S","null","null",1,0,2018,"-0.8424","1.0334","0.0219","3.1046","null","null","624641.00",0,8,"Bot","null","null",,,460026,,"180923_205603","7.2578","-131.9089","-4.8785","-11.1575","26.1909","-19.5089","3.7377","1.9304","null","null","null","90.2060","2103","5.8680",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.6306","null","null","null","null","null","null","null",67,"2","2-Seam Fastball",7,2,7,2,2,7,7,2,"Infield shift","Standard"
"FF","2018-09-23","89.2","-2.1490","6.4470","Casey Kelly",572761,543391,"null","ball",,,,,"14","null","R","L","R","STL","SF","B","null","null",0,0,2018,"-0.5752","0.8557","1.0566","2.4365","null","null","624641.00",0,8,"Bot","null","null",,,460026,,"180923_205526","9.0861","-129.5349","-5.6392","-8.3022","25.6235","-21.5846","3.7377","1.9596","null","null","null","89.3460","2118","6.3720",531740,543391,460026,605244,605412,446334,543063,622046,453923,593700,"54.1265","null","null","null","null","null","null","null",67,"1","4-Seam Fastball",7,2,7,2,2,7,7,2,"Infield shift","Standard"
