"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-04-14","81.0","2.3240","6.3141","Brad Hand",457706,543272,"null","called_strike",,,,,"12","null","R","R","L","SD","SF","S","null","null",2,0,2018,"-1.3218","-0.7058","0.9076","2.6581","null","null","null",2,9,"Top","null","null",,,454560,,"180415_033903","-0.8167","-117.4840","-0.2389","-11.0690","23.7636","-38.4846","3.4177","1.5835","null","null","null","77.2680","2440","3.9570",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.5407","null","null","null","null","null","null","null",76,"3","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","80.9","2.3124","6.2823","Brad Hand",457706,543272,"null","ball",,,,,"7","null","R","R","L","SD","SF","B","null","null",1,0,2018,"-1.2886","-0.5661","-0.7071","1.5702","null","null","null",2,9,"Top","null","null",,,454560,,"180415_033840","-4.2796","-117.2589","-2.6757","-9.9470","24.2820","-36.7575","3.4601","1.6260","null","null","null","76.8260","2558","3.7970",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.7001","null","null","null","null","null","null","null",76,"2","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","81.5","2.2709","6.2929","Brad Hand",457706,543272,"null","ball",,,,,"12","null","R","R","L","SD","SF","B","null","null",0,0,2018,"-1.5067","-0.6565","1.0535","3.9643","null","null","null",2,9,"Top","null","null",,,454560,,"180415_033818","-0.0273","-118.2392","2.5251","-13.1892","24.7479","-38.7890","3.4601","1.5835","null","null","null","78.4610","2573","4.5390",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"55.9584","null","null","null","null","null","null","null",76,"1","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","82.4","2.2093","6.3028","Brad Hand",605509,543272,"strikeout","called_strike",,,,,"2","Kelby Tomlinson called out on strikes.  ","R","R","L","SD","SF","S",2,"null",2,2,2018,"-1.2050","-0.5962","0.2115","3.4173","null","null","null",1,9,"Top","null","null",,,454560,,"180415_033740","-2.2868","-119.5006","1.0385","-10.1179","24.9811","-37.9975","3.4098","1.5734","null","null","null","78.5900","2611","3.9920",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.5054","null","null","0.00",1,0,0,"null",75,"5","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","82.7","2.2909","6.3207","Brad Hand",605509,543272,"null","ball",,,,,"13","null","R","R","L","SD","SF","B","null","null",1,2,2018,"-1.5496","-0.2832","-1.4151","1.0872","null","null","null",1,9,"Top","null","null",,,454560,,"180415_033708","-5.4160","-119.7983","-4.5945","-12.5307","26.7264","-34.0329","3.4098","1.6160","null","null","null","78.9040","2525","4.2400",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.2576","null","null","null","null","null","null","null",75,"4","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"FT","2018-04-14","93.4","2.5503","6.0789","Brad Hand",605509,543272,"null","called_strike",,,,,"4","null","R","R","L","SD","SF","S","null","null",1,1,2018,"1.3011","0.2234","-0.7573","2.4733","null","null","null",1,9,"Top","null","null",,,454560,,"180415_033641","-10.9427","-135.1778","-3.8216","17.7223","30.6998","-28.9799","3.4523","1.6160","null","null","null","90.8000","2331","5.1060",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"55.3916","null","null","null","null","null","null","null",75,"3","2-Seam Fastball",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","82.3","2.4258","6.3053","Brad Hand",605509,543272,"null","ball",,,,,"12","null","R","R","L","SD","SF","B","null","null",0,1,2018,"-1.5490","-0.5273","1.4442","3.2823","null","null","null",1,9,"Top","null","null",,,454560,,"180415_033616","0.5043","-119.3262","0.6222","-13.7352","24.1498","-37.2911","3.4948","1.6160","null","null","null","78.6430","2405","4.0410",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.4567","null","null","null","null","null","null","null",75,"2","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"FF","2018-04-14","93.2","2.3894","6.2884","Brad Hand",543063,543272,"null","ball",,,,,"11","null","R","L","L","SD","SF","B","null","null",0,2,2018,"0.4775","1.4005","-0.6859","4.5059","null","null","null",0,9,"Top","null","null",,,454560,,"180415_033446","-8.5819","-135.1775","-1.6288","7.3722","29.1370","-15.9259","3.2019","1.5533","null","null","null","90.2190","2510","4.6210",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"55.8759","null","null","null","null","null","null","null",74,"3","4-Seam Fastball",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","81.8","2.3746","6.2025","Brad Hand",543063,543272,"null","called_strike",,,,,"4","null","R","L","L","SD","SF","S","null","null",0,1,2018,"-1.3693","-0.0450","-0.7183","2.4712","null","null","null",0,9,"Top","null","null",,,454560,,"180415_033423","-4.3508","-118.7776","-1.6570","-11.2729","24.4574","-32.5567","3.2119","1.5533","null","null","null","79.0540","2525","4.6580",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"55.8389","null","null","null","null","null","null","null",74,"2","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
"SL","2018-04-14","80.8","2.2592","6.3990","Brad Hand",543063,543272,"null","called_strike",,,,,"3","null","R","L","L","SD","SF","S","null","null",0,0,2018,"-1.5956","-0.1865","0.3252","2.8823","null","null","null",0,9,"Top","null","null",,,454560,,"180415_033402","-1.4526","-117.1154","-0.7064","-13.0861","25.5360","-33.9752","3.2119","1.5958","null","null","null","76.7830","2421","3.9720",529623,543272,454560,570799,641319,605486,520471,517369,614173,592669,"56.5250","null","null","null","null","null","null","null",74,"1","Slider",5,4,4,5,4,5,4,5,"Standard","Standard"
