"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-09-26","86.1","-2.4801","5.4540","Kirby Yates",543063,489446,"null","ball",,,,,"13","null","R","L","R","SF","SD","B","null","null",2,0,2018,"-1.1529","0.1577","-0.6144","1.1543","null","null","491676.00",2,9,"Bot","null","null",,,595978,,"180927_050801","6.5827","-125.0937","-4.2595","-13.0366","22.5555","-30.0154","3.1890","1.5160","null","null","null","85.1410","1262","5.5160",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"54.9818","null","null","null","null","null","null","null",70,"3","Split Finger",2,3,2,3,3,2,2,3,"Standard","Standard"
"FS","2018-09-26","86.6","-2.3732","5.5659","Kirby Yates",543063,489446,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-0.9979","1.0321","-1.4499","2.5850","null","null","491676.00",2,9,"Bot","null","null",,,595978,,"180927_050700","4.1244","-126.0081","-2.9523","-11.1852","24.4050","-21.1024","3.2148","1.5422","null","null","null","85.6620","1471","5.5810",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"54.9162","null","null","null","null","null","null","null",70,"1","Split Finger",2,3,2,3,3,2,2,3,"Standard","Standard"
"FS","2018-09-26","87.3","-2.4398","5.4373","Kirby Yates",605244,489446,"walk","ball",,,,,"13","Aramis Garcia walks.  ","R","R","R","SF","SD","B","null","null",3,2,2018,"-1.1628","0.6661","-1.4753","2.1202","null","null","null",1,9,"Bot","null","null",,,595978,,"180927_050514","4.5283","-126.8900","-3.1145","-13.0406","24.5178","-24.8567","3.2406","1.5422","null","null","null","85.8720","1201","5.3080",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"55.1894","null","null","0.70",1,0,0,"null",68,"6","Split Finger",2,3,2,3,3,2,2,3,"Standard","Standard"
"FS","2018-09-26","87.1","-2.5601","5.3397","Kirby Yates",605244,489446,"null","ball",,,,,"13","null","R","R","R","SF","SD","B","null","null",2,2,2018,"-0.9784","0.8989","-0.3468","1.0471","null","null","null",1,9,"Bot","null","null",,,595978,,"180927_050452","7.1547","-126.4691","-5.8810","-11.6203","23.2134","-21.8530","3.3178","1.5160","null","null","null","86.2010","1291","5.6090",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"54.8885","null","null","null","null","null","null","null",68,"5","Split Finger",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-09-26","93.7","-2.5000","5.3476","Kirby Yates",605244,489446,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",1,0,2018,"-0.8863","1.3505","1.1320","2.3513","null","null","null",1,9,"Bot","null","null",,,595978,,"180927_050323","11.1136","-135.9336","-4.8391","-13.0517","27.8824","-15.0024","3.2406","1.5944","null","null","null","92.5790","2391","5.6440",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"54.8530","null","null","null","null","null","null","null",68,"2","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-09-26","93.0","-2.5581","5.4235","Kirby Yates",605244,489446,"null","ball",,,,,"12","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-1.0250","1.4381","0.9573","3.6956","null","null","null",1,9,"Bot","null","null",,,595978,,"180927_050303","11.0453","-134.9181","-1.6801","-14.6259","29.0523","-14.8737","3.2406","1.5683","null","null","null","91.7810","2357","5.7010",531783,489446,595978,543333,605486,571976,520471,592669,622534,608671,"54.7968","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-09-26","94.6","-2.9843","5.7229","Hunter Strickland",543333,519326,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",1,2,2018,"-0.3673","1.2475","-2.2990","5.0228","608671.00","null","null",2,9,"Top","null","null",,,605244,,"180927_045900","2.5633","-137.6957","1.1056","-5.1448","30.0926","-17.0846","3.5619","1.6728","null","null","null","93.8140","2120","5.7740",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"54.7237","null","null","null","null","null","null","null",66,"4","4-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Strategic"
"FT","2018-09-26","93.1","-2.9185","5.8300","Hunter Strickland",543333,519326,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-1.1211","0.5818","-1.1761","3.4602","608671.00","null","null",2,9,"Top","null","null",,,605244,,"180927_045727","6.8368","-135.4444","-1.5780","-15.0595","28.3649","-24.9994","3.5619","1.6406","null","null","null","92.5960","2232","5.9070",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"54.5905","null","null","null","null","null","null","null",66,"1","2-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-09-26","81.8","-2.7592","5.8525","Hunter Strickland",517369,519326,"null","called_strike",,,,,"11","null","R","R","R","SF","SD","S","null","null",2,1,2018,"0.6159","-0.3790","-0.9680","2.5331","null","null","null",1,9,"Top","null","null",,,605244,,"180927_045349","2.8415","-118.9471","-0.1943","5.0495","23.6213","-35.8710","3.3840","1.5160","null","null","null","80.1170","2588","5.2460",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"55.2513","null","null","null","null","null","null","null",64,"4","Slider",2,3,3,2,3,2,3,2,"Standard","Standard"
"FF","2018-09-26","96.6","-2.7254","5.5128","Hunter Strickland",517369,519326,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",1,1,2018,"-0.7382","1.2267","1.9488","1.5577","null","null","null",1,9,"Top","null","null",,,605244,,"180927_045314","13.8527","-139.8034","-7.5316","-12.4998","30.3995","-15.0082","3.4720","1.5944","null","null","null","95.1990","2340","5.6990",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"54.7980","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-09-26","83.3","-2.7931","5.9352","Hunter Strickland",517369,519326,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,0,2018,"0.7789","-0.3605","0.9197","0.4938","null","null","null",1,9,"Top","null","null",,,605244,,"180927_045436","6.9096","-120.9337","-5.2238","5.9810","24.1116","-34.8128","3.3692","1.5160","null","null","null","81.5750","2579","5.3000",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"55.1977","null","null","null","null","null","null","null",64,"1","Slider",2,3,3,2,3,2,3,2,"Standard","Standard"
"FF","2018-09-26","94.9","-2.9128","5.6097","Hunter Strickland",605486,519326,"null","ball",,,,,"14","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-0.4081","1.2180","1.2341","1.5282","null","null","null",0,9,"Top","null","null",,,605244,,"180927_044938","11.6239","-137.4670","-7.5786","-7.6523","30.0509","-15.4937","3.3435","1.5422","null","null","null","93.9860","2231","5.9720",531783,519326,605244,596103,605412,593700,623214,622046,453923,452254,"54.5254","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-09-26","87.2","-2.8510","5.6267","Trey Wingenter",605412,622259,"null","ball",,,,,"14","null","R","L","R","SF","SD","B","null","null",0,1,2018,"-0.0090","-0.0702","0.8712","-0.5305","null","null","null",2,8,"Bot","null","null",,,595978,,"180927_044604","8.8915","-126.5716","-8.4519","-1.7506","23.5466","-31.5645","3.0343","1.4637","null","null","null","86.8200","2292","5.9860",531783,622259,595978,517369,605486,571976,520471,592669,622534,608671,"54.5109","null","null","null","null","null","null","null",62,"2","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
