"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-07-28","82.4","2.8900","5.1889","Dan Jennings",467055,543359,"null","ball",,,,,"12","null","R","R","L","SF","MIL","B","null","null",1,2,2018,"-1.2078","0.0706","2.2625","3.3277","543063.00","446334.00","null",2,9,"Bot","null","null",,,456124,,"180729_033740","0.8151","-119.9136","2.0600","-11.4672","21.3415","-32.1234","3.1585","1.5380","null","null","null","81.2950","2468","5.3540",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"55.1434","null","null","null","null","null","null","null",73,"4","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"FT","2018-07-28","91.5","2.8427","5.1036","Dan Jennings",467055,543359,"null","called_strike",,,,,"14","null","R","R","L","SF","MIL","S","null","null",0,1,2018,"0.7188","0.5575","0.8315","1.8779","543063.00","446334.00","null",2,9,"Bot","null","null",,,456124,,"180729_033623","-6.6621","-133.3306","-3.5945","9.9177","23.9378","-24.9372","3.2362","1.5117","null","null","null","92.5890","2271","6.4950",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.0029","null","null","null","null","null","null","null",73,"2","2-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard"
"SL","2018-07-28","82.8","2.7855","5.2076","Dan Jennings",467055,543359,"null","called_strike",,,,,"7","null","R","R","L","SF","MIL","S","null","null",0,0,2018,"-0.6191","-0.2085","-0.5104","1.7142","543063.00","446334.00","null",2,9,"Bot","null","null",,,456124,,"180729_033557","-6.2579","-120.4201","-1.1311","-4.7741","21.3836","-34.1916","3.1586","1.4855","null","null","null","81.8750","2377","5.5030",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.9942","null","null","null","null","null","null","null",73,"1","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"FT","2018-07-28","91.6","2.9517","5.1533","Dan Jennings",446334,543359,"null","ball",,,,,"14","null","R","R","L","SF","MIL","B","null","null",0,0,2018,"1.0572","0.6533","1.2420","2.3318","null","null","543063.00",2,9,"Bot","null","null",,,456124,,"180729_033437","-6.5295","-133.3694","-2.7373","13.7821","23.8316","-24.0826","3.5981","1.5635","null","null","null","91.7940","2272","5.9970",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.5007","null","null","null","null","null","null","null",72,"1","2-Seam Fastball",1,7,1,7,7,1,1,7,"Infield shift","Standard"
"SL","2018-07-28","83.8","2.9516","5.2245","Dan Jennings",543063,543359,"null","ball",,,,,"13","null","R","L","L","SF","MIL","B","null","null",0,2,2018,"-0.9876","-0.2739","-1.4157","-0.0427","null","null","null",2,9,"Bot","null","null",,,456124,,"180729_033327","-8.0765","-121.6835","-5.1312","-7.9740","24.1807","-34.0624","3.1843","1.5087","null","null","null","82.6810","2535","5.6870",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.8105","null","null","null","null","null","null","null",71,"3","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"SL","2018-07-28","81.4","3.0613","5.2250","Dan Jennings",543063,543359,"null","called_strike",,,,,"14","null","R","L","L","SF","MIL","S","null","null",0,0,2018,"-0.9831","-0.0636","0.8502","2.2270","null","null","null",2,9,"Bot","null","null",,,456124,,"180729_033249","-3.0887","-118.4451","-0.0390","-8.4835","21.8033","-32.9948","3.3722","1.5744","null","null","null","80.5700","2494","5.6390",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.8583","null","null","null","null","null","null","null",71,"1","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"FT","2018-07-28","91.1","3.1647","5.1063","Dan Jennings",621453,543359,"null","called_strike",,,,,"7","null","R","L","L","SF","MIL","S","null","null",2,1,2018,"0.7947","0.4105","-0.4488","2.1429","null","null","null",1,9,"Bot","null","null",,,456124,,"180729_033151","-10.6677","-132.3631","-2.5189","11.0829","20.9977","-27.0980","3.5724","1.8730","null","null","null","91.3730","2207","5.9710",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.5268","null","null","null","null","null","null","null",70,"4","2-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard"
"SL","2018-07-28","82.6","3.2685","5.1854","Dan Jennings",621453,543359,"null","ball",,,,,"13","null","R","L","L","SF","MIL","B","null","null",1,1,2018,"-0.8801","-0.0900","-0.7609","1.5687","null","null","null",1,9,"Bot","null","null",,,456124,,"180729_033132","-7.3809","-119.8583","-1.4674","-6.6753","24.6447","-32.9858","3.4949","1.7423","null","null","null","80.9720","2468","5.4790",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"55.0182","null","null","null","null","null","null","null",70,"3","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"SL","2018-07-28","83.4","3.0543","5.1372","Dan Jennings",621453,543359,"null","ball",,,,,"13","null","R","L","L","SF","MIL","B","null","null",0,1,2018,"-0.7701","-0.0869","-2.0637","0.5422","null","null","null",1,9,"Bot","null","null",,,456124,,"180729_033106","-10.1597","-120.9561","-3.8645","-5.4183","23.8257","-32.4931","3.5981","1.6900","null","null","null","82.4150","2578","5.8360",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.6619","null","null","null","null","null","null","null",70,"2","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"FT","2018-07-28","91.7","3.2535","5.0749","Dan Jennings",621453,543359,"null","called_strike",,,,,"4","null","R","L","L","SF","MIL","S","null","null",0,0,2018,"0.5541","0.3012","-0.3297","2.5526","null","null","null",1,9,"Bot","null","null",,,456124,,"180729_033049","-10.1641","-133.1999","-1.1887","8.5289","25.7409","-28.5841","3.5724","1.7945","null","null","null","91.4430","2134","6.0070",530976,543359,456124,542583,543768,519058,606115,592885,456715,541650,"54.4905","null","null","null","null","null","null","null",70,"1","2-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard"
"FF","2018-07-28","90.4","-1.7500","6.2733","Mark Melancon",519058,453343,"null","ball",,,,,"14","null","R","L","R","SF","MIL","B","null","null",1,2,2018,"-0.3752","0.7860","1.8448","1.2981","null","null","456715.00",0,9,"Top","null","null",,,460026,,"180729_032604","9.6487","-131.1649","-8.0552","-6.1132","24.6042","-21.8577","3.5208","1.8732","null","null","null","89.9670","2647","5.9300",530976,453343,460026,467055,593700,446334,543063,491676,621453,457705,"54.5675","null","null","null","null","null","null","null",67,"4","4-Seam Fastball",1,7,7,1,7,1,7,1,"Infield shift","Standard"
"FS","2018-07-28","81.6","-1.7273","6.4081","Mark Melancon",519058,453343,"null","ball",,,,,"12","null","R","L","R","SF","MIL","B","null","null",0,1,2018,"-0.6596","0.8099","0.0280","3.6479","null","null","456715.00",0,9,"Top","null","null",,,460026,,"180729_032510","5.1831","-118.7743","-1.2174","-7.1338","20.9052","-24.5302","3.4420","1.7686","null","null","null","81.5880","1881","6.0820",530976,453343,460026,467055,593700,446334,543063,491676,621453,457705,"54.4153","null","null","null","null","null","null","null",67,"2","Split Finger",1,7,7,1,7,1,7,1,"Infield shift","Standard"
"FF","2018-07-28","89.7","-2.1012","6.3899","Mark Melancon",519058,453343,"null","called_strike",,,,,"5","null","R","L","R","SF","MIL","S","null","null",0,0,2018,"-0.3096","0.8242","-0.0654","2.7713","null","null","456715.00",0,9,"Top","null","null",,,460026,,"180729_032447","5.6442","-130.4962","-4.7005","-4.5913","24.8547","-22.1276","3.4420","1.6901","null","null","null","89.5340","2474","5.9860",530976,453343,460026,467055,593700,446334,543063,491676,621453,457705,"54.5110","null","null","null","null","null","null","null",67,"1","4-Seam Fastball",1,7,7,1,7,1,7,1,"Infield shift","Standard"
"FF","2018-07-28","95.3","-1.6634","4.9087","Taylor Williams",460026,592865,"null","called_strike",,,,,"14","null","R","R","R","SF","MIL","S","null","null",0,1,2018,"-0.3012","0.6906","0.9297","1.8918","null","null","null",1,8,"Bot","null","null",,,456124,,"180729_032008","7.4112","-138.6839","-3.8541","-5.2822","26.6598","-22.7954","3.2361","1.4811","null","null","null","95.0770","2097","5.8430",530976,592865,456124,542583,543768,519058,606115,592885,456715,541650,"54.6549","null","null","null","null","null","null","null",64,"2","4-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard"
