"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-27","97.0","-2.1873","5.9510","Corey Knebel",467055,608349,"null","ball",,,,,"13","null","R","L","R","SF","MIL","B","null","null",0,2,2018,"-0.0921","1.4498","-1.3462","1.8503","null","null","null",2,9,"Bot","null","null",,,444489,,"180728_044734","2.4526","-141.0499","-8.7342","-1.7435","29.4911","-11.1814","3.3190","1.5130","null","null","null","97.1120","2495","6.2090",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"54.2881","null","null","null","null","null","null","null",69,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","95.2","-2.3047","5.9908","Corey Knebel",446334,608349,"null","ball",,,,,"11","null","R","R","R","SF","MIL","B","null","null",0,2,2018,"-0.0758","1.1634","-0.1242","5.4986","null","null","null",1,9,"Bot","null","null",,,444489,,"180728_044555","5.8786","-138.5982","1.7091","-2.1815","28.4137","-17.7483","3.4110","1.5650","null","null","null","95.3400","2360","6.1560",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"54.3411","null","null","null","null","null","null","null",68,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Strategic","Standard"
"FF","2018-07-27","97.1","-2.2584","5.9444","Corey Knebel",543063,608349,"null","ball",,,,,"11","null","R","L","R","SF","MIL","B","null","null",2,2,2018,"-0.3646","1.4958","-1.2873","2.5702","null","null","null",0,9,"Bot","null","null",,,444489,,"180728_044410","3.4168","-141.2899","-6.8795","-5.6219","31.8895","-10.9445","3.4670","1.5890","null","null","null","96.8770","2363","6.1410",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"54.3563","null","null","null","null","null","null","null",67,"5","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","96.3","-2.5172","5.8373","Corey Knebel",543063,608349,"null","ball",,,,,"11","null","R","L","R","SF","MIL","B","null","null",1,2,2018,"-0.1976","1.0801","-0.9791","5.2483","null","null","null",0,9,"Bot","null","null",,,444489,,"180728_044351","4.4946","-140.2161","1.5254","-3.4875","27.9866","-18.5307","3.4670","1.5890","null","null","null","96.1800","2422","5.9230",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"54.5740","null","null","null","null","null","null","null",67,"4","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","96.7","-2.2362","5.9789","Corey Knebel",543063,608349,"null","called_strike",,,,,"3","null","R","L","R","SF","MIL","S","null","null",1,0,2018,"-0.2920","1.2178","0.4453","2.9945","null","null","null",0,9,"Bot","null","null",,,444489,,"180728_044309","7.8737","-140.6913","-5.2969","-5.5265","28.0926","-14.7976","3.4670","1.5890","null","null","null","97.8200","2421","6.6600",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"53.8370","null","null","null","null","null","null","null",67,"2","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","98.0","-2.4897","5.8975","Corey Knebel",543063,608349,"null","ball",,,,,"11","null","R","L","R","SF","MIL","B","null","null",0,0,2018,"-0.4963","1.4187","-1.8774","3.2969","null","null","null",0,9,"Bot","null","null",,,444489,,"180728_044251","2.7960","-142.6676","-4.8380","-7.3945","31.2154","-11.9361","3.4670","1.5890","null","null","null","98.2080","2424","6.2700",530961,608349,444489,542583,541650,543768,606115,460075,542979,592885,"54.2271","null","null","null","null","null","null","null",67,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","96.6","-1.4883","5.2992","Sam Dyson",606115,473879,"null","ball",,,,,"7","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"-1.4549","0.3916","-0.8231","2.0879","null","null","null",2,9,"Top","null","null",,,457763,,"180728_043935","4.8487","-140.5456","-3.8349","-19.6973","28.5371","-26.6007","3.3710","1.5350","null","null","null","95.2280","2314","5.2680",530961,473879,457763,467055,593700,446334,543063,491676,621453,457705,"55.2292","null","null","null","null","null","null","null",66,"1","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2018-07-27","92.6","-1.6503","5.2472","Sam Dyson",541650,473879,"null","called_strike",,,,,"5","null","R","R","R","SF","MIL","S","null","null",1,0,2018,"-1.1811","0.3012","0.0039","2.5050","null","null","null",0,9,"Top","null","null",,,457763,,"180728_043751","6.5524","-134.6218","-1.8239","-15.2156","27.5307","-28.5183","3.4110","1.5650","null","null","null","90.9920","2253","5.2330",530961,473879,457763,467055,593700,446334,543063,491676,621453,457705,"55.2639","null","null","null","null","null","null","null",64,"2","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2018-07-27","94.1","-1.6428","5.2518","Sam Dyson",541650,473879,"null","ball",,,,,"11","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"-1.2630","0.0620","-1.2914","3.2373","null","null","null",0,9,"Top","null","null",,,457763,,"180728_043729","3.4923","-136.7546","0.3519","-15.9250","30.6180","-31.7946","3.4110","1.5650","null","null","null","91.8800","2261","5.0580",530961,473879,457763,467055,593700,446334,543063,491676,621453,457705,"55.4390","null","null","null","null","null","null","null",64,"1","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"KC","2018-07-27","82.1","-1.1501","5.8327","Jeremy Jeffress",457763,502026,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",1,2,2018,"0.9974","-0.8891","1.2914","0.8716","621453.00","593700.00","457705.00",2,8,"Bot","null","null",,,444489,,"180728_043346","3.5973","-119.3866","-2.9135","8.5314","24.8749","-40.1064","3.4110","1.5650","null","null","null","80.9670","2565","5.7390",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.7582","null","null","null","null","null","null","null",63,"4","Knuckle Curve",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","96.4","-1.1990","5.8223","Jeremy Jeffress",457763,502026,"null","ball",,,,,"13","null","R","R","R","SF","MIL","B","null","null",0,2,2018,"-1.4640","0.5354","-0.5403","0.8516","621453.00","593700.00","457705.00",2,8,"Bot","null","null",,,444489,,"180728_043322","5.0997","-140.1814","-8.9076","-20.5491","29.4234","-23.3752","3.4110","1.5650","null","null","null","96.9260","1939","6.4640",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.0333","null","null","null","null","null","null","null",63,"3","2-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","95.7","-1.1592","5.8272","Jeremy Jeffress",457705,502026,"walk","ball",,,,,"11","Andrew McCutchen walks.   Steven Duggar to 3rd.    Alen Hanson to 2nd.  ","R","R","R","SF","MIL","B","null","null",3,0,2018,"-1.3135","0.8420","-1.7270","2.8809","null","621453.00","593700.00",2,8,"Bot","null","null",,,444489,,"180728_043043","1.4371","-139.4656","-4.0892","-17.4042","29.3374","-20.5612","3.3190","1.5130","null","null","null","95.8580","1992","6.1520",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.3458","null","null","0.70",1,0,0,"null",62,"4","2-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","94.9","-1.2049","5.6945","Jeremy Jeffress",457705,502026,"null","ball",,,,,"7","null","R","R","R","SF","MIL","B","null","null",2,0,2018,"-1.3598","0.6276","-0.4915","1.4805","null","621453.00","593700.00",2,8,"Bot","null","null",,,444489,,"180728_043017","4.9128","-138.1080","-6.7849","-18.4986","30.2055","-22.8583","3.3190","1.5130","null","null","null","95.0940","1983","6.3540",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.1432","null","null","null","null","null","null","null",62,"3","2-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","95.2","-1.1673","5.8459","Jeremy Jeffress",457705,502026,"null","ball",,,,,"11","null","R","R","R","SF","MIL","B","null","null",1,0,2018,"-1.4669","0.7103","-2.3979","3.1972","null","621453.00","593700.00",2,8,"Bot","null","null",,,444489,,"180728_042944","0.0487","-138.7956","-2.9585","-19.0144","28.9247","-22.5579","3.3190","1.5130","null","null","null","95.6310","1927","6.2770",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.2205","null","null","null","null","null","null","null",62,"2","2-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","95.8","-1.1454","5.9828","Jeremy Jeffress",457705,502026,"null","ball",,,,,"12","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"-0.5997","1.3358","0.4348","3.5901","null","621453.00","593700.00",2,8,"Bot","null","null",,,444489,,"180728_042920","5.5467","-139.4490","-3.7850","-9.0470","29.1217","-14.0078","3.3190","1.5130","null","null","null","96.3700","2207","6.4360",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.0610","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"KC","2018-07-27","80.1","-1.2625","5.9004","Jeremy Jeffress",593700,502026,"null","ball",,,,,"11","null","R","L","R","SF","MIL","B","null","null",0,0,2018,"0.8793","-0.8625","-0.9856","3.6234","null","null","621453.00",2,8,"Bot","null","null",,,444489,,"180728_042632","-0.9772","-116.4561","3.1635","7.9713","20.5524","-40.6253","3.3710","1.5350","null","null","null","79.0760","2423","5.4860",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"55.0116","null","null","null","null","null","null","null",61,"1","Knuckle Curve",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-07-27","95.9","-1.4029","5.7528","Jeremy Jeffress",621453,502026,"null","ball",,,,,"13","null","R","L","R","SF","MIL","B","null","null",0,0,2018,"-1.5403","0.6028","-0.7049","0.2557","null","null","null",2,8,"Bot","null","null",,,444489,,"180728_042523","5.3388","-139.3277","-10.3247","-21.3364","29.0876","-22.3007","3.4670","1.5890","null","null","null","96.2770","2017","6.4320",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.0650","null","null","null","null","null","null","null",60,"1","2-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-07-27","96.2","-1.0915","5.8947","Jeremy Jeffress",596103,502026,"null","called_strike",,,,,"14","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"-0.3921","1.4048","0.9239","2.0528","null","null","null",1,8,"Bot","null","null",,,444489,,"180728_042330","6.2525","-139.9564","-7.8451","-6.5202","29.7525","-12.1034","3.4670","1.5890","null","null","null","96.6850","2262","6.4460",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.0516","null","null","null","null","null","null","null",59,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"KC","2018-07-27","83.7","-1.0610","5.8518","Jeremy Jeffress",491676,502026,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",1,2,2018,"0.6871","-0.2061","2.2723","1.9408","null","null","null",0,8,"Bot","null","null",,,444489,,"180728_042144","6.2994","-121.7258","-2.2314","5.5859","22.0345","-34.0144","3.4110","1.5650","null","null","null","83.0990","2426","5.7460",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.7511","null","null","null","null","null","null","null",58,"5","Knuckle Curve",1,3,1,3,3,1,1,3,"Standard","Standard"
"FS","2018-07-27","90.9","-1.0710","5.8278","Jeremy Jeffress",491676,502026,"null","ball",,,,,"13","null","R","R","R","SF","MIL","B","null","null",0,2,2018,"-1.0838","0.1103","-1.5143","1.7112","null","null","null",0,8,"Bot","null","null",,,444489,,"180728_042126","1.1680","-132.3490","-4.6267","-12.8156","27.9263","-30.1512","3.4110","1.5650","null","null","null","90.4370","1456","5.9470",530961,502026,444489,542583,541650,573135,606115,460075,542979,592885,"54.5503","null","null","null","null","null","null","null",58,"4","Split Finger",1,3,1,3,3,1,1,3,"Standard","Standard"
