"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-11","87.6","-2.2276","5.7177","Brad Boxberger",467055,502202,"null","called_strike",,,,,"5","null","R","L","R","SF","ARI","S","null","null",0,0,2018,"-0.2984","1.4467","0.0564","2.6628","null","null","null",2,9,"Bot","null","null",,,571974,,"180411_225349","6.0281","-127.3238","-4.1138","-4.3430","24.6550","-16.2182","3.3064","1.5647","null","null","null","86.6320","2178","5.6070",529574,502202,571974,502671,606466,571918,605113,502481,572041,572008,"54.8904","null","null","null","null","null","null","null",73,"1","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"FF","2018-04-11","87.8","-2.1988","5.8085","Brad Boxberger",543063,502202,"null","called_strike",,,,,"8","null","R","L","R","SF","ARI","S","null","null",0,0,2018,"-0.3166","1.7000","0.2320","1.6287","null","null","null",1,9,"Bot","null","null",,,571974,,"180411_225246","6.3880","-127.4292","-7.2510","-4.5972","24.9048","-13.0287","3.3282","1.5795","null","null","null","86.3400","2303","5.3900",529574,502202,571974,502671,606466,571918,605113,502481,572041,572008,"55.1077","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"FF","2018-04-11","87.8","-2.1885","5.6520","Brad Boxberger",452254,502202,"null","called_strike",,,,,"6","null","R","R","R","SF","ARI","S","null","null",1,1,2018,"-0.0393","1.6022","0.7540","2.6395","null","null","null",0,9,"Bot","null","null",,,571974,,"180411_225155","7.0832","-127.4372","-4.2927","-1.8772","26.2785","-14.5675","3.3239","1.6237","null","null","null","86.4160","2249","5.5530",529574,502202,571974,502671,606466,571918,605113,502481,572041,572008,"54.9442","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"FF","2018-04-11","88.0","-2.2815","5.5743","Brad Boxberger",452254,502202,"null","called_strike",,,,,"6","null","R","R","R","SF","ARI","S","null","null",1,0,2018,"-0.2716","1.3813","0.3337","2.5576","null","null","null",0,9,"Bot","null","null",,,571974,,"180411_225140","6.8149","-127.9219","-3.9771","-4.2854","25.5242","-16.7377","3.4395","1.6429","null","null","null","87.1570","2177","5.7370",529574,502202,571974,502671,606466,571918,605113,502481,572041,572008,"54.7603","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"FF","2018-04-11","86.2","-2.1688","5.7004","Brad Boxberger",452254,502202,"null","ball",,,,,"14","null","R","R","R","SF","ARI","B","null","null",0,0,2018,"-0.2862","1.5219","0.2930","1.2166","null","null","null",0,9,"Bot","null","null",,,571974,,"180411_225124","6.3427","-125.1333","-7.3617","-4.1794","24.0945","-15.2561","3.4387","1.6622","null","null","null","85.3850","2198","5.7910",529574,502202,571974,502671,606466,571918,605113,502481,572041,572008,"54.7061","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"FF","2018-04-11","94.3","-1.8922","5.9572","Pierce Johnson",502481,572955,"null","ball",,,,,"11","null","R","L","R","SF","ARI","B","null","null",1,2,2018,"-1.2635","1.1974","-1.5760","4.4568","null","null","571974.00",2,9,"Top","null","null",,,460026,,"180411_224814","3.4486","-137.1290","-0.7647","-16.1401","29.3104","-17.6738","3.4689","1.6521","null","null","null","92.6850","2337","5.2870",529574,572955,460026,457763,605412,467055,543063,452254,453923,457705,"55.2105","null","null","null","null","null","null","null",70,"4","4-Seam Fastball",3,7,7,3,7,3,7,3,"Standard","Standard"
"FF","2018-04-11","94.4","-1.9370","6.0745","Pierce Johnson",502481,572955,"null","called_strike",,,,,"9","null","R","L","R","SF","ARI","S","null","null",1,1,2018,"-1.0176","1.3019","0.4638","2.0358","null","null","571974.00",2,9,"Top","null","null",,,460026,,"180411_224751","8.3136","-137.0555","-7.5574","-14.2195","26.6826","-14.8042","3.4448","1.6567","null","null","null","93.4650","2334","5.5960",529574,572955,460026,457763,605412,467055,543063,452254,453923,457705,"54.9015","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",3,7,7,3,7,3,7,3,"Standard","Standard"
"CU","2018-04-11","82.7","-1.9671","5.8867","Pierce Johnson",502481,572955,"null","ball",,,,,"13","null","R","L","R","SF","ARI","B","null","null",0,1,2018,"1.1390","-0.6835","-0.9030","1.4632","null","null","571974.00",2,9,"Top","null","null",,,460026,,"180411_224729","0.3026","-120.3171","-2.3157","10.5931","22.0340","-38.4020","3.4355","1.7145","null","null","null","81.1630","3080","5.1270",529574,572955,460026,457763,605412,467055,543063,452254,453923,457705,"55.3709","null","null","null","null","null","null","null",70,"2","Curveball",3,7,7,3,7,3,7,3,"Standard","Standard"
"FF","2018-04-11","94.8","-1.8927","6.0262","Pierce Johnson",502481,572955,"null","called_strike",,,,,"7","null","R","L","R","SF","ARI","S","null","null",0,0,2018,"-1.0829","1.2218","-0.8250","2.1540","null","null","571974.00",2,9,"Top","null","null",,,460026,,"180411_224710","5.0139","-137.7474","-6.9726","-14.4075","28.2283","-15.8955","3.5218","1.7145","null","null","null","93.3290","2349","5.3250",529574,572955,460026,457763,605412,467055,543063,452254,453923,457705,"55.1722","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",3,7,7,3,7,3,7,3,"Standard","Standard"
"FF","2018-04-11","94.8","-1.7580","6.0272","Pierce Johnson",572233,572955,"strikeout","called_strike",,,,,"14","Christian Walker called out on strikes.  ","R","R","R","SF","ARI","S",2,"null",2,2,2018,"-1.0026","1.3665","0.8543","2.5919","null","null","571974.00",1,9,"Top","null","null",,,460026,,"180411_224639","8.7998","-137.4376","-6.0971","-14.2288","30.1936","-14.3373","3.6439","1.6836","null","null","null","92.9590","2414","5.3820",529574,572955,460026,457763,605412,467055,543063,452254,453923,457705,"55.1153","null","null","0.00",1,0,0,"null",69,"5","4-Seam Fastball",3,7,7,3,7,3,7,3,"Standard","Standard"
