"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-07","96.7","-1.6901","5.6072","Hector Rondon",621453,444468,"null","called_strike",,,,,"4","null","R","L","R","SF","HOU","S","null","null",1,0,2018,"-0.5509","1.1064","-0.7929","2.7870","null","null","596103.00",2,9,"Bot","null","null",,,545358,,"180807_224226","3.6161","-140.7366","-4.4498","-8.0576","31.2340","-16.8389","3.3722","1.6666","null","null","null","96.3890","1973","6.0500",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.4471","null","null","null","null","null","null","null",74,"2","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FF","2018-08-07","98.4","-1.6590","5.6252","Hector Rondon",593700,444468,"null","ball",,,,,"13","null","R","L","R","SF","HOU","B","null","null",0,2,2018,"-0.9934","1.3223","-0.2775","1.0106","null","null","596103.00",1,9,"Bot","null","null",,,545358,,"180807_224006","5.9979","-142.9016","-10.0672","-14.8536","30.1109","-12.1689","3.2944","1.6140","null","null","null","98.2650","2120","6.1300",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.3672","null","null","null","null","null","null","null",73,"3","4-Seam Fastball",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"SL","2018-08-07","86.7","-1.6606","5.5160","Hector Rondon",596103,444468,"walk","ball",,,,,"14","Austin Slater walks.  ","R","R","R","SF","HOU","B","null","null",3,2,2018,"0.6275","-0.2666","2.0341","0.3650","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223751","7.5130","-125.8963","-5.4872","4.9855","26.7880","-34.0436","3.1905","1.4827","null","null","null","86.0100","2345","6.0700",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.4273","null","null","0.70",1,0,0,"null",72,"8","Slider",1,2,1,2,2,1,1,2,"Strategic","Strategic"
"FF","2018-08-07","98.2","-1.8247","5.6511","Hector Rondon",596103,444468,"null","ball",,,,,"13","null","R","R","R","SF","HOU","B","null","null",2,2,2018,"-0.5228","1.3203","-0.1133","1.1079","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223704","5.8272","-142.6536","-9.8466","-8.4410","32.1000","-12.1652","3.3204","1.5352","null","null","null","98.1040","2016","6.2780",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.2196","null","null","null","null","null","null","null",72,"6","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"SL","2018-08-07","85.9","-1.7717","5.6263","Hector Rondon",596103,444468,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",1,2,2018,"0.5944","-0.0882","1.2003","1.2077","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223601","5.8230","-125.0662","-4.0816","5.1486","22.7191","-32.5632","3.2425","1.4564","null","null","null","85.8420","2417","5.9980",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.4992","null","null","null","null","null","null","null",72,"4","Slider",1,2,1,2,2,1,1,2,"Standard","Strategic"
"SL","2018-08-07","89.5","-1.8011","5.6085","Hector Rondon",596103,444468,"null","called_strike",,,,,"14","null","R","R","R","SF","HOU","S","null","null",1,1,2018,"0.2775","0.3987","0.8464","2.5165","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223543","5.9122","-130.3409","-2.5838","2.2345","20.4358","-27.4069","3.4669","1.5899","null","null","null","89.7140","2251","5.8160",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.6818","null","null","null","null","null","null","null",72,"3","Slider",1,2,1,2,2,1,1,2,"Standard","Strategic"
"SL","2018-08-07","89.3","-1.8726","5.6872","Hector Rondon",596103,444468,"null","called_strike",,,,,"1","null","R","R","R","SF","HOU","S","null","null",1,0,2018,"0.2798","0.3589","-0.3488","2.9827","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223524","3.1423","-130.0496","-1.4726","2.5888","22.5808","-28.1070","3.2165","1.4564","null","null","null","88.9100","2279","5.6190",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.8782","null","null","null","null","null","null","null",72,"2","Slider",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FF","2018-08-07","97.2","-1.5504","5.7256","Hector Rondon",596103,444468,"null","ball",,,,,"14","null","R","R","R","SF","HOU","B","null","null",0,0,2018,"-0.5700","1.2522","0.3301","1.2504","null","null","null",1,9,"Bot","null","null",,,545358,,"180807_223508","6.3218","-141.1779","-9.2735","-9.0358","32.2588","-13.5983","3.2425","1.4564","null","null","null","96.9360","1981","6.2480",531110,444468,545358,493329,503556,605204,608324,605233,545350,502210,"54.2494","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"SI","2018-08-07","92.2","3.4562","5.0607","Tony Watson",503556,453265,"null","ball",,,,,"8","null","R","R","L","SF","HOU","B","null","null",1,1,2018,"1.4671","0.7185","0.0801","1.5310","null","null","608324.00",2,9,"Top","null","null",,,460026,,"180807_223036","-11.6505","-133.6048","-4.6107","19.9297","28.6929","-22.8752","3.3463","1.5878","null","null","null","91.5380","2330","6.1130",531110,453265,460026,457763,593700,446334,543063,596103,621453,457705,"54.3843","null","null","null","null","null","null","null",70,"3","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-08-07","91.4","3.3661","5.1166","Tony Watson",503556,453265,"null","ball",,,,,"11","null","R","R","L","SF","HOU","B","null","null",0,1,2018,"1.0192","0.7913","-1.1940","3.0887","null","null","608324.00",2,9,"Top","null","null",,,460026,,"180807_222950","-13.3745","-132.4303","-0.9165","14.1988","23.6186","-23.0508","3.3722","1.6403","null","null","null","90.4410","2371","5.5760",531110,453265,460026,457763,593700,446334,543063,596103,621453,457705,"54.9219","null","null","null","null","null","null","null",70,"2","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
