"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-11","101.2","2.3432","5.2242","Felipe Vazquez",446334,553878,"null","called_strike",,,,,"8","null","R","R","L","SF","PIT","S","null","null",0,0,2018,"0.7042","1.2441","0.0200","2.3010","null","null","null",1,9,"Bot","null","null",,,553869,,"180812_035218","-8.0627","-147.0338","-5.7075","11.9588","34.4718","-13.2812","3.7175","1.7199","null","null","null","100.4170","2591","5.9170",531166,553878,553869,605137,543281,501896,474568,572816,516782,570256,"54.5801","null","null","null","null","null","null","null",65,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-08-11","102.2","2.5662","5.3458","Felipe Vazquez",457763,553878,"null","ball",,,,,"14","null","R","R","L","SF","PIT","B","null","null",1,2,2018,"1.1314","1.2708","1.5824","1.8481","null","null","null",0,9,"Bot","null","null",,,553869,,"180812_035115","-5.3649","-148.5046","-7.4978","17.6601","34.5222","-12.2348","3.2513","1.5900","null","null","null","101.1390","2579","5.7220",531166,553878,553869,605137,543281,501896,474568,572816,516782,570256,"54.7757","null","null","null","null","null","null","null",64,"5","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-08-11","90.1","2.2094","5.3042","Felipe Vazquez",457763,553878,"null","called_strike",,,,,"7","null","R","R","L","SF","PIT","S","null","null",1,1,2018,"0.9751","0.0426","-0.5559","1.8995","null","null","null",0,9,"Bot","null","null",,,553869,,"180812_035017","-8.7434","-130.8600","-2.5546","12.7065","26.3390","-31.4235","3.2253","1.5900","null","null","null","88.9650","2184","5.5850",531166,553878,553869,605137,543281,501896,474568,572816,516782,570256,"54.9122","null","null","null","null","null","null","null",64,"3","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-08-11","100.2","2.3655","5.4712","Felipe Vazquez",457763,553878,"null","called_strike",,,,,"2","null","R","R","L","SF","PIT","S","null","null",1,0,2018,"0.6597","1.1652","0.2476","3.2582","null","null","null",0,9,"Bot","null","null",,,553869,,"180812_034957","-7.2425","-145.5966","-3.3938","10.7370","31.4708","-15.4770","3.2513","1.4656","null","null","null","99.0170","2674","5.5300",531166,553878,553869,605137,543281,501896,474568,572816,516782,570256,"54.9671","null","null","null","null","null","null","null",64,"2","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-08-11","100.6","2.5428","5.3451","Felipe Vazquez",457763,553878,"null","ball",,,,,"14","null","R","R","L","SF","PIT","B","null","null",0,0,2018,"0.7209","1.1796","1.0784","2.4285","null","null","null",0,9,"Bot","null","null",,,553869,,"180812_034939","-5.6349","-146.3304","-5.4359","11.3407","30.8533","-14.6440","3.3291","1.5900","null","null","null","99.6680","2497","5.5560",531166,553878,553869,605137,543281,501896,474568,572816,516782,570256,"54.9419","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CU","2018-08-11","82.8","-2.0877","6.1309","Casey Kelly",605137,543391,"null","ball",,,,,"14","null","R","L","R","SF","PIT","B","null","null",2,2,2018,"0.7344","-0.6246","0.7697","1.1940","null","null","553869.00",1,9,"Top","null","null",,,457763,,"180812_034541","5.0317","-120.2361","-3.5118","5.8341","23.6254","-37.5675","3.5623","1.8592","null","null","null","80.8820","2352","5.1250",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"55.3727","null","null","null","null","null","null","null",62,"5","Curveball",0,4,4,0,4,0,4,0,"Standard","Standard"
"CH","2018-08-11","88.1","-2.3155","6.0146","Casey Kelly",605137,543391,"null","ball",,,,,"13","null","R","L","R","SF","PIT","B","null","null",1,2,2018,"-1.4188","0.5027","-1.7493","1.2490","null","null","553869.00",1,9,"Top","null","null",,,457763,,"180812_034523","4.1749","-128.0034","-6.3891","-16.0563","26.2225","-25.7310","3.5364","1.8592","null","null","null","86.9010","1517","5.5940",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"54.9037","null","null","null","null","null","null","null",62,"4","Changeup",0,4,4,0,4,0,4,0,"Standard","Standard"
"FT","2018-08-11","92.1","-2.1498","6.0552","Casey Kelly",605137,543391,"null","called_strike",,,,,"7","null","R","L","R","SF","PIT","S","null","null",1,0,2018,"-1.1417","1.2439","-0.3892","1.9379","null","null","553869.00",1,9,"Top","null","null",,,457763,,"180812_034442","6.8033","-133.7634","-7.1656","-14.8679","28.0315","-16.2666","3.6658","1.8068","null","null","null","91.1130","2260","5.7320",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"54.7659","null","null","null","null","null","null","null",62,"2","2-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"FF","2018-08-11","92.5","-2.0456","6.2076","Casey Kelly",605137,543391,"null","ball",,,,,"12","null","R","L","R","SF","PIT","B","null","null",0,0,2018,"-0.7471","1.4426","1.7520","4.3845","null","null","553869.00",1,9,"Top","null","null",,,457763,,"180812_034421","11.0587","-134.2102","-1.8602","-11.0443","27.1479","-15.0324","3.7175","1.9378","null","null","null","91.1710","2318","5.4990",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"54.9988","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"SL","2018-08-11","86.8","-2.3656","6.0825","Casey Kelly",553869,543391,"null","ball",,,,,"11","null","R","R","R","SF","PIT","B","null","null",0,0,2018,"-0.3410","0.4054","-0.1189","3.9985","null","null","null",1,9,"Top","null","null",,,457763,,"180812_034325","5.9025","-126.1392","0.3285","-4.5675","22.3254","-28.2848","3.4197","1.5969","null","null","null","85.3490","2117","5.1340",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"55.3631","null","null","null","null","null","null","null",61,"1","Slider",0,4,4,0,4,0,4,0,"Standard","Standard"
"FF","2018-08-11","92.4","-2.0887","6.2147","Casey Kelly",501896,543391,"null","called_strike",,,,,"9","null","R","R","R","SF","PIT","S","null","null",1,1,2018,"-0.2880","1.4352","0.7857","1.9679","null","null","null",0,9,"Top","null","null",,,457763,,"180812_034229","7.8519","-134.1789","-7.9942","-5.0285","27.2683","-13.6699","3.3291","1.6100","null","null","null","91.6920","2250","5.8390",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"54.6582","null","null","null","null","null","null","null",60,"3","4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"FT","2018-08-11","89.5","-2.3921","6.1262","Casey Kelly",501896,543391,"null","called_strike",,,,,"9","null","R","R","R","SF","PIT","S","null","null",1,0,2018,"-1.0039","0.9640","0.3117","1.7906","null","null","null",0,9,"Top","null","null",,,457763,,"180812_034211","8.5182","-129.7387","-6.4835","-12.7067","26.5794","-20.5812","3.3291","1.5181","null","null","null","87.7130","2176","5.3300",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"55.1673","null","null","null","null","null","null","null",60,"2","2-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"CU","2018-08-11","80.0","-2.2247","6.2729","Casey Kelly",501896,543391,"null","ball",,,,,"11","null","R","R","R","SF","PIT","B","null","null",0,0,2018,"0.3768","-0.7482","-1.3342","3.5803","null","null","null",0,9,"Top","null","null",,,457763,,"180812_034159","1.2568","-116.1805","1.9892","2.9915","20.7715","-39.2098","3.3032","1.6100","null","null","null","77.5090","2139","4.5220",531166,543391,457763,596103,593700,446334,543063,491676,621453,457705,"55.9759","null","null","null","null","null","null","null",60,"1","Curveball",0,4,4,0,4,0,4,0,"Standard","Standard"
"CU","2018-08-11","82.0","-1.7650","6.4501","Keone Kela",457705,605309,"null","ball",,,,,"3","null","R","R","R","SF","PIT","B","null","null",0,1,2018,"0.0132","-0.7023","0.4982","3.3717","null","null","null",2,8,"Bot","null","null",,,553869,,"180812_033917","5.0568","-119.3216","0.8562","-0.7540","20.7378","-39.1950","3.2986","1.6796","null","null","null","81.8000","2420","5.9370",531166,605309,553869,605137,543281,501896,474568,572816,516782,570256,"54.5606","null","null","null","null","null","null","null",59,"2","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-08-11","96.1","-1.6942","6.4946","Keone Kela",457705,605309,"null","called_strike",,,,,"6","null","R","R","R","SF","PIT","S","null","null",0,0,2018,"-0.4656","1.7109","0.7279","2.5247","null","null","null",2,8,"Bot","null","null",,,553869,,"180812_033904","7.4775","-139.5704","-8.8066","-7.7494","30.5541","-7.9912","3.3810","1.6700","null","null","null","96.2600","2317","6.4240",531166,605309,553869,605137,543281,501896,474568,572816,516782,570256,"54.0733","null","null","null","null","null","null","null",59,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CU","2018-08-11","77.3","-1.8093","6.5439","Keone Kela",491676,605309,"null","ball",,,,,"11","null","R","R","R","SF","PIT","B","null","null",0,0,2018,"-0.0029","-0.7805","-0.2670","4.1365","null","null","null",1,8,"Bot","null","null",,,553869,,"180812_033806","3.2691","-112.5381","3.1173","-0.5591","18.4133","-39.4750","3.3032","1.5751","null","null","null","77.1110","2288","5.9050",531166,605309,553869,605137,543281,501896,474568,572816,516782,570256,"54.5920","null","null","null","null","null","null","null",58,"1","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-08-11","93.9","-1.6053","6.5798","Keone Kela",621453,605309,"null","ball",,,,,"13","null","R","L","R","SF","PIT","B","null","null",1,1,2018,"-0.1138","1.4498","-0.0422","1.2811","null","null","null",0,8,"Bot","null","null",,,553869,,"180812_033703","4.3189","-136.4187","-11.2962","-2.3232","27.8464","-11.6961","3.5105","1.7282","null","null","null","94.5680","2109","6.6040",531166,605309,553869,605137,543281,501896,474568,572816,516782,570256,"53.8933","null","null","null","null","null","null","null",57,"3","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
