"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-26","96.5","-2.8048","5.8930","Hunter Strickland",518792,519326,"null","called_strike",,,,,"2","null","R","L","R","CHC","SF","S","null","null",3,1,2018,"-0.3204","1.1634","-0.1016","2.9783","null","null","null",2,9,"Bot","null","null",,,460026,,"180527_022115","7.8342","-140.2043","-4.7596","-5.8386","29.7411","-16.2196","3.4833","1.5871","null","null","null","95.9020","2437","5.8930",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.6063","null","null","null","null","null","null","null",76,"5","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Strategic"
"FF","2018-05-26","95.3","-2.7684","5.8902","Hunter Strickland",518792,519326,"null","ball",,,,,"13","null","R","L","R","CHC","SF","B","null","null",2,1,2018,"-0.2881","1.1678","-1.4278","2.6323","null","null","null",2,9,"Bot","null","null",,,460026,,"180527_022045","4.1143","-138.6459","-5.4709","-4.5197","28.9459","-16.4181","3.6140","1.7176","null","null","null","94.6780","2359","5.7910",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.7090","null","null","null","null","null","null","null",76,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-05-26","82.2","-2.8593","6.1273","Hunter Strickland",518792,519326,"null","ball",,,,,"13","null","R","L","R","CHC","SF","B","null","null",1,1,2018,"0.7837","-0.6423","-1.3416","2.3017","null","null","null",2,9,"Bot","null","null",,,460026,,"180527_022023","1.9501","-119.4154","-0.9510","6.7618","22.3257","-38.1218","3.5730","1.7382","null","null","null","80.0150","2583","4.8080",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"55.6911","null","null","null","null","null","null","null",76,"3","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","96.8","-2.7140","5.8376","Hunter Strickland",518792,519326,"null","ball",,,,,"12","null","R","L","R","CHC","SF","B","null","null",0,1,2018,"-0.6457","0.9072","1.1462","2.7040","null","null","null",2,9,"Bot","null","null",,,460026,,"180527_021947","11.6750","-140.4536","-4.8368","-10.9448","29.2245","-19.4135","3.4909","1.6561","null","null","null","96.4730","2417","6.0800",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.4200","null","null","null","null","null","null","null",76,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FT","2018-05-26","96.9","-2.7085","5.7327","Hunter Strickland",518792,519326,"null","called_strike",,,,,"5","null","R","L","R","CHC","SF","S","null","null",0,0,2018,"-0.7454","0.7434","0.1126","2.5487","null","null","null",2,9,"Bot","null","null",,,460026,,"180527_021923","9.1573","-140.7741","-4.6315","-11.7798","29.5205","-21.5831","3.5011","1.6457","null","null","null","96.6110","2373","6.0440",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.4553","null","null","null","null","null","null","null",76,"1","2-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","95.7","-2.7530","5.7773","Hunter Strickland",600303,519326,"null","called_strike",,,,,"9","null","R","L","R","CHC","SF","S","null","null",3,0,2018,"-0.5020","1.2764","0.5035","1.9755","null","null","null",0,9,"Bot","null","null",,,460026,,"180527_021648","9.7460","-138.9390","-7.3249","-8.6212","29.3238","-14.1311","3.3813","1.5033","null","null","null","96.0890","2374","6.5090",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"53.9906","null","null","null","null","null","null","null",74,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","96.2","-2.7490","5.7908","Hunter Strickland",600303,519326,"null","ball",,,,,"14","null","R","L","R","CHC","SF","B","null","null",2,0,2018,"-0.5172","1.3488","1.0180","2.2282","null","null","null",0,9,"Bot","null","null",,,460026,,"180527_021627","11.1499","-139.5862","-6.9040","-9.1934","30.1018","-13.1842","3.2874","1.5123","null","null","null","96.2590","2455","6.3860",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.1133","null","null","null","null","null","null","null",74,"3","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","96.3","-2.7284","5.8474","Hunter Strickland",600303,519326,"null","ball",,,,,"6","null","R","L","R","CHC","SF","B","null","null",1,0,2018,"-0.3663","1.3384","0.8208","2.0525","null","null","null",0,9,"Bot","null","null",,,460026,,"180527_021608","10.2560","-139.7720","-7.5303","-7.0539","30.3493","-13.1034","3.2874","1.4917","null","null","null","96.4520","2523","6.4350",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"54.0640","null","null","null","null","null","null","null",74,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","96.2","-2.7372","5.8699","Hunter Strickland",600303,519326,"null","ball",,,,,"14","null","R","L","R","CHC","SF","B","null","null",0,0,2018,"-0.3535","1.5168","1.2019","0.9242","null","null","null",0,9,"Bot","null","null",,,460026,,"180527_021549","11.2660","-139.3442","-10.9580","-7.1705","31.2617","-9.9945","3.1186","1.4049","null","null","null","96.2920","2510","6.5910",530180,519326,460026,474832,605509,446334,543063,453923,491676,457705,"53.9082","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-05-26","94.4","-0.5550","5.9929","Pedro Strop",446334,467008,"null","ball",,,,,"14","null","R","R","R","CHC","SF","B","null","null",1,0,2018,"-0.3518","1.1879","1.2578","1.5930","null","null","457705.00",2,9,"Top","null","null",,,575929,,"180527_021001","5.4921","-137.2647","-8.4459","-5.5349","26.3369","-15.6125","3.6301","1.6737","null","null","null","94.8420","2269","6.2910",530180,467008,575929,519203,450314,592178,595879,656941,546991,518792,"54.2086","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",4,5,5,4,5,4,5,4,"Standard","Standard"
"FF","2018-05-26","95.1","-0.6610","6.0376","Pedro Strop",446334,467008,"null","ball",,,,,"11","null","R","R","R","CHC","SF","B","null","null",0,0,2018,"-0.3279","1.2530","-0.8853","3.6226","null","null","457705.00",2,9,"Top","null","null",,,575929,,"180527_020944","0.1383","-138.5608","-3.5140","-4.2409","28.1978","-15.5669","3.6720","1.7156","null","null","null","95.2300","2337","6.0950",530180,467008,575929,519203,450314,592178,595879,656941,546991,518792,"54.4043","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",4,5,5,4,5,4,5,4,"Standard","Standard"
"SL","2018-05-26","84.2","-0.7601","6.0366","Pedro Strop",457705,467008,"null","ball",,,,,"14","null","R","R","R","CHC","SF","B","null","null",2,2,2018,"0.2092","-0.1553","0.2052","1.2361","null","null","null",2,9,"Top","null","null",,,575929,,"180527_020813","1.8189","-122.6140","-4.5053","1.7674","21.5125","-33.1482","3.3784","1.5937","null","null","null","83.8830","2416","5.7890",530180,467008,575929,519203,450314,592178,595879,656941,546991,518792,"54.7104","null","null","null","null","null","null","null",70,"6","Slider",4,5,5,4,5,4,5,4,"Standard","Standard"
"FC","2018-05-26","87.3","-1.4758","5.7512","Pedro Strop",457705,467008,"null","ball",,,,,"13","null","R","R","R","CHC","SF","B","null","null",1,2,2018,"0.2894","0.2586","-1.7646","2.2921","null","null","null",2,9,"Top","null","null",,,575929,,"180527_020753","-1.2740","-127.1427","-2.7576","3.3545","23.2065","-29.0898","3.4772","1.6720","null","null","null","87.2510","2214","5.9670",530180,467008,575929,519203,450314,592178,595879,656941,546991,518792,"54.5327","null","null","null","null","null","null","null",70,"5","Cutter",4,5,5,4,5,4,5,4,"Standard","Standard"
