"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-08-15","91.0","-2.0667","6.2825","Casey Kelly",572821,543391,"null","ball",,,,,"8","null","R","R","R","LAD","SF","B","null","null",1,1,2018,"-1.0323","0.5620","0.1727","1.5951","518735.00","null","571970.00",0,12,"Bot","null","null",,,457763,,"180816_061443","7.6384","-131.9996","-6.8654","-13.3916","28.7963","-24.5544","3.0334","1.3208","null","null","null","89.4610","2202","5.5720",531220,543391,457763,474832,488818,446334,543063,452254,621453,457705,"54.9266","null","null","null","null","null","null","null",99,"3","2-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shift","Strategic"
"FF","2018-08-15","90.5","-2.1627","6.2050","Casey Kelly",572821,543391,"null","called_strike",,,,,"11","null","R","R","R","LAD","SF","S","null","null",1,0,2018,"-0.4020","0.9016","-0.4567","3.4226","518735.00","null","571970.00",0,12,"Bot","null","null",,,457763,,"180816_061421","5.0221","-131.5727","-2.8171","-5.6409","28.7754","-21.6295","3.1051","1.4162","null","null","null","89.2340","2176","5.6250",531220,543391,457763,474832,488818,446334,543063,452254,621453,457705,"54.8741","null","null","null","null","null","null","null",99,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shift","Strategic"
"CU","2018-08-15","81.1","-1.9709","6.2702","Casey Kelly",572821,543391,"null","ball",,,,,"14","null","R","R","R","LAD","SF","B","null","null",0,0,2018,"0.2134","-0.7910","1.3000","1.3675","518735.00","null","571970.00",0,12,"Bot","null","null",,,457763,,"180816_061358","6.7197","-117.5615","-2.7121","0.4439","24.8862","-38.8405","2.9140","1.2764","null","null","null","78.4200","2364","4.8830",531220,543391,457763,474832,488818,446334,543063,452254,621453,457705,"55.6158","null","null","null","null","null","null","null",99,"1","Curveball",3,3,3,3,3,3,3,3,"Infield shift","Strategic"
"FF","2018-08-15","91.5","-1.9731","6.2590","Casey Kelly",571970,543391,"null","called_strike",,,,,"1","null","R","L","R","LAD","SF","S","null","null",0,0,2018,"-0.3195","0.7519","-0.3027","3.2987","null","518735.00","null",0,12,"Bot","null","null",,,457763,,"180816_061151","4.8360","-133.1459","-3.1738","-4.7295","27.4676","-22.9732","3.3193","1.6098","null","null","null","90.7550","2229","5.7480",531220,543391,457763,474832,488818,446334,543063,452254,621453,457705,"54.7509","null","null","null","null","null","null","null",98,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"CU","2018-08-15","80.1","-2.1455","6.3063","Casey Kelly",518735,543391,"null","called_strike",,,,,"7","null","R","L","R","LAD","SF","S","null","null",0,0,2018,"0.9161","-0.6572","-0.3763","1.7705","null","null","null",0,12,"Bot","null","null",,,457763,,"180816_061015","2.2065","-116.4288","-2.0461","7.4760","23.0143","-37.7470","3.3193","1.5383","null","null","null","77.9630","2320","4.9560",531220,543391,457763,474832,488818,446334,543063,452254,621453,457705,"55.5432","null","null","null","null","null","null","null",97,"1","Curveball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"FF","2018-08-15","97.7","-0.5150","6.0912","Pedro Baez",488818,520980,"null","called_strike",,,,,"9","null","R","R","R","LAD","SF","S","null","null",0,0,2018,"-0.5213","1.6578","0.6584","2.0907","null","null","null",2,12,"Top","null","null",,,518735,,"180816_060644","4.3110","-141.9434","-8.9953","-7.9097","30.0530","-8.2334","3.3431","1.6336","null","null","null","97.3200","2324","5.9930",531220,520980,518735,571970,572821,457759,592518,621035,641355,461314,"54.5058","null","null","null","null","null","null","null",96,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-08-15","97.3","-0.5514","6.1758","Pedro Baez",452254,520980,"null","called_strike",,,,,"14","null","R","R","R","LAD","SF","S","null","null",2,1,2018,"-0.4956","1.6102","0.8896","1.6921","null","null","null",1,12,"Top","null","null",,,518735,,"180816_060530","4.9564","-141.3491","-10.1249","-7.6389","28.9555","-8.7840","3.5474","1.7033","null","null","null","97.1290","2330","6.0580",531220,520980,518735,571970,572821,457759,592518,621035,641355,461314,"54.4406","null","null","null","null","null","null","null",95,"4","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-08-15","97.2","-0.6106","6.1904","Pedro Baez",452254,520980,"null","called_strike",,,,,"6","null","R","R","R","LAD","SF","S","null","null",2,0,2018,"-0.3792","1.4939","0.8074","2.3258","null","null","null",1,12,"Top","null","null",,,518735,,"180816_060503","4.6277","-141.3451","-8.2071","-5.9981","28.4710","-10.7689","3.4385","1.7289","null","null","null","97.1070","2335","6.0140",531220,520980,518735,571970,572821,457759,592518,621035,641355,461314,"54.4849","null","null","null","null","null","null","null",95,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2018-08-15","88.2","-0.5828","6.1678","Pedro Baez",452254,520980,"null","ball",,,,,"14","null","R","R","R","LAD","SF","B","null","null",1,0,2018,"0.2736","0.3418","1.6278","1.0386","null","null","null",1,12,"Top","null","null",,,518735,,"180816_060436","4.8174","-128.3975","-7.1820","2.1845","23.3078","-27.2358","3.3908","1.7050","null","null","null","88.8550","1752","6.3980",531220,520980,518735,571970,572821,457759,592518,621035,641355,461314,"54.1006","null","null","null","null","null","null","null",95,"2","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2018-08-15","87.0","-0.7270","6.2107","Pedro Baez",452254,520980,"null","ball",,,,,"14","null","R","R","R","LAD","SF","B","null","null",0,0,2018,"0.1736","0.3639","1.1937","1.9183","null","null","null",1,12,"Top","null","null",,,518735,,"180816_060406","4.2466","-126.7169","-4.9388","1.1193","22.5456","-27.5597","3.4147","1.7050","null","null","null","87.3300","1815","6.1580",531220,520980,518735,571970,572821,457759,592518,621035,641355,461314,"54.3408","null","null","null","null","null","null","null",95,"1","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
