"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-06-29","94.9","1.8225","6.4890","Will Smith",571974,519293,"strikeout","called_strike",,,,,"6","John Ryan Murphy called out on strikes.  ","R","R","L","ARI","SF","S",2,"null",2,2,2018,"0.9007","1.3480","0.6767","1.9415","null","null","null",2,9,"Bot","null","null",,,457763,,"180630_042934","-4.8871","-137.7626","-8.9887","12.2890","32.2252","-13.6550","3.0595","1.3469","null","null","null","93.3730","2297","5.6430",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.8593","null","null","0.00",1,0,0,"null",71,"5","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"SL","2018-06-29","83.2","2.2693","6.2434","Will Smith",571974,519293,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",1,2,2018,"-0.8700","-0.2070","-1.0249","0.8254","null","null","null",2,9,"Bot","null","null",,,457763,,"180630_042905","-5.7889","-120.8106","-5.4514","-7.0798","23.1416","-33.3488","3.0960","1.4513","null","null","null","81.4280","2427","5.1720",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"55.3303","null","null","null","null","null","null","null",71,"4","Slider",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FF","2018-06-29","92.9","1.8396","6.4405","Will Smith",571974,519293,"null","called_strike",,,,,"8","null","R","R","L","ARI","SF","S","null","null",1,1,2018,"0.6276","1.4159","-0.0837","1.7215","null","null","null",2,9,"Bot","null","null",,,457763,,"180630_042838","-6.2160","-134.9329","-9.2774","8.8466","27.4615","-13.4032","3.1400","1.5312","null","null","null","92.3180","2223","5.9020",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.6000","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"CU","2018-06-29","77.1","2.0133","6.5492","Will Smith",571974,519293,"null","ball",,,,,"14","null","R","R","L","ARI","SF","B","null","null",0,0,2018,"-0.7159","-0.6789","0.0908","1.4619","null","null","null",2,9,"Bot","null","null",,,457763,,"180630_042750","-2.7866","-112.2187","-2.5989","-5.4154","20.9658","-37.5643","3.2019","1.6091","null","null","null","76.4530","2291","5.8850",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.6174","null","null","null","null","null","null","null",71,"1","Curveball",1,2,1,2,2,1,1,2,"Strategic","Strategic"
"FF","2018-06-29","94.5","1.9101","6.4461","Will Smith",571875,519293,"null","called_strike",,,,,"4","null","R","L","L","ARI","SF","S","null","null",1,1,2018,"0.9423","1.3413","-0.3721","2.5943","null","null","null",0,9,"Bot","null","null",,,457763,,"180630_042602","-7.9745","-137.3066","-7.2672","13.5342","29.2295","-13.9991","3.4591","1.7959","null","null","null","94.1380","2356","6.0760",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.4263","null","null","null","null","null","null","null",69,"3","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-06-29","81.6","2.2640","6.2522","Will Smith",571875,519293,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",0,1,2018,"-1.1448","-0.3450","-1.0622","2.3733","null","null","null",0,9,"Bot","null","null",,,457763,,"180630_042544","-5.2825","-118.7727","-1.4823","-9.6972","22.8647","-35.3492","3.4433","1.6762","null","null","null","81.2430","2534","6.0460",530636,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.4564","null","null","null","null","null","null","null",69,"2","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"SI","2018-06-29","91.2","2.4363","5.4983","T.J. McFarland",467055,519008,"null","called_strike",,,,,"9","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"1.7055","-0.0117","0.4996","1.8503","null","null","596103.00",2,9,"Top","null","null",,,425772,,"180630_042146","-8.2104","-132.2337","-3.1361","21.0644","29.1455","-31.8925","3.2427","1.6016","null","null","null","89.1690","1958","5.3120",530636,519008,425772,502671,606466,571875,605113,444482,572008,445055,"55.1900","null","null","null","null","null","null","null",68,"1","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-06-29","91.5","2.4244","5.5544","T.J. McFarland",596103,519008,"null","called_strike",,,,,"9","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"1.6364","0.1553","0.7818","1.6896","null","null","null",2,9,"Top","null","null",,,425772,,"180630_042042","-7.3468","-132.7888","-4.0873","20.1762","28.2165","-29.8110","3.5352","1.7128","null","null","null","89.5150","2043","5.2010",530636,519008,425772,502671,606466,571875,605113,444482,572008,445055,"55.3010","null","null","null","null","null","null","null",67,"1","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-06-29","91.3","2.2935","5.6539","T.J. McFarland",543063,519008,"null","called_strike",,,,,"7","null","R","L","L","ARI","SF","S","null","null",1,1,2018,"1.6326","0.0793","-0.4276","1.3115","null","null","null",1,9,"Top","null","null",,,425772,,"180630_041942","-9.9501","-132.3536","-5.0572","20.5238","27.8181","-30.4874","3.2491","1.2913","null","null","null","89.1790","2036","5.1570",530636,519008,425772,502671,606466,571875,605113,444482,572008,445055,"55.3451","null","null","null","null","null","null","null",66,"3","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-06-29","91.2","2.3468","5.5723","T.J. McFarland",543063,519008,"null","called_strike",,,,,"7","null","R","L","L","ARI","SF","S","null","null",1,0,2018,"1.6197","0.3072","-0.6387","1.8765","null","null","null",1,9,"Top","null","null",,,425772,,"180630_041924","-10.6082","-132.1546","-3.9231","20.5474","27.4179","-28.1413","3.3856","1.5577","null","null","null","89.3400","2051","5.3180",530636,519008,425772,502671,606466,571875,605113,444482,572008,445055,"55.1836","null","null","null","null","null","null","null",66,"2","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
