"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-22","98.1","-1.4933","5.7664","Hector Rondon",457706,444468,"strikeout","called_strike",,,,,"9","Austin Jackson called out on strikes.  ","R","R","R","HOU","SF","S",2,"null",3,2,2018,"-0.6780","1.0770","0.5579","1.6396","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031539","7.0810","-142.5365","-8.1129","-10.8219","32.9051","-15.9323","3.3332","1.5879","null","null","null","97.7680","2030","6.1980",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.3047","null","null","0.00",1,0,0,"null",76,"7","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Strategic"
"FF","2018-05-22","96.8","-1.5001","5.7582","Hector Rondon",457706,444468,"null","ball",,,,,"12","null","R","R","R","HOU","SF","B","null","null",2,2,2018,"-0.6266","1.3441","0.5936","3.6592","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031453","6.9752","-140.7941","-3.0710","-9.8501","32.1127","-13.9835","3.2897","1.5879","null","null","null","96.4250","2078","6.1130",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.3890","null","null","null","null","null","null","null",76,"5","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Strategic"
"FF","2018-05-22","98.0","-1.5403","5.8413","Hector Rondon",457706,444468,"null","ball",,,,,"11","null","R","R","R","HOU","SF","B","null","null",1,2,2018,"-0.6238","1.4577","-0.0163","4.4425","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031432","5.5572","-142.5593","-1.6426","-9.7892","33.6330","-12.1972","3.2897","1.3705","null","null","null","97.9200","2095","6.3240",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.1783","null","null","null","null","null","null","null",76,"4","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Strategic"
"SL","2018-05-22","88.6","-1.8546","5.8353","Hector Rondon",457706,444468,"null","called_strike",,,,,"9","null","R","R","R","HOU","SF","S","null","null",1,1,2018,"0.4547","-0.0867","0.4444","1.8975","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031415","4.6434","-128.8347","-3.3497","4.0318","26.4920","-32.6721","3.3332","1.5445","null","null","null","87.9380","2339","5.8930",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.6090","null","null","null","null","null","null","null",76,"3","Slider",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-22","98.3","-1.5177","5.8004","Hector Rondon",457706,444468,"null","called_strike",,,,,"2","null","R","R","R","HOU","SF","S","null","null",1,0,2018,"-0.6954","1.2803","-0.0417","2.8299","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031358","5.5865","-142.9706","-5.5173","-10.7655","32.6993","-13.6654","3.2897","1.3705","null","null","null","98.1080","2043","6.1940",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.3085","null","null","null","null","null","null","null",76,"2","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"SL","2018-05-22","87.8","-1.7393","5.8165","Hector Rondon",457706,444468,"null","ball",,,,,"14","null","R","R","R","HOU","SF","B","null","null",0,0,2018,"0.3606","-0.3000","1.3828","0.4235","null","null","null",2,9,"Top","null","null",,,545358,,"180523_031337","6.7811","-127.6785","-6.3100","2.5891","24.9300","-34.4175","3.2897","1.5010","null","null","null","87.5050","2366","6.0260",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.4759","null","null","null","null","null","null","null",76,"1","Slider",11,2,2,11,2,11,2,11,"Standard","Standard"
"SL","2018-05-22","86.9","-1.9470","5.7812","Hector Rondon",467055,444468,"null","ball",,,,,"13","null","R","L","R","HOU","SF","B","null","null",2,2,2018,"0.6174","-0.4559","-0.7122","0.7171","null","null","null",1,9,"Top","null","null",,,545358,,"180523_031238","1.7042","-126.5017","-5.0121","6.1801","25.4035","-36.2195","3.1183","1.5912","null","null","null","86.3100","null","5.8580",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.6444","null","null","null","null","null","null","null",75,"6","Slider",11,2,2,11,2,11,2,11,"Infield shift","Strategic"
"FF","2018-05-22","98.3","-1.8209","5.7766","Hector Rondon",467055,444468,"null","ball",,,,,"11","null","R","L","R","HOU","SF","B","null","null",1,2,2018,"-0.4736","1.4099","-0.6036","4.0651","null","null","null",1,9,"Top","null","null",,,545358,,"180523_031221","4.3490","-143.0058","-2.3612","-7.4206","33.7449","-12.8204","3.2921","1.5042","null","null","null","97.5720","2168","5.9460",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.5560","null","null","null","null","null","null","null",75,"5","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Strategic"
"FF","2018-05-22","98.7","-1.8305","5.7882","Hector Rondon",467055,444468,"null","ball",,,,,"13","null","R","L","R","HOU","SF","B","null","null",0,2,2018,"-0.6667","1.4629","-1.2536","1.4134","null","null","null",1,9,"Top","null","null",,,545358,,"180523_031129","3.0825","-143.4134","-9.7775","-9.8135","31.2740","-10.1998","3.2486","1.5042","null","null","null","98.3610","2091","6.0550",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.4471","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Strategic"
"FF","2018-05-22","98.1","-1.8588","5.8329","Hector Rondon",467055,444468,"null","called_strike",,,,,"5","null","R","L","R","HOU","SF","S","null","null",0,0,2018,"-0.6723","1.2166","0.1386","2.1788","null","null","null",1,9,"Top","null","null",,,545358,,"180523_031047","6.9403","-142.5981","-7.1910","-10.7329","32.5068","-14.1912","3.2587","1.5912","null","null","null","98.0030","2042","6.2770",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.2252","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Strategic"
"FF","2018-05-22","96.5","-1.8000","5.8709","Hector Rondon",622497,444468,"null","ball",,,,,"1","null","R","L","R","HOU","SF","B","null","null",0,0,2018,"-0.6963","1.3512","-0.8225","3.3228","null","null","null",0,9,"Top","null","null",,,545358,,"180523_030943","4.1580","-140.3688","-4.2429","-10.0787","31.7879","-13.7068","3.2970","1.7218","null","null","null","96.2150","2161","6.1510",530129,444468,545358,493329,514888,608324,621043,605204,643393,543807,"54.3518","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Strategic"
"FF","2018-05-22","96.0","1.1315","6.3874","Josh Osich",493329,592612,"null","ball",,,,,"11","null","R","R","L","HOU","SF","B","null","null",1,1,2018,"0.3532","1.3648","-1.0630","3.0226","null","514888.00","621043.00",1,8,"Bot","null","null",,,457763,,"180523_030610","-6.5464","-139.5525","-6.2944","6.0278","31.4779","-13.4021","3.5637","1.7051","null","null","null","95.3260","2406","5.9640",530129,592612,457763,474832,622497,446334,605509,491676,457706,457705,"54.5386","null","null","null","null","null","null","null",73,"3","4-Seam Fastball",11,2,11,2,2,11,11,2,"Standard","Standard"
"FF","2018-05-22","96.5","1.4716","6.2703","Josh Osich",493329,592612,"null","ball",,,,,"12","null","R","R","L","HOU","SF","B","null","null",0,1,2018,"0.3853","0.9585","1.0269","3.5461","null","514888.00","621043.00",1,8,"Bot","null","null",,,457763,,"180523_030550","-2.0324","-140.4361","-3.7923","5.4876","32.5892","-19.0560","3.5637","1.6181","null","null","null","95.8100","2339","5.9440",530129,592612,457763,474832,622497,446334,605509,491676,457706,457705,"54.5579","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",11,2,11,2,2,11,11,2,"Standard","Standard"
