"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-04-13","79.8","2.3988","6.4624","Brad Hand",605412,543272,"null","ball",,,,,"13","null","R","L","L","SD","SF","B","null","null",0,0,2018,"-1.6679","-0.6948","-1.1958","1.7104","null","453923.00","605509.00",1,9,"Top","null","null",,,595978,,"180414_044100","-4.7814","-115.4444","-2.1584","-12.3401","27.9646","-37.7079","3.2109","1.5122","null","null","null","75.3140","2409","4.0280",529608,543272,595978,543333,641319,570799,520471,517369,614173,519333,"56.4694","null","null","null","null","null","null","null",73,"1","Slider",5,1,1,5,1,5,1,5,"Standard","Standard"
"FF","2018-04-13","81.3","-1.2803","1.9258","Kazuhisa Makita",605509,628318,"null","called_strike",,,,,"3","null","R","R","R","SD","SF","S","null","null",0,0,2018,"-1.3505","0.5957","0.4713","3.1488","null","null","453923.00",1,9,"Top","null","null",,,595978,,"180414_043747","6.3928","-117.6433","8.2599","-13.5958","24.7451","-28.7697","3.4618","1.6428","null","null","null","79.9490","2100","5.9150",529608,628318,595978,543333,641319,570799,520471,517369,614173,519333,"54.5822","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",5,1,1,5,1,5,1,5,"Standard","Standard"
"FF","2018-04-13","80.9","-1.2929","1.6632","Kazuhisa Makita",452254,628318,"null","called_strike",,,,,"2","null","R","R","R","SD","SF","S","null","null",0,1,2018,"-0.9850","0.4955","0.2529","3.2425","null","null","null",0,9,"Top","null","null",,,595978,,"180414_044657","5.2607","-117.2514","9.2253","-9.9994","23.0137","-29.7119","3.4823","1.8034","null","null","null","80.1200","2037","6.0580",529608,628318,595978,543333,641319,570799,520471,517369,614173,519333,"54.4389","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",5,1,1,5,1,5,1,5,"Standard","Standard"
"FT","2018-04-13","92.9","-2.0710","5.5345","Sam Dyson",605486,473879,"null","ball",,,,,"13","null","R","L","R","SD","SF","B","null","null",0,0,2018,"-1.6605","0.4639","-0.4772","0.9459","570799.00","null","595978.00",2,8,"Bot","null","null",,,457763,,"180414_043236","7.4996","-134.6769","-6.7562","-21.3502","31.9951","-25.3773","3.2194","1.4911","null","null","null","91.1070","2237","5.6240",529608,473879,457763,474832,605412,446334,543063,452254,453923,457705,"54.8733","null","null","null","null","null","null","null",69,"1","2-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard"
"FT","2018-04-13","92.8","-2.0761","5.5124","Sam Dyson",641319,473879,"null","ball",,,,,"13","null","R","L","R","SD","SF","B","null","null",0,1,2018,"-1.6038","0.3144","-1.7610","2.0479","null","570799.00","595978.00",1,8,"Bot","null","null",,,457763,,"180414_043116","4.1482","-134.8405","-3.6405","-19.9037","31.1719","-27.8898","3.1706","1.4320","null","null","null","91.2190","2304","5.5550",529608,473879,457763,474832,605412,446334,543063,452254,453923,457705,"54.9422","null","null","null","null","null","null","null",68,"2","2-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard"
"SL","2018-04-13","90.1","-1.8537","5.4917","Sam Dyson",641319,473879,"null","called_strike",,,,,"3","null","R","L","R","SD","SF","S","null","null",0,0,2018,"0.1481","0.7214","0.4456","2.8133","null","570799.00","595978.00",1,8,"Bot","null","null",,,457763,,"180414_043055","5.3320","-131.0366","-2.1457","0.5259","27.9030","-23.8806","3.1404","1.4121","null","null","null","88.9120","2393","5.5980",529608,473879,457763,474832,605412,446334,543063,452254,453923,457705,"54.8998","null","null","null","null","null","null","null",68,"1","Slider",5,1,5,1,1,5,5,1,"Standard","Standard"
"SI","2018-04-13","90.6","-2.4498","5.6534","Craig Stammen",543063,489334,"null","ball",,,,,"13","null","R","L","R","SD","SF","B","null","null",0,1,2018,"-1.3396","0.8751","-1.7036","1.5891","null","null","null",2,8,"Top","null","null",,,595978,,"180414_042538","4.7492","-131.8210","-6.1205","-16.6867","27.5943","-20.8476","3.3016","1.5429","null","null","null","90.9310","1931","6.4610",529608,489334,595978,543333,641319,570799,520471,517369,614173,592669,"54.0367","null","null","null","null","null","null","null",64,"2","Sinker",5,1,1,5,1,5,1,5,"Standard","Standard"
"SI","2018-04-13","91.0","-2.5987","5.6212","Craig Stammen",543063,489334,"null","called_strike",,,,,"6","null","R","L","R","SD","SF","S","null","null",0,0,2018,"-1.3097","0.8635","0.3258","2.4008","null","null","null",2,8,"Top","null","null",,,595978,,"180414_042519","10.1841","-132.1083","-4.0329","-17.5694","27.3342","-21.3445","3.2119","1.5029","null","null","null","91.2940","1989","6.5290",529608,489334,595978,543333,641319,570799,520471,517369,614173,592669,"53.9682","null","null","null","null","null","null","null",64,"1","Sinker",5,1,1,5,1,5,1,5,"Standard","Standard"
"SI","2018-04-13","90.9","-2.4715","5.6663","Craig Stammen",446334,489334,"strikeout","called_strike",,,,,"14","Evan Longoria called out on strikes.  ","R","R","R","SD","SF","S",2,"null",0,2,2018,"-1.2839","0.8024","0.9043","1.8937","null","null","null",1,8,"Top","null","null",,,595978,,"180414_042443","11.2591","-131.9118","-5.2851","-17.4276","26.4931","-21.8253","3.7144","1.7340","null","null","null","91.3330","1922","6.5740",529608,489334,595978,543333,641319,570799,520471,517369,614173,592669,"53.9235","null","null","0.00",1,0,0,"null",63,"3","Sinker",5,1,1,5,1,5,1,5,"Standard","Standard"
"SI","2018-04-13","90.8","-2.4148","5.6965","Craig Stammen",446334,489334,"null","called_strike",,,,,"9","null","R","R","R","SD","SF","S","null","null",0,1,2018,"-1.0870","0.9926","0.8119","1.9224","null","null","null",1,8,"Top","null","null",,,595978,,"180414_042419","10.4804","-131.8986","-5.7508","-14.8963","24.5779","-19.4568","3.5947","1.6941","null","null","null","91.7210","1971","6.6600",529608,489334,595978,543333,641319,570799,520471,517369,614173,592669,"53.8373","null","null","null","null","null","null","null",63,"2","Sinker",5,1,1,5,1,5,1,5,"Standard","Standard"
