"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-25","90.5","-2.6625","5.2806","Carlos Torres",621389,448614,"null","ball",,,,,"11","null","R","R","R","SF","WSH","B","null","null",2,1,2018,"-0.3011","0.8565","-0.4576","3.8853","null","453923.00","null",2,9,"Bot","null","null",,,600474,,"180425_225813","6.0947","-131.7360","0.5587","-4.5843","23.4778","-22.5187","3.2669","1.5773","null","null","null","90.5730","2293","5.9560",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.5417","null","null","null","null","null","null","null",91,"4","4-Seam Fastball",2,15,2,15,15,2,2,15,"Standard","Strategic"
"FC","2018-04-25","91.6","-2.7915","5.2080","Carlos Torres",621389,448614,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",1,1,2018,"0.3948","0.9949","1.3703","0.6855","null","null","453923.00",2,9,"Bot","null","null",,,600474,,"180425_225741","9.5699","-132.9970","-7.6052","2.7699","25.8958","-19.2373","3.2949","1.5597","null","null","null","90.9900","2524","5.8340",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.6629","null","null","null","null","null","null","null",91,"3","Cutter",2,15,2,15,15,2,2,15,"Standard","Strategic"
"FF","2018-04-25","92.6","-2.7857","5.2262","Carlos Torres",621389,448614,"null","called_strike",,,,,"9","null","R","R","R","SF","WSH","S","null","null",1,0,2018,"0.0713","1.3069","0.6521","1.6711","null","null","453923.00",2,9,"Bot","null","null",,,600474,,"180425_225725","8.5662","-134.5830","-6.1043","-0.7509","25.3720","-15.3786","3.3395","1.6272","null","null","null","92.5160","2339","6.0120",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.4853","null","null","null","null","null","null","null",91,"2","4-Seam Fastball",2,15,2,15,15,2,2,15,"Standard","Strategic"
"FC","2018-04-25","92.5","-2.9712","5.2511","Carlos Torres",453923,448614,"null","ball",,,,,"14","null","R","L","R","SF","WSH","B","null","null",2,2,2018,"0.2740","1.0117","0.3033","0.8331","null","null","605509.00",1,9,"Bot","null","null",,,600474,,"180425_225556","7.6832","-134.3706","-7.5781","1.7956","26.0300","-18.7973","3.3010","1.5040","null","null","null","91.9570","2360","5.8200",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.6772","null","null","null","null","null","null","null",90,"5","Cutter",2,15,2,15,15,2,2,15,"Standard","Strategic"
"CU","2018-04-25","79.6","-2.6545","5.3625","Carlos Torres",453923,448614,"null","ball",,,,,"11","null","R","L","R","SF","WSH","B","null","null",1,2,2018,"0.6286","-1.0525","-2.3245","2.9257","null","null","605509.00",1,9,"Bot","null","null",,,600474,,"180425_225539","-0.3738","-115.5470","3.1407","5.4189","20.5398","-41.9753","2.9051","1.5420","null","null","null","77.4310","2366","4.7750",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"55.7229","null","null","null","null","null","null","null",90,"4","Curveball",2,15,2,15,15,2,2,15,"Standard","Strategic"
"FF","2018-04-25","93.8","-3.0871","5.0050","Carlos Torres",453923,448614,"null","ball",,,,,"11","null","R","L","R","SF","WSH","B","null","null",0,2,2018,"-0.6474","1.0714","-1.4345","2.9455","null","null","605509.00",1,9,"Bot","null","null",,,600474,,"180425_225521","5.6274","-136.5288","-1.9964","-9.0864","25.1007","-18.6832","2.9951","1.4970","null","null","null","93.7000","2201","5.8480",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.6490","null","null","null","null","null","null","null",90,"3","4-Seam Fastball",2,15,2,15,15,2,2,15,"Standard","Strategic"
"FF","2018-04-25","92.8","-2.7967","5.3445","Carlos Torres",457706,448614,"null","called_strike",,,,,"6","null","R","R","R","SF","WSH","S","null","null",1,0,2018,"-0.4805","1.3817","0.6048","2.0066","null","null","null",0,9,"Bot","null","null",,,600474,,"180425_225301","9.6022","-134.6658","-5.6429","-7.6832","26.9992","-14.7118","3.1786","1.4219","null","null","null","91.9410","2366","5.7530",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.7443","null","null","null","null","null","null","null",88,"2","4-Seam Fastball",2,15,2,15,15,2,2,15,"Standard","Standard"
"FF","2018-04-25","92.5","-2.7839","5.3523","Carlos Torres",457706,448614,"null","ball",,,,,"11","null","R","R","R","SF","WSH","B","null","null",0,0,2018,"-0.2021","1.3141","-0.2033","3.6743","null","null","null",0,9,"Bot","null","null",,,600474,,"180425_225246","6.9405","-134.6488","-1.3288","-3.7527","25.6907","-16.3455","3.4110","1.5650","null","null","null","92.0820","2329","5.7470",529774,448614,600474,571431,594694,506703,607208,664057,622441,501213,"54.7501","null","null","null","null","null","null","null",88,"1","4-Seam Fastball",2,15,2,15,15,2,2,15,"Standard","Standard"
"CU","2018-04-25","79.1","-1.9276","5.9526","Roberto  Gomez",600474,596816,"null","called_strike",,,,,"1","null","R","R","R","SF","WSH","S","null","null",0,0,2018,"1.0217","-0.4568","-0.4693","2.8920","null","null","null",2,9,"Top","null","null",,,460026,,"180425_224937","1.3216","-115.0409","0.8918","8.5663","20.4922","-36.5218","3.3586","1.6222","null","null","null","77.9220","2624","5.3930",529774,596816,460026,474832,605509,467055,543063,453923,457706,491676,"55.1046","null","null","null","null","null","null","null",87,"1","Curveball",2,15,15,2,15,2,15,2,"Standard","Standard"
"SL","2018-04-25","85.0","-2.1568","5.8095","Roberto  Gomez",506703,596816,"null","ball",,,,,"13","null","R","R","R","SF","WSH","B","null","null",0,0,2018,"0.5491","-0.0153","-0.2450","1.2288","null","null","null",1,9,"Top","null","null",,,460026,,"180425_224847","3.3670","-123.6719","-4.4084","4.9493","21.3578","-31.7887","3.0935","1.4144","null","null","null","84.2940","null","5.5340",529774,596816,460026,474832,605509,467055,543063,453923,457706,491676,"54.9636","null","null","null","null","null","null","null",86,"1","Slider",2,15,15,2,15,2,15,2,"Standard","Standard"
