"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-30","94.3","2.7833","5.8423","Julio Urias",605412,628711,"null","ball",,,,,"12","null","R","L","L","SF","LAD","B","null","null",1,2,2018,"0.1572","1.3495","1.5401","3.6272","null","null","null",2,9,"Bot","null","null",,,605131,,"180930_215329","-3.5325","-137.3818","-3.0414","2.6308","25.9438","-14.9552","3.0757","1.5099","null","null","null","93.8910","2494","5.6540",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.8434","null","null","null","null","null","null","null",76,"4","4-Seam Fastball",0,15,0,15,15,0,0,15,"Strategic","Standard"
"FF","2018-09-30","93.2","1.8842","6.1119","Julio Urias",605412,628711,"null","ball",,,,,"6","null","R","L","L","SF","LAD","B","null","null",0,1,2018,"-0.0482","1.4323","0.7325","2.2649","null","null","null",2,9,"Bot","null","null",,,605131,,"180930_215245","-2.8187","-135.4096","-7.0880","0.0276","29.2018","-13.6591","3.1271","1.4317","null","null","null","92.0940","2492","5.6830",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.8144","null","null","null","null","null","null","null",76,"2","4-Seam Fastball",0,15,0,15,15,0,0,15,"Strategic","Standard"
"FF","2018-09-30","94.9","2.8915","5.7011","Julio Urias",605412,628711,"null","called_strike",,,,,"8","null","R","L","L","SF","LAD","S","null","null",0,0,2018,"0.5457","1.4340","0.0453","1.6930","null","null","null",2,9,"Bot","null","null",,,605131,,"180930_215225","-8.5911","-137.6687","-7.8877","8.8294","31.6885","-12.5895","3.1785","1.4838","null","null","null","94.0960","2417","6.0700",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.4269","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",0,15,0,15,15,0,0,15,"Strategic","Standard"
"FF","2018-09-30","93.0","1.9676","6.0115","Julio Urias",452254,628711,"null","called_strike",,,,,"6","null","R","R","L","SF","LAD","S","null","null",3,1,2018,"0.1918","1.5253","0.8193","2.1997","null","null","null",1,9,"Bot","null","null",,,605131,,"180930_214950","-3.3098","-135.0705","-7.1375","3.0240","29.8750","-12.6192","3.2042","1.3795","null","null","null","91.7790","2374","5.6940",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.8035","null","null","null","null","null","null","null",75,"5","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
"FF","2018-09-30","93.4","2.8266","5.7845","Julio Urias",452254,628711,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",2,1,2018,"0.4942","1.3785","-0.8323","1.3475","null","null","null",1,9,"Bot","null","null",,,605131,,"180930_214923","-10.3329","-135.3474","-8.4749","8.1906","29.3315","-13.9822","3.2812","1.5359","null","null","null","92.1360","2384","5.7460",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.7513","null","null","null","null","null","null","null",75,"4","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
"FF","2018-09-30","92.5","2.1585","6.0987","Julio Urias",452254,628711,"null","called_strike",,,,,"9","null","R","R","L","SF","LAD","S","null","null",2,0,2018,"-0.0097","1.5174","0.4414","1.8350","null","null","null",1,9,"Bot","null","null",,,605131,,"180930_214903","-4.2851","-134.2807","-8.1175","0.8044","28.7666","-12.8369","3.3325","1.5359","null","null","null","91.0600","2364","5.5230",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.9741","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
"CH","2018-09-30","81.5","2.3643","5.8137","Julio Urias",452254,628711,"null","ball",,,,,"12","null","R","R","L","SF","LAD","B","null","null",1,0,2018,"1.1623","0.9390","1.2595","2.7616","null","null","null",1,9,"Bot","null","null",,,605131,,"180930_214844","-4.6095","-118.6001","-2.0741","11.6059","20.3462","-23.3026","3.1528","1.3795","null","null","null","81.0220","1851","5.7290",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.7680","null","null","null","null","null","null","null",75,"2","Changeup",0,15,0,15,15,0,0,15,"Standard","Standard"
"FF","2018-09-30","92.3","2.1882","6.1113","Julio Urias",452254,628711,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"0.2112","1.3875","1.6377","2.2936","null","null","null",1,9,"Bot","null","null",,,605131,,"180930_214826","-1.8124","-134.1773","-6.7387","2.8432","26.2624","-14.7429","3.2363","1.5099","null","null","null","91.1520","2376","5.4340",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"55.0633","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
"FF","2018-09-30","92.7","3.0402","5.6017","Julio Urias",623214,628711,"strikeout","called_strike",,,,,"12","Abiatal Avelino called out on strikes.  ","R","R","L","SF","LAD","S",2,"null",0,2,2018,"0.4688","1.3421","0.8363","2.8869","null","null","null",0,9,"Bot","null","null",,,605131,,"180930_214744","-6.5222","-134.6943","-3.9218","6.9515","28.8565","-15.6848","3.2106","1.4121","null","null","null","91.3820","2347","5.5420",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"54.9551","null","null","0.00",1,0,0,"null",74,"3","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
"FF","2018-09-30","91.6","2.0799","6.1154","Julio Urias",623214,628711,"null","called_strike",,,,,"12","null","R","R","L","SF","LAD","S","null","null",0,0,2018,"0.0389","1.3443","0.9458","2.3423","null","null","null",0,9,"Bot","null","null",,,605131,,"180930_214707","-2.8961","-133.1918","-6.4158","1.0073","25.5139","-15.5478","3.2363","1.4382","null","null","null","90.5540","2355","5.4500",531829,628711,605131,641355,400284,571657,571771,641796,592808,657077,"55.0472","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",0,15,0,15,15,0,0,15,"Standard","Standard"
