"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-19","90.3","-1.9642","5.5131","Brad Boxberger",457763,502202,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,0,2018,"-0.3311","1.2895","0.4601","1.4958","null","null","605412.00",2,9,"Top","null","null",,,425772,,"180420_040008","6.6334","-131.2391","-6.6978","-4.9941","24.1890","-16.4669","3.4757","1.6221","null","null","null","89.6560","2344","5.6760",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.8257","null","null","null","null","null","null","null",66,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","90.5","-1.8752","5.5999","Brad Boxberger",457763,502202,"null","ball",,,,,"12","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"-0.3369","1.4152","1.5183","2.8072","null","null","605412.00",2,9,"Top","null","null",,,425772,,"180420_035948","9.0146","-131.4760","-3.9334","-5.5447","25.0926","-15.5902","3.4757","1.6771","null","null","null","89.4760","2348","5.5290",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.9734","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","91.1","-1.7769","5.5886","Brad Boxberger",457705,502202,"null","ball",,,,,"11","null","R","R","R","ARI","SF","B","null","null",1,1,2018,"-0.3676","1.0366","-0.5924","3.5008","null","null","605412.00",1,9,"Top","null","null",,,425772,,"180420_035833","3.6952","-132.6553","-1.5465","-4.9830","26.2155","-20.1090","3.2699","1.6375","null","null","null","90.3290","2297","5.6120",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.8903","null","null","null","null","null","null","null",65,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CH","2018-04-19","79.8","-1.8684","5.3974","Brad Boxberger",457705,502202,"null","ball",,,,,"13","null","R","R","R","ARI","SF","B","null","null",0,1,2018,"-1.1554","0.5460","-0.9890","1.5960","null","null","605412.00",1,9,"Top","null","null",,,425772,,"180420_035811","4.0466","-116.1549","-2.6482","-11.0672","21.1854","-27.0400","3.5159","1.5873","null","null","null","79.4060","1337","5.9430",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.5594","null","null","null","null","null","null","null",65,"2","Changeup",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","91.7","-1.9333","5.5364","Brad Boxberger",605412,502202,"null","called_strike",,,,,"8","null","R","L","R","ARI","SF","S","null","null",0,1,2018,"-0.1428","1.4100","0.1467","1.6852","null","null","null",1,9,"Top","null","null",,,425772,,"180420_035644","5.4717","-133.2333","-6.7499","-2.7645","26.8619","-14.6445","3.1841","1.3312","null","null","null","90.5840","2349","5.5590",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.9428","null","null","null","null","null","null","null",64,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","91.3","-2.0099","5.5951","Brad Boxberger",605412,502202,"null","called_strike",,,,,"6","null","R","L","R","ARI","SF","S","null","null",0,0,2018,"-0.0449","1.3563","0.3716","2.1463","null","null","null",1,9,"Top","null","null",,,425772,,"180420_035627","5.9719","-132.6832","-5.5206","-1.7285","26.9925","-15.7730","3.1291","1.4961","null","null","null","89.8360","2344","5.3540",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"55.1481","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","90.0","-2.1346","5.5821","Brad Boxberger",453923,502202,"null","called_strike",,,,,"11","null","R","L","R","ARI","SF","S","null","null",2,1,2018,"-0.1970","1.2993","-0.8604","2.4939","null","null","null",0,9,"Top","null","null",,,425772,,"180420_035539","3.5131","-130.9281","-4.3326","-2.9114","26.1198","-16.9758","3.1191","1.4519","null","null","null","88.9350","2215","5.5220",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.9796","null","null","null","null","null","null","null",63,"4","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","89.7","-1.9776","5.5958","Brad Boxberger",453923,502202,"null","called_strike",,,,,"6","null","R","L","R","ARI","SF","S","null","null",2,0,2018,"-0.4090","1.3169","0.5186","2.4649","null","null","null",0,9,"Top","null","null",,,425772,,"180420_035523","6.9188","-130.4198","-4.4339","-5.9308","25.5827","-16.8136","3.1191","1.5068","null","null","null","88.8010","2302","5.6280",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.8740","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","90.8","-2.1438","5.5499","Brad Boxberger",453923,502202,"null","ball",,,,,"14","null","R","L","R","ARI","SF","B","null","null",1,0,2018,"-0.1962","1.4140","0.5401","1.0887","null","null","null",0,9,"Top","null","null",,,425772,,"180420_035509","7.0027","-131.7753","-8.0722","-3.5748","25.1714","-14.7378","3.1090","1.5068","null","null","null","89.6850","2302","5.5290",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.9733","null","null","null","null","null","null","null",63,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-04-19","90.5","-2.1177","5.5474","Brad Boxberger",453923,502202,"null","ball",,,,,"3","null","R","L","R","ARI","SF","B","null","null",0,0,2018,"-0.0791","1.2666","0.7402","2.6920","null","null","null",0,9,"Top","null","null",,,425772,,"180420_035333","7.2182","-131.6165","-3.8329","-2.3067","25.5350","-17.1394","3.0264","1.5039","null","null","null","89.9120","2149","5.7710",529689,502202,425772,502671,606466,571918,605113,444482,572041,502481,"54.7315","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
