"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-05-12","87.2","2.5332","5.3837","Felipe Vazquez",446334,553878,"null","ball",,,,,"14","null","R","R","L","PIT","SF","B","null","null",1,1,2018,"1.1874","0.1034","1.6754","2.2815","null","null","null",2,9,"Top","null","null",,,465041,,"180513_035152","-4.4262","-126.8361","-1.4686","13.5181","26.9640","-31.0141","3.5983","1.6870","null","null","null","86.4110","1815","5.8970",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"54.6018","null","null","null","null","null","null","null",78,"3","Changeup",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"CH","2018-05-12","88.0","2.6407","5.2921","Felipe Vazquez",446334,553878,"null","ball",,,,,"14","null","R","R","L","PIT","SF","B","null","null",0,1,2018,"1.4499","-0.1558","1.5706","0.4703","null","null","null",2,9,"Top","null","null",,,465041,,"180513_035137","-5.4309","-127.7934","-5.1489","16.5803","27.7203","-32.9801","3.7938","1.7974","null","null","null","86.5080","1995","5.5690",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"54.9301","null","null","null","null","null","null","null",78,"2","Changeup",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"CU","2018-05-12","78.9","2.4820","5.4407","Felipe Vazquez",446334,553878,"null","called_strike",,,,,"9","null","R","R","L","PIT","SF","S","null","null",0,0,2018,"-1.2278","-0.9726","0.3647","2.1992","null","null","null",2,9,"Top","null","null",,,465041,,"180513_035124","-2.3695","-114.5170","1.5141","-9.7567","23.1019","-40.8988","3.7499","1.7760","null","null","null","76.5810","2912","4.9700",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.5288","null","null","null","null","null","null","null",78,"1","Curveball",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"CU","2018-05-12","81.9","2.4304","5.4267","Felipe Vazquez",474832,553878,"null","ball",,,,,"13","null","R","L","L","PIT","SF","B","null","null",0,1,2018,"-1.3735","-0.2283","-1.9224","-0.0862","null","null","null",1,9,"Top","null","null",,,465041,,"180513_035006","-7.1164","-118.7612","-5.2741","-11.0288","23.9614","-33.4674","3.2254","1.5824","null","null","null","79.9370","2868","5.2500",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.2489","null","null","null","null","null","null","null",77,"2","Curveball",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"CU","2018-05-12","79.7","2.3835","5.4605","Felipe Vazquez",474832,553878,"null","called_strike",,,,,"6","null","R","L","L","PIT","SF","S","null","null",0,0,2018,"-1.0339","-0.8076","0.6477","2.5494","null","null","null",1,9,"Top","null","null",,,465041,,"180513_034953","-1.9170","-115.8413","1.7504","-8.5420","21.8044","-39.7402","3.3108","1.5824","null","null","null","77.8700","2745","5.0730",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.4266","null","null","null","null","null","null","null",77,"1","Curveball",6,5,5,6,5,6,5,6,"Infield shift","Strategic"
"FF","2018-05-12","95.9","2.5767","5.4637","Felipe Vazquez",457763,553878,"null","called_strike",,,,,"3","null","R","R","L","PIT","SF","S","null","null",3,0,2018,"0.8995","1.2144","0.6081","2.9495","null","null","null",0,9,"Top","null","null",,,465041,,"180513_034840","-7.0459","-139.3077","-3.6575","12.8949","29.2772","-16.2374","3.4141","1.6553","null","null","null","94.5860","2488","5.4740",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.0247","null","null","null","null","null","null","null",76,"4","4-Seam Fastball",6,5,5,6,5,6,5,6,"Standard","Strategic"
"FF","2018-05-12","94.9","2.7427","5.4919","Felipe Vazquez",457763,553878,"null","ball",,,,,"12","null","R","R","L","PIT","SF","B","null","null",2,0,2018,"0.4103","1.2993","0.6802","4.2131","null","null","null",0,9,"Top","null","null",,,465041,,"180513_034823","-6.1974","-137.9714","-0.5215","6.4314","29.1712","-16.0869","3.5007","1.6339","null","null","null","93.8130","2507","5.5870",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"54.9121","null","null","null","null","null","null","null",76,"3","4-Seam Fastball",6,5,5,6,5,6,5,6,"Standard","Strategic"
"CH","2018-05-12","85.4","2.5858","5.4407","Felipe Vazquez",457763,553878,"null","ball",,,,,"13","null","R","R","L","PIT","SF","B","null","null",1,0,2018,"1.1442","0.1135","-1.4619","1.2108","null","null","null",0,9,"Top","null","null",,,465041,,"180513_034806","-11.5028","-123.6542","-3.8009","13.5506","22.7659","-30.5826","3.4580","1.5912","null","null","null","83.9320","1939","5.4300",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.0691","null","null","null","null","null","null","null",76,"2","Changeup",6,5,5,6,5,6,5,6,"Standard","Strategic"
"FF","2018-05-12","94.7","2.9451","5.4789","Felipe Vazquez",457763,553878,"null","ball",,,,,"14","null","R","R","L","PIT","SF","B","null","null",0,0,2018,"0.7352","1.4246","1.9398","2.5706","null","null","null",0,9,"Top","null","null",,,465041,,"180513_034750","-4.1319","-137.6867","-4.9158","9.9564","29.4909","-13.7982","3.5648","1.6766","null","null","null","93.2530","2411","5.3990",529996,553878,465041,605137,621559,501896,474568,572816,516782,446481,"55.0996","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",6,5,5,6,5,6,5,6,"Standard","Strategic"
"CH","2018-05-12","86.6","3.4779","5.0214","Tony Watson",446481,453265,"strikeout","called_strike",,,,,"9","Sean Rodriguez called out on strikes.  ","R","R","L","PIT","SF","S",2,"null",2,2,2018,"1.6363","0.7908","0.7745","1.7197","465041.00","501896.00","474568.00",2,8,"Bot","null","null",,,457763,,"180513_034513","-9.5560","-125.4886","-3.0986","18.8788","27.8272","-23.6610","3.5322","1.7105","null","null","null","84.9370","2588","5.6610",529996,453265,457763,474832,605509,446334,543063,491676,457706,457705,"54.8382","null","null","0.00",1,0,0,"null",75,"5","Changeup",6,5,6,5,5,6,6,5,"Standard","Standard"
