"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-09","96.8","-2.3936","5.9265","Corey Knebel",491676,608349,"null","called_strike",,,,,"9","null","R","R","R","MIL","SF","S","null","null",0,0,2018,"-0.6523","1.1550","0.6787","1.8686","null","null","null",1,9,"Top","null","null",,,456124,,"180909_210124","9.6855","-140.5706","-7.9200","-10.7659","30.0442","-15.2839","3.3853","1.5550","null","null","null","97.0120","2527","6.3950",531552,608349,456124,542583,570731,541650,606115,592885,456715,542979,"54.1048","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"KC","2018-09-09","80.7","-2.4803","5.8396","Corey Knebel",474832,608349,"null","ball",,,,,"11","null","R","L","R","MIL","SF","B","null","null",0,0,2018,"0.6853","-1.3099","-1.1116","4.2444","null","null","null",0,9,"Top","null","null",,,456124,,"180909_205951","1.7444","-117.0530","5.6098","5.7050","25.6884","-45.3283","3.2981","1.6250","null","null","null","79.0830","2597","5.7130",531552,608349,456124,542583,570731,541650,606115,592885,456715,542979,"54.7867","null","null","null","null","null","null","null",67,"1","Knuckle Curve",6,3,3,6,3,6,3,6,"Standard","Standard"
"KC","2018-09-09","81.9","-2.4674","5.8577","Corey Knebel",460026,608349,"null","called_strike",,,,,"6","null","R","R","R","MIL","SF","S","null","null",2,1,2018,"0.5609","-1.2541","0.6439","2.3398","596103.00","null","null",2,8,"Top","null","null",,,456124,,"180909_204141","5.9020","-119.0972","0.9869","4.0714","23.2435","-44.2942","3.3272","1.5350","null","null","null","81.0210","2517","5.7640",531552,608349,456124,542583,570731,541650,606115,460075,456715,592885,"54.7353","null","null","null","null","null","null","null",60,"4","Knuckle Curve",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-09-09","96.2","-2.6131","5.9943","Corey Knebel",460026,608349,"null","ball",,,,,"12","null","R","R","R","MIL","SF","B","null","null",1,1,2018,"-0.3244","1.2658","0.8928","3.6488","596103.00","null","null",2,8,"Top","null","null",,,456124,,"180909_204121","10.0164","-139.8269","-3.5418","-6.2586","27.5541","-14.9479","3.4725","1.5861","null","null","null","96.5780","2316","6.2870",531552,608349,456124,542583,570731,541650,606115,460075,456715,592885,"54.2125","null","null","null","null","null","null","null",60,"3","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"KC","2018-09-09","81.0","-2.6117","5.8634","Corey Knebel",460026,608349,"null","ball",,,,,"11","null","R","R","R","MIL","SF","B","null","null",0,0,2018,"0.5573","-1.1998","-0.9338","3.7148","596103.00","null","null",2,8,"Top","null","null",,,456124,,"180909_204043","2.6751","-117.7268","3.9769","4.5811","21.2897","-44.0399","3.3651","1.6442","null","null","null","80.0510","2428","5.5950",531552,608349,456124,542583,570731,541650,606115,460075,456715,592885,"54.9047","null","null","null","null","null","null","null",60,"1","Knuckle Curve",5,3,3,5,3,5,3,5,"Standard","Standard"
"CU","2018-09-09","69.3","-2.0818","6.0754","Joakim Soria",543063,465657,"null","ball",,,,,"14","null","R","L","R","MIL","SF","B","null","null",0,0,2018,"0.9301","-1.5091","0.2597","0.3882","null","null","null",2,8,"Top","null","null",,,456124,,"180909_203201","2.9487","-100.7303","-0.4779","5.5194","20.3471","-42.2957","3.3272","1.5850","null","null","null","68.0250","2605","5.8780",531552,465657,456124,542583,570731,541650,606115,460075,456715,592885,"54.6216","null","null","null","null","null","null","null",58,"1","Curveball",5,2,2,5,2,5,2,5,"Standard","Standard"
"CH","2018-09-09","87.7","-3.2645","5.0044","Joakim Soria",446334,465657,"null","ball",,,,,"14","null","R","R","R","MIL","SF","B","null","null",1,2,2018,"-0.7954","-0.0455","0.2498","0.5885","null","null","null",1,8,"Top","null","null",,,456124,,"180909_203030","10.1014","-127.4815","-4.5626","-10.3859","20.3354","-32.1194","3.7051","1.7895","null","null","null","88.2900","1246","6.2220",531552,465657,456124,542583,570731,541650,606115,460075,456715,592885,"54.2776","null","null","null","null","null","null","null",57,"4","Changeup",5,2,2,5,2,5,2,5,"Standard","Standard"
"SL","2018-09-09","80.6","-2.8015","5.1665","Joakim Soria",446334,465657,"null","ball",,,,,"14","null","R","R","R","MIL","SF","B","null","null",0,2,2018,"1.3664","0.3793","2.1360","2.1543","null","null","null",1,8,"Top","null","null",,,456124,,"180909_203005","8.3556","-117.1030","-0.6871","10.7669","23.2277","-28.8264","3.7051","1.7023","null","null","null","80.0720","2847","6.1260",531552,465657,456124,542583,570731,541650,606115,460075,456715,592885,"54.3735","null","null","null","null","null","null","null",57,"3","Slider",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-09-09","93.2","-2.8917","5.2214","Joakim Soria",446334,465657,"null","called_strike",,,,,"2","null","R","R","R","MIL","SF","S","null","null",0,0,2018,"-0.3014","1.3602","0.1455","3.5496","null","null","null",1,8,"Top","null","null",,,456124,,"180909_202922","8.5021","-135.5450","-1.5674","-5.4979","27.7877","-15.0985","3.8214","1.8186","null","null","null","93.7950","2254","6.5310",531552,465657,456124,542583,570731,541650,606115,460075,456715,592885,"53.9685","null","null","null","null","null","null","null",57,"1","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-09-09","92.2","-2.2606","5.7855","Joakim Soria",605412,465657,"null","ball",,,,,"11","null","R","L","R","MIL","SF","B","null","null",2,2,2018,"-0.4150","1.2934","-0.9765","3.9039","null","null","null",0,8,"Top","null","null",,,456124,,"180909_202814","4.1273","-134.2341","-1.7756","-5.7901","26.1427","-16.4978","3.2400","1.4989","null","null","null","92.0850","2202","5.9680",531552,465657,456124,542583,570731,541650,606115,460075,456715,592885,"54.5311","null","null","null","null","null","null","null",56,"5","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
