"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-08-02","80.1","3.2014","6.1727","Ty Blach",572041,621389,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",1,2,2018,"1.5001","0.5602","-0.2075","1.4275","null","null","500871.00",2,9,"Bot","null","null",,,457763,,"180803_050605","-9.8801","-115.8644","-4.5251","14.7423","22.8581","-26.8107","3.5154","1.6062","null","null","null","77.4640","2064","4.8770",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.6249","null","null","null","null","null","null","null",82,"5","Changeup",1,8,1,8,8,1,1,8,"Standard","Standard"
"SI","2018-08-02","90.2","3.4578","5.8878","Ty Blach",572041,621389,"null","ball",,,,,"14","null","R","R","L","ARI","SF","B","null","null",0,2,2018,"1.4186","0.6556","1.4179","2.2419","null","null","500871.00",2,9,"Bot","null","null",,,457763,,"180803_050515","-7.7478","-130.7769","-4.2599","17.2634","29.4274","-24.3400","3.6060","1.6362","null","null","null","87.7510","2351","5.1080",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.3943","null","null","null","null","null","null","null",82,"3","Sinker",1,8,1,8,8,1,1,8,"Standard","Standard"
"CU","2018-08-02","76.3","3.0183","6.3782","Ty Blach",572041,621389,"null","called_strike",,,,,"1","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"-0.9340","-1.2295","-0.3180","2.9344","null","null","500871.00",2,9,"Bot","null","null",,,457763,,"180803_050428","-5.2379","-110.4552","1.9737","-5.9484","23.6308","-42.2755","3.4852","1.6362","null","null","null","72.9030","2649","4.4730",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"56.0287","null","null","null","null","null","null","null",82,"1","Curveball",1,8,1,8,8,1,1,8,"Standard","Standard"
"CH","2018-08-02","80.6","3.0915","6.1939","Ty Blach",502671,621389,"null","ball",,,,,"14","null","R","R","L","ARI","SF","B","null","null",1,1,2018,"1.6195","0.6222","1.3361","1.8615","null","null","500871.00",1,9,"Bot","null","null",,,457763,,"180803_050203","-6.6108","-116.8368","-3.8464","15.3753","24.8007","-26.3168","3.4550","1.5971","null","null","null","77.8890","2003","4.8750",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.6274","null","null","null","null","null","null","null",81,"3","Changeup",1,8,1,8,8,1,1,8,"Standard","Standard"
"SI","2018-08-02","90.5","3.2361","6.1495","Ty Blach",502671,621389,"null","called_strike",,,,,"6","null","R","R","L","ARI","SF","S","null","null",1,0,2018,"1.3570","1.1564","0.5604","2.3330","null","null","500871.00",1,9,"Bot","null","null",,,457763,,"180803_050147","-9.1176","-131.0738","-5.6641","16.8327","29.2528","-18.6074","3.4550","1.5971","null","null","null","87.5940","2331","4.8520",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.6499","null","null","null","null","null","null","null",81,"2","Sinker",1,8,1,8,8,1,1,8,"Standard","Standard"
"CU","2018-08-02","76.3","2.9602","6.4368","Ty Blach",502671,621389,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",0,0,2018,"-1.0531","-0.9812","-1.4750","2.1837","null","null","500871.00",1,9,"Bot","null","null",,,457763,,"180803_050132","-7.2717","-110.4503","-0.1141","-6.5516","22.2484","-39.9705","3.4861","1.5763","null","null","null","73.1350","2698","4.4970",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"56.0052","null","null","null","null","null","null","null",81,"1","Curveball",1,8,1,8,8,1,1,8,"Standard","Standard"
"SI","2018-08-02","90.0","3.2243","6.0460","Ty Blach",500871,621389,"null","ball",,,,,"12","null","R","R","L","ARI","SF","B","null","null",0,1,2018,"1.3981","1.0522","1.8195","2.5306","null","null","null",1,9,"Bot","null","null",,,457763,,"180803_050010","-6.0558","-130.5051","-4.6633","16.3510","27.4959","-20.1475","3.1534","1.5001","null","null","null","87.1110","2203","4.6610",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.8414","null","null","null","null","null","null","null",80,"2","Sinker",1,8,1,8,8,1,1,8,"Standard","Standard"
"CU","2018-08-02","76.2","2.9484","6.4138","Ty Blach",500871,621389,"null","called_strike",,,,,"2","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"-1.1162","-1.1121","-0.2474","3.0331","null","null","null",1,9,"Bot","null","null",,,457763,,"180803_050000","-4.6606","-110.4167","1.8177","-7.5883","21.3040","-41.3231","3.2137","1.5001","null","null","null","73.1070","2575","4.3840",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"56.1184","null","null","null","null","null","null","null",80,"1","Curveball",1,8,1,8,8,1,1,8,"Standard","Standard"
"SI","2018-08-02","90.3","2.9792","6.1110","Ty Blach",444482,621389,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",1,1,2018,"1.2785","0.9970","-1.0794","2.1509","null","null","null",0,9,"Bot","null","null",,,457763,,"180803_045851","-12.2558","-130.4425","-5.6340","16.5055","28.3094","-20.4535","3.4852","1.6962","null","null","null","87.3030","2236","4.8820",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.6198","null","null","null","null","null","null","null",79,"3","Sinker",1,8,1,8,8,1,1,8,"Standard","Standard"
"SL","2018-08-02","78.7","3.0923","6.0940","Ty Blach",444482,621389,"null","called_strike",,,,,"4","null","R","L","L","ARI","SF","S","null","null",1,0,2018,"-0.7470","0.1220","-0.6340","2.1478","null","null","null",0,9,"Bot","null","null",,,457763,,"180803_045838","-6.5712","-114.1895","-1.8448","-4.9156","21.9210","-31.1182","3.3343","1.5611","null","null","null","76.2810","2446","4.7990",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.7026","null","null","null","null","null","null","null",79,"2","Slider",1,8,1,8,8,1,1,8,"Standard","Standard"
"SL","2018-08-02","79.0","2.9897","6.1203","Ty Blach",444482,621389,"null","ball",,,,,"11","null","R","L","L","ARI","SF","B","null","null",0,0,2018,"-0.7934","0.0966","-1.0484","2.8125","null","null","null",0,9,"Bot","null","null",,,457763,,"180803_045826","-7.1864","-114.5624","-0.5220","-5.3093","21.4666","-31.5554","3.4550","1.6062","null","null","null","76.8510","2417","4.9730",531047,621389,457763,596103,593700,446334,543063,491676,621453,457705,"55.5286","null","null","null","null","null","null","null",79,"1","Slider",1,8,1,8,8,1,1,8,"Standard","Standard"
"FF","2018-08-02","92.4","-2.0750","5.6875","Matt Andriese",593700,542882,"null","ball",,,,,"14","null","R","L","R","ARI","SF","B","null","null",0,1,2018,"-0.5829","1.4794","0.9421","2.4032","null","null","491676.00",2,9,"Top","null","null",,,425772,,"180803_045502","8.7667","-133.9556","-5.5294","-8.7769","29.9834","-13.9043","3.4248","1.6962","null","null","null","90.7600","2466","5.5850",531047,542882,425772,502671,606466,500871,605113,444482,572041,519306,"54.9175","null","null","null","null","null","null","null",78,"2","4-Seam Fastball",1,8,8,1,8,1,8,1,"Infield shift","Standard"
"FF","2018-08-02","92.9","-2.1767","5.6790","Matt Andriese",491676,542882,"null","called_strike",,,,,"9","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"-0.7632","1.4302","0.6438","1.8562","null","null","null",2,9,"Top","null","null",,,425772,,"180803_045323","8.7035","-134.7064","-6.9095","-10.9328","28.9249","-13.9547","3.3645","1.5611","null","null","null","91.4950","2419","5.6160",531047,542882,425772,502671,606466,500871,605113,444482,572041,519306,"54.8860","null","null","null","null","null","null","null",77,"1","4-Seam Fastball",1,8,8,1,8,1,8,1,"Standard","Standard"
"CH","2018-08-02","85.8","-2.5416","5.5204","Matt Andriese",543063,542882,"null","ball",,,,,"14","null","R","L","R","ARI","SF","B","null","null",0,0,2018,"-1.0261","-0.1541","0.2822","1.0285","null","null","null",1,9,"Top","null","null",,,425772,,"180803_045138","8.5399","-124.5861","-4.0147","-12.0319","23.4336","-33.2257","3.4631","1.6962","null","null","null","84.6400","2200","5.5120",531047,542882,425772,502671,606466,500871,605113,444482,572041,519306,"54.9904","null","null","null","null","null","null","null",76,"1","Changeup",1,8,8,1,8,1,8,1,"Infield shift","Standard"
"CU","2018-08-02","81.3","-2.1618","5.7753","Matt Andriese",446334,542882,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,1,2018,"0.0502","-0.9847","0.3329","0.5492","null","null","null",0,9,"Top","null","null",,,425772,,"180803_045011","5.3731","-118.0532","-3.1899","-0.6084","23.2396","-40.6497","3.7269","1.7561","null","null","null","79.4110","2664","5.1740",531047,542882,425772,502671,606466,500871,605113,444482,572041,519306,"55.3277","null","null","null","null","null","null","null",75,"3","Curveball",1,8,8,1,8,1,8,1,"Infield shift","Standard"
