"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-08-23","79.7","2.2952","6.2207","Will Smith",643446,519293,"null","ball",,,,,"14","null","R","L","L","NYM","SF","B","null","null",0,0,2018,"-1.2559","-0.2300","0.9315","2.0411","null","null","430832.00",2,9,"Bot","null","null",,,460026,,"180823_194502","-0.6804","-115.8832","-1.9427","-10.8808","23.3212","-34.0654","3.5544","1.8046","null","null","null","78.6190","2187","5.7490",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.7503","null","null","null","null","null","null","null",68,"1","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-08-23","92.5","1.7321","6.6236","Will Smith",430832,519293,"walk","ball",,,,,"12","Jose Bautista walks.  ","R","R","L","NYM","SF","B","null","null",3,2,2018,"0.4286","1.4403","0.7170","4.2409","null","null","null",2,9,"Bot","null","null",,,460026,,"180823_194421","-3.4848","-134.5477","-3.3112","5.9064","30.5324","-14.4795","3.4566","1.8540","null","null","null","91.7230","2193","5.9470",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.5521","null","null","0.70",1,0,0,"null",67,"6","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"SL","2018-08-23","80.5","2.1378","6.3961","Will Smith",430832,519293,"null","ball",,,,,"13","null","R","R","L","NYM","SF","B","null","null",2,2,2018,"-1.4394","-0.0475","-0.7786","1.0284","null","null","null",2,9,"Bot","null","null",,,460026,,"180823_194359","-3.7534","-116.9122","-4.9921","-12.0151","24.4867","-31.8259","3.4566","1.7312","null","null","null","79.1450","2407","5.7050",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.7943","null","null","null","null","null","null","null",67,"5","Slider",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-23","90.7","1.7946","6.5908","Will Smith",430832,519293,"null","ball",,,,,"12","null","R","R","L","NYM","SF","B","null","null",1,1,2018,"0.3639","1.5758","0.2658","3.9196","null","null","null",2,9,"Bot","null","null",,,460026,,"180823_194321","-4.5503","-131.8827","-4.0242","5.1551","28.3055","-13.4586","3.4320","1.6820","null","null","null","89.9730","2135","5.9060",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.5934","null","null","null","null","null","null","null",67,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"CU","2018-08-23","77.2","2.0136","6.6076","Will Smith",430832,519293,"null","ball",,,,,"12","null","R","R","L","NYM","SF","B","null","null",0,1,2018,"-0.8691","-0.5368","1.2093","3.2244","null","null","null",2,9,"Bot","null","null",,,460026,,"180823_194304","-0.1919","-112.0987","0.7714","-6.9387","22.6260","-36.9465","3.3694","1.7803","null","null","null","75.1600","2013","5.1750",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"55.3247","null","null","null","null","null","null","null",67,"2","Curveball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"CU","2018-08-23","75.8","1.8734","6.6262","Will Smith",430832,519293,"null","called_strike",,,,,"9","null","R","R","L","NYM","SF","S","null","null",0,0,2018,"-1.1269","-0.8525","0.6115","2.0120","null","null","null",2,9,"Bot","null","null",,,460026,,"180823_194248","-0.6794","-110.1415","-0.9961","-8.6908","21.2481","-38.9414","3.3694","1.7312","null","null","null","74.2420","2159","5.4070",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"55.0926","null","null","null","null","null","null","null",67,"1","Curveball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"CU","2018-08-23","76.6","1.9623","6.6335","Will Smith",453943,519293,"null","called_strike",,,,,"6","null","R","R","L","NYM","SF","S","null","null",0,0,2018,"-0.8658","-0.6016","0.5128","2.2553","null","null","null",1,9,"Bot","null","null",,,460026,,"180823_194128","-1.5258","-111.2804","-1.0912","-6.5858","21.8185","-37.0390","3.2104","1.4846","null","null","null","74.8170","2256","5.2760",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"55.2233","null","null","null","null","null","null","null",66,"1","Curveball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-23","91.3","1.9249","6.5566","Will Smith",527038,519293,"null","called_strike",,,,,"12","null","R","R","L","NYM","SF","S","null","null",3,1,2018,"0.6679","1.5480","0.9133","3.1768","null","null","null",0,9,"Bot","null","null",,,460026,,"180823_194021","-3.9484","-132.5844","-5.7766","8.6900","32.9304","-13.1357","3.0877","1.3617","null","null","null","90.1820","2228","6.0880",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.4110","null","null","null","null","null","null","null",65,"5","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"SL","2018-08-23","80.1","2.1591","6.4209","Will Smith",527038,519293,"null","ball",,,,,"12","null","R","R","L","NYM","SF","B","null","null",2,1,2018,"-1.3014","0.3539","1.1271","4.0691","null","null","null",0,9,"Bot","null","null",,,460026,,"180823_194001","0.1107","-116.4267","0.9210","-11.4719","23.9799","-29.5282","3.1613","1.2879","null","null","null","78.7130","2292","5.5990",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.9000","null","null","null","null","null","null","null",65,"4","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-08-23","91.5","1.8509","6.5915","Will Smith",527038,519293,"null","called_strike",,,,,"4","null","R","R","L","NYM","SF","S","null","null",2,0,2018,"0.4996","1.5341","-0.3397","2.4770","null","null","null",0,9,"Bot","null","null",,,460026,,"180823_193943","-6.5200","-132.8059","-7.6073","7.3043","31.0413","-12.9077","3.2349","1.5584","null","null","null","90.2890","2206","5.9000",531326,519293,460026,474832,605412,446334,543063,596103,621453,457705,"54.6000","null","null","null","null","null","null","null",65,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
