"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-27","96.8","-3.0432","5.5177","Hunter Strickland",518735,519326,"strikeout","called_strike",,,,,"11","Yasmani Grandal called out on strikes.  ","R","L","R","SF","LAD","S",2,"null",1,2,2018,"-0.5230","1.3111","-0.9072","2.7579","null","null","null",2,9,"Top","null","null",,,457763,,"180428_054258","6.8666","-140.6419","-4.7319","-8.5199","33.6080","-14.0317","3.0619","1.4946","null","null","null","96.3110","2441","6.2140",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.2836","null","null","0.00",1,0,0,"null",77,"4","4-Seam Fastball",6,4,4,6,4,6,4,6,"Infield shift","Strategic"
"CH","2018-04-27","88.9","-2.8403","5.9870","Hunter Strickland",518735,519326,"null","called_strike",,,,,"11","null","R","L","R","SF","LAD","S","null","null",1,0,2018,"-1.4024","0.7648","-0.8432","2.5559","null","null","null",2,9,"Top","null","null",,,457763,,"180428_054215","7.6143","-128.9302","-3.7703","-16.8362","29.1845","-23.3578","3.1051","1.5754","null","null","null","87.1160","1597","5.5460",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.9517","null","null","null","null","null","null","null",77,"2","Changeup",6,4,4,6,4,6,4,6,"Infield shift","Strategic"
"FF","2018-04-27","95.3","-3.0183","5.5779","Hunter Strickland",592626,519326,"null","called_strike",,,,,"11","null","R","L","R","SF","LAD","S","null","null",2,0,2018,"-0.5275","1.2497","-0.9921","2.8466","null","null","null",1,9,"Top","null","null",,,457763,,"180428_054056","6.4878","-138.6020","-4.2978","-8.2464","32.0174","-15.4254","3.4658","1.7418","null","null","null","94.9820","2349","6.2080",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.2896","null","null","null","null","null","null","null",76,"3","4-Seam Fastball",6,4,4,6,4,6,4,6,"Infield shift","Standard"
"FT","2018-04-27","89.9","-2.8600","5.8745","Hunter Strickland",592626,519326,"null","ball",,,,,"13","null","R","L","R","SF","LAD","B","null","null",1,0,2018,"-1.3545","0.8126","-0.3517","0.6774","null","null","null",1,9,"Top","null","null",,,457763,,"180428_054029","8.9067","-130.3272","-8.4423","-17.0041","27.1461","-21.5682","3.3518","1.6927","null","null","null","88.8000","1608","5.7930",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.7043","null","null","null","null","null","null","null",76,"2","2-Seam Fastball",6,4,4,6,4,6,4,6,"Standard","Standard"
"FF","2018-04-27","96.1","-2.9463","5.6189","Hunter Strickland",592626,519326,"null","ball",,,,,"14","null","R","L","R","SF","LAD","B","null","null",0,0,2018,"-0.7424","1.2327","1.0752","1.5716","null","null","null",1,9,"Top","null","null",,,457763,,"180428_054010","12.3174","-139.2456","-7.8512","-12.5100","32.2499","-14.5382","3.4141","1.6035","null","null","null","95.8020","2417","6.4220",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.0755","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",6,4,4,6,4,6,4,6,"Standard","Standard"
"FF","2018-04-27","95.5","-3.0029","5.5927","Hunter Strickland",400284,519326,"strikeout","called_strike",,,,,"14","Chase Utley called out on strikes.  ","R","L","R","SF","LAD","S",2,"null",3,2,2018,"-0.6917","1.3479","0.2043","1.3937","null","null","null",0,9,"Top","null","null",,,457763,,"180428_053923","9.9750","-138.5441","-8.3854","-11.1833","32.0734","-13.1637","3.3634","1.6268","null","null","null","95.1350","2462","6.3260",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.1713","null","null","0.00",1,0,0,"null",75,"6","4-Seam Fastball",6,4,4,6,4,6,4,6,"Standard","Standard"
"SL","2018-04-27","83.5","-3.0938","5.8585","Hunter Strickland",400284,519326,"null","ball",,,,,"14","null","R","L","R","SF","LAD","B","null","null",2,2,2018,"0.8430","-0.4912","0.5522","1.1326","null","null","null",0,9,"Top","null","null",,,457763,,"180428_053851","6.6351","-121.1996","-3.4343","6.6717","23.0897","-36.4230","3.3171","1.6468","null","null","null","81.4230","2729","4.9630",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"55.5341","null","null","null","null","null","null","null",75,"5","Slider",6,4,4,6,4,6,4,6,"Standard","Standard"
"SL","2018-04-27","84.5","-3.1292","5.7436","Hunter Strickland",400284,519326,"null","ball",,,,,"13","null","R","L","R","SF","LAD","B","null","null",1,2,2018,"0.7281","-0.3270","-0.2212","1.4315","null","null","null",0,9,"Top","null","null",,,457763,,"180428_053822","5.2853","-122.8138","-3.0149","6.1435","23.8327","-35.0607","3.3931","1.6468","null","null","null","83.3030","2726","5.5150",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.9822","null","null","null","null","null","null","null",75,"4","Slider",6,4,4,6,4,6,4,6,"Standard","Standard"
"CH","2018-04-27","89.0","-2.7917","5.9715","Hunter Strickland",400284,519326,"null","ball",,,,,"13","null","R","L","R","SF","LAD","B","null","null",0,1,2018,"-1.3313","0.8719","-0.0376","0.9920","null","null","null",0,9,"Top","null","null",,,457763,,"180428_053725","9.2744","-128.9011","-7.7606","-16.3183","26.2380","-21.3960","3.3931","1.6848","null","null","null","87.4070","1696","5.4970",529791,519326,457763,474832,605412,446334,543063,491676,457706,457705,"55.0000","null","null","null","null","null","null","null",75,"2","Changeup",6,4,4,6,4,6,4,6,"Standard","Standard"
"SI","2018-04-27","90.3","1.4518","5.7145","Scott Alexander",460026,518397,"null","called_strike",,,,,"12","null","R","R","L","SF","LAD","S","null","null",0,0,2018,"0.9591","0.4033","0.8425","3.0170","446334.00","474832.00","491676.00",2,8,"Bot","null","null",,,518735,,"180428_053314","-3.4655","-131.3962","-1.6210","11.5957","26.3134","-27.5003","3.3909","1.5765","null","null","null","89.5300","2006","5.6910",529791,518397,518735,641355,605131,571657,571771,592626,621035,624577,"54.8067","null","null","null","null","null","null","null",74,"1","Sinker",6,4,6,4,4,6,6,4,"Standard","Strategic"
