"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-06","95.2","-3.0304","5.6233","Hunter Strickland",542255,519326,"null","ball",,,,,"13","null","R","L","R","ATL","SF","B","null","null",1,0,2018,"-0.4395","1.0985","-1.1699","2.1914","622666.00","518586.00","null",1,9,"Bot","null","null",,,460026,,"180506_204724","5.8157","-138.4914","-5.7759","-6.8413","29.6162","-17.1729","3.0462","1.4494","null","null","null","94.7840","2392","5.9680",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.5318","null","null","null","null","null","null","null",77,"2","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-05-06","95.7","-2.9968","5.5803","Hunter Strickland",542255,519326,"null","ball",,,,,"13","null","R","L","R","ATL","SF","B","null","null",0,0,2018,"-0.4348","0.9929","-0.1747","0.8988","622666.00","518586.00","null",1,9,"Bot","null","null",,,460026,,"180506_204659","8.4059","-138.9808","-8.9683","-7.3980","28.8423","-17.6020","3.1003","1.4688","null","null","null","95.8130","2408","6.2990",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.2010","null","null","null","null","null","null","null",77,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-05-06","96.0","-2.9098","5.6094","Hunter Strickland",435559,519326,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",2,2,2018,"-0.3004","1.2585","1.9720","2.2331","null","430832.00","622666.00",1,9,"Bot","null","null",,,460026,,"180506_204504","13.4800","-139.0952","-6.0722","-6.8224","30.4642","-14.8545","3.2092","1.4855","null","null","null","95.3310","2434","6.0870",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.4123","null","null","null","null","null","null","null",76,"5","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Strategic"
"SL","2018-05-06","84.3","-2.9347","5.8004","Hunter Strickland",435559,519326,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",1,2,2018,"0.7351","-0.3899","1.8817","1.1580","null","430832.00","622666.00",1,9,"Bot","null","null",,,460026,,"180506_204404","9.6210","-122.3986","-3.6391","5.4912","22.1195","-35.5852","3.1919","1.5201","null","null","null","83.2840","2686","5.5500",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.9494","null","null","null","null","null","null","null",76,"4","Slider",1,4,1,4,4,1,1,4,"Standard","Strategic"
"SL","2018-05-06","83.5","-2.9271","5.7801","Hunter Strickland",435559,519326,"null","called_strike",,,,,"2","null","R","R","R","ATL","SF","S","null","null",1,0,2018,"0.6820","-0.4854","-0.1217","2.9834","null","430832.00","622666.00",1,9,"Bot","null","null",,,460026,,"180506_204303","5.0862","-121.4978","0.8154","5.7703","20.5543","-37.2529","3.1199","1.4682","null","null","null","82.8200","2559","5.5360",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.9634","null","null","null","null","null","null","null",76,"2","Slider",1,4,1,4,4,1,1,4,"Standard","Strategic"
"FF","2018-05-06","96.1","-2.8896","5.5901","Hunter Strickland",435559,519326,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",0,0,2018,"-0.3383","1.2841","1.7559","1.8954","null","430832.00","622666.00",1,9,"Bot","null","null",,,460026,,"180506_204236","12.9661","-139.2413","-7.0006","-7.1641","29.9211","-14.2671","3.1746","1.5028","null","null","null","95.5610","2479","6.1200",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.3802","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Strategic"
"FF","2018-05-06","95.2","-2.7229","5.8220","Hunter Strickland",622666,519326,"walk","ball",,,,,"12","Johan Camargo walks.   Jose Bautista to 2nd.  ","R","L","R","ATL","SF","B","null","null",3,0,2018,"-0.0657","1.2593","1.7063","2.7076","null","null","430832.00",1,9,"Bot","null","null",,,460026,,"180506_204104","11.6515","-138.0578","-5.2516","-3.2798","29.0061","-15.3516","3.4845","1.6620","null","null","null","94.5030","2391","5.9460",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.5536","null","null","0.70",1,0,0,"null",75,"4","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
"FF","2018-05-06","95.5","-2.9760","5.6745","Hunter Strickland",622666,519326,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",2,0,2018,"-0.4517","1.2538","-1.6513","3.2749","null","null","430832.00",1,9,"Bot","null","null",,,460026,,"180506_204046","4.4514","-138.9519","-3.4587","-6.7353","30.0172","-15.6302","3.4152","1.8006","null","null","null","94.9510","2346","5.8960",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.6040","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
"FF","2018-05-06","95.8","-2.6001","6.0636","Hunter Strickland",622666,519326,"null","ball",,,,,"14","null","R","L","R","ATL","SF","B","null","null",1,0,2018,"0.0144","1.3803","1.2689","1.5530","null","null","430832.00",1,9,"Bot","null","null",,,460026,,"180506_204020","10.1334","-138.9763","-9.3397","-1.9898","29.8354","-12.5450","3.2248","1.6447","null","null","null","95.4950","2426","6.1890",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.3112","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
"FF","2018-05-06","95.5","-2.9643","5.6247","Hunter Strickland",622666,519326,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",0,0,2018,"-0.3424","1.3659","-0.9377","3.4742","null","null","430832.00",1,9,"Bot","null","null",,,460026,,"180506_204000","6.0550","-138.9572","-3.0502","-5.7243","30.9078","-14.2671","3.3518","1.6679","null","null","null","94.9530","2390","5.9590",529924,519326,460026,474832,593700,446334,543063,453923,457706,457705,"54.5411","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
