"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-14","98.5","-2.8752","6.3376","Blake Treinen",543063,595014,"null","ball",,,,,"12","null","R","L","R","SF","OAK","B","null","null",0,0,2018,"-0.4752","1.3134","1.0659","2.5153","null","457705.00","457763.00",2,9,"Bot","null","null",,,572033,,"180715_051212","11.5666","-142.7373","-7.7709","-8.7110","28.7155","-13.1888","3.3318","1.5545","null","null","null","97.3500","2376","5.5870",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.9108","null","null","null","null","null","null","null",81,"1","4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","97.6","-3.0804","6.1691","Blake Treinen",457763,595014,"walk","ball",,,,,"14","Buster Posey walks.   Andrew McCutchen to 2nd.  ","R","R","R","SF","OAK","B","null","null",3,2,2018,"-1.2378","0.3163","1.2886","1.5879","null","null","457705.00",2,9,"Bot","null","null",,,572033,,"180715_051033","14.2475","-141.2542","-7.4007","-19.1313","28.2298","-26.7566","3.3975","1.6437","null","null","null","96.3380","2357","5.5940",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.9038","null","null","0.70",1,0,0,"null",80,"7","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"SL","2018-07-14","89.1","-3.1364","6.2413","Blake Treinen",457763,595014,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",2,2,2018,"0.5010","-0.4275","0.8992","1.3588","null","null","457705.00",2,9,"Bot","null","null",,,572033,,"180715_050927","8.7390","-129.4516","-5.1031","4.0307","22.0868","-36.2309","3.4545","1.5867","null","null","null","88.1900","2682","5.4000",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"55.0971","null","null","null","null","null","null","null",80,"5","Slider",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","96.3","-2.9304","6.2750","Blake Treinen",457763,595014,"null","called_strike",,,,,"9","null","R","R","R","SF","OAK","S","null","null",2,1,2018,"-1.0751","0.8151","0.4977","1.6079","null","null","457705.00",2,9,"Bot","null","null",,,572033,,"180715_050853","11.2835","-139.6075","-8.4902","-16.0830","28.0646","-20.2183","3.3986","1.5678","null","null","null","95.2090","2221","5.6250",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.8728","null","null","null","null","null","null","null",80,"4","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"FF","2018-07-14","97.6","-2.7900","6.2429","Blake Treinen",457763,595014,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",1,0,2018,"-0.7558","1.2861","0.0922","0.8377","null","null","457705.00",2,9,"Bot","null","null",,,572033,,"180715_050723","9.2995","-141.4563","-11.7608","-11.8572","28.1831","-13.0250","3.2647","1.6247","null","null","null","96.6400","2420","5.6800",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.8177","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","99.3","-3.0685","6.0420","Blake Treinen",457705,595014,"walk","ball",,,,,"14","Andrew McCutchen walks.  ","R","R","R","SF","OAK","B","null","null",3,1,2018,"-1.5441","0.2705","0.9634","1.2849","null","null","null",2,9,"Bot","null","null",,,572033,,"180715_050541","14.4441","-143.5820","-8.0637","-24.5158","34.2108","-26.7982","3.4946","1.6638","null","null","null","98.1020","2376","6.0320",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.4649","null","null","0.70",1,0,0,"null",79,"5","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"FF","2018-07-14","98.1","-2.8736","6.2655","Blake Treinen",457705,595014,"null","called_strike",,,,,"4","null","R","R","R","SF","OAK","S","null","null",3,0,2018,"-0.6454","1.2359","-0.7677","2.5639","null","null","null",2,9,"Bot","null","null",,,572033,,"180715_050517","7.1311","-142.5020","-7.3248","-10.3081","31.3364","-14.0442","3.4377","1.6448","null","null","null","97.7510","2349","6.0900",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.4073","null","null","null","null","null","null","null",79,"4","4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","98.4","-2.9532","6.1596","Blake Treinen",457705,595014,"null","ball",,,,,"13","null","R","R","R","SF","OAK","B","null","null",2,0,2018,"-1.3762","0.6907","-0.8840","1.3259","null","null","null",2,9,"Bot","null","null",,,572033,,"180715_050454","8.6723","-142.6930","-9.1084","-20.5401","32.7185","-21.0090","3.4566","1.6638","null","null","null","97.5020","2342","5.9630",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.5342","null","null","null","null","null","null","null",79,"3","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","98.7","-2.9721","6.1804","Blake Treinen",457705,595014,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",1,0,2018,"-1.4602","0.3665","0.4290","0.7408","null","null","null",2,9,"Bot","null","null",,,572033,,"180715_050425","12.3864","-142.7874","-10.0029","-22.3790","31.3770","-25.2741","3.5326","1.6828","null","null","null","97.4390","2304","5.7960",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"54.7014","null","null","null","null","null","null","null",79,"2","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"SI","2018-07-14","98.7","-2.9342","6.1552","Blake Treinen",457705,595014,"null","ball",,,,,"13","null","R","R","R","SF","OAK","B","null","null",0,0,2018,"-1.2770","0.6377","-0.7600","1.4981","null","null","null",2,9,"Bot","null","null",,,572033,,"180715_050403","8.6065","-143.1413","-8.5057","-18.9214","30.2463","-22.0764","3.4946","1.7397","null","null","null","97.1780","2442","5.4210",530834,595014,572033,621566,640461,656305,543760,592192,641583,572039,"55.0759","null","null","null","null","null","null","null",79,"1","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
